receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,40,10.0,0,23,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,L,401547402,2023 Regular Season,DeMario Douglas,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,19,9.5,0,10,0,0,0.0,0,0,1,1,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,L,401547423,2023 Regular Season,DeMario Douglas,2023,Regular Season,2,40.0,4.0,0.0,7.0,40.0,4.0,0.0,7.0,40.0,4.0,0.0,7.0,10.0,0.0,0,0
1,3,15,15.0,0,15,1,5,5.0,5,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,W,401547430,2023 Regular Season,DeMario Douglas,2023,Regular Season,3,59.0,6.0,0.0,9.0,29.5,3.0,0.0,4.5,29.5,3.0,0.0,4.5,9.5,0.0,0,0
2,3,45,22.5,0,42,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,38,3,L,401547453,2023 Regular Season,DeMario Douglas,2023,Regular Season,4,74.0,7.0,0.0,12.0,24.666666666666668,2.3333333333333335,0.0,4.0,24.666666666666668,2.3333333333333335,0.0,4.0,15.0,0.0,0,0
1,2,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,0,34,L,401547459,2023 Regular Season,DeMario Douglas,2023,Regular Season,5,119.0,9.0,0.0,15.0,29.75,2.25,0.0,3.75,26.333333333333332,1.6666666666666667,0.0,2.6666666666666665,22.5,0.0,0,0
4,6,54,13.5,0,19,1,20,20.0,20,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,W,401547485,2023 Regular Season,DeMario Douglas,2023,Regular Season,6,143.0,10.0,0.0,17.0,28.6,2.0,0.0,3.4,28.0,1.3333333333333333,0.0,2.6666666666666665,24.0,0.0,0,0
5,7,25,5.0,0,13,1,4,4.0,4,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,L,401547497,2023 Regular Season,DeMario Douglas,2023,Regular Season,7,197.0,14.0,0.0,23.0,32.833333333333336,2.3333333333333335,0.0,3.8333333333333335,41.0,2.3333333333333335,0.0,3.6666666666666665,13.5,0.0,0,0
5,7,55,11.0,0,18,1,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,17,20,L,401547520,2023 Regular Season,DeMario Douglas,2023,Regular Season,8,222.0,19.0,0.0,30.0,31.714285714285715,2.7142857142857144,0.0,4.285714285714286,34.333333333333336,3.3333333333333335,0.0,5.0,5.0,0.0,0,0
6,9,84,14.0,0,30,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,L,401547231,2023 Regular Season,DeMario Douglas,2023,Regular Season,9,277.0,24.0,0.0,37.0,34.625,3.0,0.0,4.625,44.666666666666664,4.666666666666667,0.0,6.666666666666667,11.0,0.0,0,0
6,9,49,8.2,0,14,0,0,0.0,0,0,2,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,7,L,401547560,2023 Regular Season,DeMario Douglas,2023,Regular Season,10,361.0,30.0,0.0,46.0,40.111111111111114,3.3333333333333335,0.0,5.111111111111111,54.666666666666664,5.333333333333333,0.0,7.666666666666667,14.0,0.0,0,0
3,5,33,11.0,0,16,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,17,27,L,401547608,2023 Regular Season,DeMario Douglas,2023,Regular Season,11,410.0,36.0,0.0,55.0,41.0,3.6,0.0,5.5,62.666666666666664,5.666666666666667,0.0,8.333333333333334,8.166666666666666,0.0,0,0
5,8,74,14.8,0,41,0,0,0.0,0,0,0,0,0,0,16,2023-12-25T01:15:00.000+00:00,23,26,W,401547621,2023 Regular Season,DeMario Douglas,2023,Regular Season,12,443.0,39.0,0.0,60.0,40.27272727272727,3.5454545454545454,0.0,5.454545454545454,55.333333333333336,5.0,0.0,7.666666666666667,11.0,0.0,0,0
3,5,31,10.3,0,17,3,12,4.0,6,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,27,21,L,401547626,2023 Regular Season,DeMario Douglas,2023,Regular Season,13,517.0,44.0,0.0,68.0,43.083333333333336,3.6666666666666665,0.0,5.666666666666667,52.0,4.666666666666667,0.0,7.333333333333333,14.8,0.0,0,0
