receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,DeVonta Smith,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,7,80,11.4,0,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,DeVonta Smith,2022,Regular Season,2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0
8,12,169,21.1,1,45,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,DeVonta Smith,2022,Regular Season,3,80.0,7.0,0.0,11.0,40.0,3.5,0.0,5.5,40.0,3.5,0.0,5.5,11.428571428571429,0.0,0,1
3,4,17,5.7,0,7,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,DeVonta Smith,2022,Regular Season,4,249.0,15.0,1.0,23.0,83.0,5.0,0.3333333333333333,7.666666666666667,83.0,5.0,0.3333333333333333,7.666666666666667,21.125,0.0,0,0
10,11,87,8.7,0,22,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,DeVonta Smith,2022,Regular Season,5,266.0,18.0,1.0,27.0,66.5,4.5,0.25,6.75,88.66666666666667,6.0,0.3333333333333333,7.666666666666667,5.666666666666667,0.043478260869565216,0,0
5,5,44,8.8,1,13,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,DeVonta Smith,2022,Regular Season,6,353.0,28.0,1.0,38.0,70.6,5.6,0.2,7.6,91.0,7.0,0.3333333333333333,9.0,8.7,0.037037037037037035,0,1
5,8,23,4.6,0,14,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,DeVonta Smith,2022,Regular Season,7,397.0,33.0,2.0,43.0,66.16666666666667,5.5,0.3333333333333333,7.166666666666667,49.333333333333336,6.0,0.3333333333333333,6.666666666666667,8.8,0.02631578947368421,0,0
2,2,22,11.0,0,22,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,DeVonta Smith,2022,Regular Season,8,420.0,38.0,2.0,51.0,60.0,5.428571428571429,0.2857142857142857,7.285714285714286,51.333333333333336,6.666666666666667,0.3333333333333333,8.0,4.6,0.046511627906976744,0,0
6,8,39,6.5,1,15,0,0,0.0,0,0,1,1,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,DeVonta Smith,2022,Regular Season,9,442.0,40.0,2.0,53.0,55.25,5.0,0.25,6.625,29.666666666666668,4.0,0.3333333333333333,5.0,11.0,0.0392156862745098,0,1
6,9,78,13.0,0,24,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,DeVonta Smith,2022,Regular Season,10,481.0,46.0,3.0,61.0,53.44444444444444,5.111111111111111,0.3333333333333333,6.777777777777778,28.0,4.333333333333333,0.3333333333333333,6.0,6.5,0.03773584905660377,0,0
4,9,50,12.5,0,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,W,401437871,2022 Regular Season,DeVonta Smith,2022,Regular Season,11,559.0,52.0,3.0,70.0,55.9,5.2,0.3,7.0,46.333333333333336,4.666666666666667,0.3333333333333333,6.333333333333333,13.0,0.04918032786885246,0,0
5,8,102,20.4,1,34,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,W,401437881,2022 Regular Season,DeVonta Smith,2022,Regular Season,12,609.0,56.0,3.0,79.0,55.36363636363637,5.090909090909091,0.2727272727272727,7.181818181818182,55.666666666666664,5.333333333333333,0.3333333333333333,8.666666666666666,12.5,0.04285714285714286,0,1
5,8,64,12.8,1,41,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,W,401437893,2022 Regular Season,DeVonta Smith,2022,Regular Season,13,711.0,61.0,4.0,87.0,59.25,5.083333333333333,0.3333333333333333,7.25,76.66666666666667,5.0,0.3333333333333333,8.666666666666666,20.4,0.0379746835443038,0,1
5,8,126,25.2,0,45,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,20,25,W,401437908,2022 Regular Season,DeVonta Smith,2022,Regular Season,14,775.0,66.0,5.0,95.0,59.61538461538461,5.076923076923077,0.38461538461538464,7.3076923076923075,72.0,4.666666666666667,0.6666666666666666,8.333333333333334,12.8,0.04597701149425287,0,0
8,12,113,14.1,2,23,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,L,401437927,2022 Regular Season,DeVonta Smith,2022,Regular Season,15,901.0,71.0,5.0,103.0,64.35714285714286,5.071428571428571,0.35714285714285715,7.357142857142857,97.33333333333333,5.0,0.6666666666666666,8.0,25.2,0.05263157894736842,0,1
9,13,115,12.8,0,28,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,L,401437940,2022 Regular Season,DeVonta Smith,2022,Regular Season,16,1014.0,79.0,7.0,115.0,67.6,5.266666666666667,0.4666666666666667,7.666666666666667,101.0,6.0,1.0,9.333333333333334,14.125,0.04854368932038835,0,0
7,8,67,9.6,0,16,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,22,16,W,401437957,2022 Regular Season,DeVonta Smith,2022,Regular Season,17,1129.0,88.0,7.0,128.0,70.5625,5.5,0.4375,8.0,118.0,7.333333333333333,0.6666666666666666,11.0,12.777777777777779,0.06086956521739131,0,0
7,10,47,6.7,1,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,W,401547402,2023 Regular Season,DeVonta Smith,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,5,131,32.8,1,63,0,0,0.0,0,0,0,0,0,0,2,2023-09-15T00:15:00.000+00:00,34,28,W,401547410,2023 Regular Season,DeVonta Smith,2023,Regular Season,2,47.0,7.0,1.0,10.0,47.0,7.0,1.0,10.0,47.0,7.0,1.0,10.0,6.714285714285714,0.0,0,1
4,5,28,7.0,0,15,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,W,401547440,2023 Regular Season,DeVonta Smith,2023,Regular Season,3,178.0,11.0,2.0,15.0,89.0,5.5,1.0,7.5,89.0,5.5,1.0,7.5,32.75,0.1,0,0
7,9,78,11.1,0,37,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,34,31,W,401547451,2023 Regular Season,DeVonta Smith,2023,Regular Season,4,206.0,15.0,2.0,20.0,68.66666666666667,5.0,0.6666666666666666,6.666666666666667,68.66666666666667,5.0,0.6666666666666666,6.666666666666667,7.0,0.13333333333333333,0,0
1,5,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,W,401547467,2023 Regular Season,DeVonta Smith,2023,Regular Season,5,284.0,22.0,2.0,29.0,71.0,5.5,0.5,7.25,79.0,5.0,0.3333333333333333,6.333333333333333,11.142857142857142,0.1,0,0
5,11,44,8.8,0,22,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,L,401547480,2023 Regular Season,DeVonta Smith,2023,Regular Season,6,290.0,23.0,2.0,34.0,58.0,4.6,0.4,6.8,37.333333333333336,4.0,0.0,6.333333333333333,6.0,0.06896551724137931,0,0
