receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,Dee Eskridge,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,Dee Eskridge,2022,Regular Season,2,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,Dee Eskridge,2022,Regular Season,3,6.0,2.0,0.0,3.0,3.0,1.0,0.0,1.5,3.0,1.0,0.0,1.5,6.0,0.0,0,0
1,1,10,10.0,0,10,1,6,6.0,6,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,Dee Eskridge,2022,Regular Season,4,6.0,2.0,0.0,3.0,2.0,0.6666666666666666,0.0,1.0,2.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,Dee Eskridge,2022,Regular Season,5,16.0,3.0,0.0,4.0,4.0,0.75,0.0,1.0,5.333333333333333,0.6666666666666666,0.0,0.6666666666666666,10.0,0.0,0,0
3,3,39,13.0,0,16,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,Dee Eskridge,2022,Regular Season,6,16.0,3.0,0.0,5.0,3.2,0.6,0.0,1.0,3.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,1,4,4.0,4,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,Dee Eskridge,2022,Regular Season,7,55.0,6.0,0.0,8.0,9.166666666666666,1.0,0.0,1.3333333333333333,16.333333333333332,1.3333333333333333,0.0,1.6666666666666667,13.0,0.0,0,0
1,2,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,Dee Eskridge,2022,Regular Season,8,55.0,6.0,0.0,9.0,7.857142857142857,0.8571428571428571,0.0,1.2857142857142858,13.0,1.0,0.0,1.6666666666666667,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,Dee Eskridge,2022,Regular Season,9,58.0,7.0,0.0,11.0,7.25,0.875,0.0,1.375,14.0,1.3333333333333333,0.0,2.0,3.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,Dee Eskridge,2022,Regular Season,10,58.0,7.0,0.0,13.0,6.444444444444445,0.7777777777777778,0.0,1.4444444444444444,1.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,1,-5,-5.0,-5,0,0,0,0,0,8,2023-10-29T20:05:00.000+00:00,24,20,W,401547509,2023 Regular Season,Dee Eskridge,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,L,401547513,2023 Regular Season,Dee Eskridge,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,L,401547544,2023 Regular Season,Dee Eskridge,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,1,10,10.0,10,0,0,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,L,401547553,2023 Regular Season,Dee Eskridge,2023,Regular Season,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,30,30.0,0,30,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,24,3,L,401671662,2024 Regular Season,Dee Eskridge,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,L,401671683,2024 Regular Season,Dee Eskridge,2024,Regular Season,2,30.0,1.0,0.0,1.0,30.0,1.0,0.0,1.0,30.0,1.0,0.0,1.0,30.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,28,L,401671850,2024 Regular Season,Dee Eskridge,2024,Regular Season,3,30.0,1.0,0.0,1.0,15.0,0.5,0.0,0.5,15.0,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,30,27,L,401671493,2024 Regular Season,Dee Eskridge,2024,Regular Season,4,36.0,2.0,0.0,2.0,12.0,0.6666666666666666,0.0,0.6666666666666666,12.0,0.6666666666666666,0.0,0.6666666666666666,6.0,0.0,0,0
