receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,7,14,7.0,0,8,8,52,6.5,27,1,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,L,401437647,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,44,8.8,0,15,4,53,13.3,51,0,1,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,W,401437605,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,2,14.0,2.0,0.0,7.0,14.0,2.0,0.0,7.0,14.0,2.0,0.0,7.0,7.0,0.0,0,0
5,8,73,14.6,0,32,5,6,1.2,3,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,L,401437746,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,3,58.0,7.0,0.0,13.0,29.0,3.5,0.0,6.5,29.0,3.5,0.0,6.5,8.8,0.0,0,0
6,7,115,19.2,1,57,2,2,1.0,1,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,W,401437761,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,4,131.0,12.0,0.0,21.0,43.666666666666664,4.0,0.0,7.0,43.666666666666664,4.0,0.0,7.0,14.6,0.0,0,1
2,9,20,10.0,1,16,2,12,6.0,9,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,W,401437772,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,5,246.0,18.0,1.0,28.0,61.5,4.5,0.25,7.0,77.33333333333333,5.333333333333333,0.3333333333333333,7.0,19.166666666666668,0.0,0,1
7,10,79,11.3,0,27,2,11,5.5,7,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,L,401437778,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,6,266.0,20.0,2.0,37.0,53.2,4.0,0.4,7.4,69.33333333333333,4.333333333333333,0.6666666666666666,8.0,10.0,0.03571428571428571,0,0
5,7,42,8.4,0,22,1,2,2.0,2,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,L,401437802,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,7,345.0,27.0,2.0,47.0,57.5,4.5,0.3333333333333333,7.833333333333333,71.33333333333333,5.0,0.6666666666666666,8.666666666666666,11.285714285714286,0.05405405405405406,0,0
2,6,24,12.0,0,16,4,27,6.8,15,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,W,401437842,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,8,387.0,32.0,2.0,54.0,55.285714285714285,4.571428571428571,0.2857142857142857,7.714285714285714,47.0,4.666666666666667,0.3333333333333333,8.666666666666666,8.4,0.0425531914893617,0,0
7,9,57,8.1,0,19,3,37,12.3,39,1,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,W,401435642,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,9,411.0,34.0,2.0,60.0,51.375,4.25,0.25,7.5,48.333333333333336,4.666666666666667,0.0,7.666666666666667,12.0,0.037037037037037035,0,0
3,7,43,14.3,0,20,2,0,0.0,3,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,W,401437870,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,10,468.0,41.0,2.0,69.0,52.0,4.555555555555555,0.2222222222222222,7.666666666666667,41.0,4.666666666666667,0.0,7.333333333333333,8.142857142857142,0.03333333333333333,0,0
6,10,58,9.7,0,12,4,5,1.3,9,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,W,401437883,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,11,511.0,44.0,2.0,76.0,51.1,4.4,0.2,7.6,41.333333333333336,4.0,0.0,7.333333333333333,14.333333333333334,0.028985507246376812,0,0
4,5,43,10.8,0,18,4,21,5.3,13,1,1,1,0,0,14,2022-12-11T21:25:00.000+00:00,35,7,W,401437897,2022 Regular Season,Deebo Samuel Sr.,2022,Regular Season,12,569.0,50.0,2.0,86.0,51.72727272727273,4.545454545454546,0.18181818181818182,7.818181818181818,52.666666666666664,5.333333333333333,0.0,8.666666666666666,9.666666666666666,0.02631578947368421,0,0
