receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,19,9.5,0,11,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Demarcus Robinson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,12,12.0,1,12,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Demarcus Robinson,2022,Regular Season,2,19.0,2.0,0.0,4.0,19.0,2.0,0.0,4.0,19.0,2.0,0.0,4.0,9.5,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Demarcus Robinson,2022,Regular Season,3,31.0,3.0,1.0,6.0,15.5,1.5,0.5,3.0,15.5,1.5,0.5,3.0,12.0,0.0,0,0
2,3,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Demarcus Robinson,2022,Regular Season,4,31.0,3.0,1.0,7.0,10.333333333333334,1.0,0.3333333333333333,2.3333333333333335,10.333333333333334,1.0,0.3333333333333333,2.3333333333333335,0.0,0.16666666666666666,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Demarcus Robinson,2022,Regular Season,5,41.0,5.0,1.0,10.0,10.25,1.25,0.25,2.5,7.333333333333333,1.0,0.3333333333333333,2.0,5.0,0.14285714285714285,0,0
3,5,27,9.0,0,15,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Demarcus Robinson,2022,Regular Season,6,49.0,6.0,1.0,12.0,9.8,1.2,0.2,2.4,6.0,1.0,0.0,2.0,8.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Demarcus Robinson,2022,Regular Season,7,76.0,9.0,1.0,17.0,12.666666666666666,1.5,0.16666666666666666,2.8333333333333335,15.0,2.0,0.0,3.3333333333333335,9.0,0.08333333333333333,0,0
6,8,64,10.7,0,16,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Demarcus Robinson,2022,Regular Season,8,76.0,9.0,1.0,17.0,10.857142857142858,1.2857142857142858,0.14285714285714285,2.4285714285714284,11.666666666666666,1.3333333333333333,0.0,2.3333333333333335,0.0,0.058823529411764705,0,0
1,4,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,W,401437831,2022 Regular Season,Demarcus Robinson,2022,Regular Season,9,140.0,15.0,1.0,25.0,17.5,1.875,0.125,3.125,30.333333333333332,3.0,0.0,4.333333333333333,10.666666666666666,0.058823529411764705,0,0
9,9,128,14.2,0,31,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Demarcus Robinson,2022,Regular Season,10,152.0,16.0,1.0,29.0,16.88888888888889,1.7777777777777777,0.1111111111111111,3.2222222222222223,25.333333333333332,2.3333333333333335,0.0,4.0,12.0,0.04,0,0
