receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,L,401547401,2023 Regular Season,Derius Davis,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,1,10,10.0,10,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,L,401547414,2023 Regular Season,Derius Davis,2023,Regular Season,2,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,W,401547436,2023 Regular Season,Derius Davis,2023,Regular Season,3,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0,0
2,2,16,8.0,0,11,3,51,17.0,51,0,1,0,0,0,4,2023-10-01T20:05:00.000+00:00,24,17,W,401547447,2023 Regular Season,Derius Davis,2023,Regular Season,4,8.0,2.0,0.0,2.0,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-17T00:15:00.000+00:00,17,20,L,401547482,2023 Regular Season,Derius Davis,2023,Regular Season,5,24.0,4.0,0.0,4.0,6.0,1.0,0.0,1.0,6.333333333333333,1.0,0.0,1.0,8.0,0.0,0,0
1,2,10,10.0,0,10,3,14,4.7,11,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,31,17,L,401547488,2023 Regular Season,Derius Davis,2023,Regular Season,6,24.0,4.0,0.0,4.0,4.8,0.8,0.0,0.8,6.333333333333333,1.0,0.0,1.0,0.0,0.0,0,0
2,2,4,2.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2023-10-30T00:20:00.000+00:00,30,13,W,401547510,2023 Regular Season,Derius Davis,2023,Regular Season,7,34.0,5.0,0.0,6.0,5.666666666666667,0.8333333333333334,0.0,1.0,8.666666666666666,1.0,0.0,1.3333333333333333,10.0,0.0,0,0
1,1,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,9,2023-11-07T01:15:00.000+00:00,6,27,W,401547524,2023 Regular Season,Derius Davis,2023,Regular Season,8,38.0,7.0,0.0,8.0,5.428571428571429,1.0,0.0,1.1428571428571428,4.666666666666667,1.0,0.0,1.3333333333333333,2.0,0.0,0,0
2,2,7,3.5,0,9,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,L,401547530,2023 Regular Season,Derius Davis,2023,Regular Season,9,38.0,8.0,0.0,9.0,4.75,1.0,0.0,1.125,4.666666666666667,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
1,1,-3,-3.0,0,-3,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,23,20,L,401547547,2023 Regular Season,Derius Davis,2023,Regular Season,10,45.0,10.0,0.0,11.0,5.0,1.1111111111111112,0.0,1.2222222222222223,3.6666666666666665,1.6666666666666667,0.0,1.6666666666666667,3.5,0.0,0,0
1,1,2,2.0,0,2,2,-1,-0.5,1,0,0,0,0,0,12,2023-11-27T01:20:00.000+00:00,10,20,L,401547564,2023 Regular Season,Derius Davis,2023,Regular Season,11,42.0,11.0,0.0,12.0,4.2,1.1,0.0,1.2,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,-3.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,0,6,W,401547567,2023 Regular Season,Derius Davis,2023,Regular Season,12,44.0,12.0,0.0,13.0,4.0,1.0909090909090908,0.0,1.1818181818181819,2.0,1.3333333333333333,0.0,1.3333333333333333,2.0,0.0,0,0
