receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,14,2022-12-11T21:25:00.000+00:00,35,7,L,401437897,2022 Regular Season,Deven Thompkins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,7,7.0,0,7,1,9,9.0,9,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,23,34,L,401437914,2022 Regular Season,Deven Thompkins,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-26T01:20:00.000+00:00,16,19,W,401437930,2022 Regular Season,Deven Thompkins,2022,Regular Season,3,7.0,1.0,0.0,1.0,3.5,0.5,0.0,0.5,3.5,0.5,0.0,0.5,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,30,24,W,401437941,2022 Regular Season,Deven Thompkins,2022,Regular Season,4,7.0,1.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
4,9,25,6.3,0,13,1,17,17.0,17,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,30,17,L,401437948,2022 Regular Season,Deven Thompkins,2022,Regular Season,5,7.0,1.0,0.0,1.0,1.75,0.25,0.0,0.25,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
2,3,10,5.0,0,8,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,17,20,W,401547398,2023 Regular Season,Deven Thompkins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,1,11,11.0,11,0,1,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,17,W,401547420,2023 Regular Season,Deven Thompkins,2023,Regular Season,2,10.0,2.0,0.0,3.0,10.0,2.0,0.0,3.0,10.0,2.0,0.0,3.0,5.0,0.0,0,0
2,4,6,3.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,L,401547440,2023 Regular Season,Deven Thompkins,2023,Regular Season,3,10.0,2.0,0.0,3.0,5.0,1.0,0.0,1.5,5.0,1.0,0.0,1.5,0.0,0.0,0,0
4,4,45,11.3,1,26,1,11,11.0,11,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,9,26,W,401547450,2023 Regular Season,Deven Thompkins,2023,Regular Season,4,16.0,4.0,0.0,7.0,5.333333333333333,1.3333333333333333,0.0,2.3333333333333335,5.333333333333333,1.3333333333333333,0.0,2.3333333333333335,3.0,0.0,0,1
2,4,-2,-1.0,0,0,1,5,5.0,5,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,L,401547478,2023 Regular Season,Deven Thompkins,2023,Regular Season,5,61.0,8.0,1.0,11.0,15.25,2.0,0.25,2.75,17.0,2.0,0.3333333333333333,2.6666666666666665,11.25,0.0,0,0
