receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,54,13.5,2,25,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Devin Duvernay,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,42,21.0,0,26,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Devin Duvernay,2022,Regular Season,2,54.0,4.0,2.0,4.0,54.0,4.0,2.0,4.0,54.0,4.0,2.0,4.0,13.5,0.0,0,0
2,2,25,12.5,1,21,2,-2,-1.0,2,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Devin Duvernay,2022,Regular Season,3,96.0,6.0,2.0,6.0,48.0,3.0,1.0,3.0,48.0,3.0,1.0,3.0,21.0,0.5,0,1
4,5,51,12.8,0,21,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Devin Duvernay,2022,Regular Season,4,121.0,8.0,3.0,8.0,40.333333333333336,2.6666666666666665,1.0,2.6666666666666665,40.333333333333336,2.6666666666666665,1.0,2.6666666666666665,12.5,0.3333333333333333,0,0
5,7,54,10.8,0,21,3,24,8.0,12,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Devin Duvernay,2022,Regular Season,5,172.0,12.0,3.0,13.0,43.0,3.0,0.75,3.25,39.333333333333336,2.6666666666666665,0.3333333333333333,3.0,12.75,0.375,0,0
1,5,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Devin Duvernay,2022,Regular Season,6,226.0,17.0,3.0,20.0,45.2,3.4,0.6,4.0,43.333333333333336,3.6666666666666665,0.3333333333333333,4.666666666666667,10.8,0.23076923076923078,0,0
2,3,42,21.0,0,31,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Devin Duvernay,2022,Regular Season,7,240.0,18.0,3.0,25.0,40.0,3.0,0.5,4.166666666666667,39.666666666666664,3.3333333333333335,0.0,5.666666666666667,14.0,0.15,0,0
4,4,31,7.8,0,13,2,33,16.5,18,1,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Devin Duvernay,2022,Regular Season,8,282.0,20.0,3.0,28.0,40.285714285714285,2.857142857142857,0.42857142857142855,4.0,36.666666666666664,2.6666666666666665,0.0,5.0,21.0,0.12,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,W,401437831,2022 Regular Season,Devin Duvernay,2022,Regular Season,9,313.0,24.0,3.0,32.0,39.125,3.0,0.375,4.0,29.0,2.3333333333333335,0.0,4.0,7.75,0.10714285714285714,0,0
1,1,3,3.0,0,3,1,4,4.0,4,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Devin Duvernay,2022,Regular Season,10,318.0,25.0,3.0,33.0,35.333333333333336,2.7777777777777777,0.3333333333333333,3.6666666666666665,26.0,2.3333333333333335,0.0,2.6666666666666665,5.0,0.09375,0,0
3,5,23,7.7,0,11,2,16,8.0,9,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,28,27,L,401437862,2022 Regular Season,Devin Duvernay,2022,Regular Season,11,321.0,26.0,3.0,34.0,32.1,2.6,0.3,3.4,13.0,2.0,0.0,2.0,3.0,0.09090909090909091,0,0
6,6,34,5.7,0,13,2,9,4.5,10,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,W,401437875,2022 Regular Season,Devin Duvernay,2022,Regular Season,12,344.0,29.0,3.0,39.0,31.272727272727273,2.6363636363636362,0.2727272727272727,3.5454545454545454,10.333333333333334,1.6666666666666667,0.0,2.3333333333333335,7.666666666666667,0.08823529411764706,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,W,401437894,2022 Regular Season,Devin Duvernay,2022,Regular Season,13,378.0,35.0,3.0,45.0,31.5,2.9166666666666665,0.25,3.75,20.0,3.3333333333333335,0.0,4.0,5.666666666666667,0.07692307692307693,0,0
2,3,29,14.5,0,19,0,0,0.0,0,0,1,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,L,401437903,2022 Regular Season,Devin Duvernay,2022,Regular Season,14,378.0,35.0,3.0,46.0,29.076923076923077,2.6923076923076925,0.23076923076923078,3.5384615384615383,19.0,3.0,0.0,4.0,0.0,0.06666666666666667,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Devin Duvernay,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,3,0,0.0,0,0,3,15,5.0,8,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Devin Duvernay,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Devin Duvernay,2023,Regular Season,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0,0
2,2,8,4.0,0,10,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,W,401547445,2023 Regular Season,Devin Duvernay,2023,Regular Season,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Devin Duvernay,2023,Regular Season,5,8.0,2.0,0.0,6.0,2.0,0.5,0.0,1.5,2.6666666666666665,0.6666666666666666,0.0,2.0,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,W,401547229,2023 Regular Season,Devin Duvernay,2023,Regular Season,6,8.0,2.0,0.0,7.0,1.6,0.4,0.0,1.4,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,W,401547489,2023 Regular Season,Devin Duvernay,2023,Regular Season,7,8.0,2.0,0.0,7.0,1.3333333333333333,0.3333333333333333,0.0,1.1666666666666667,2.6666666666666665,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,W,401547501,2023 Regular Season,Devin Duvernay,2023,Regular Season,8,8.0,2.0,0.0,7.0,1.1428571428571428,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Devin Duvernay,2023,Regular Season,9,8.0,2.0,0.0,7.0,1.0,0.25,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,L,401547531,2023 Regular Season,Devin Duvernay,2023,Regular Season,10,18.0,4.0,0.0,9.0,2.0,0.4444444444444444,0.0,1.0,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Devin Duvernay,2023,Regular Season,11,18.0,4.0,0.0,9.0,1.8,0.4,0.0,0.9,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
