receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,38,W,401547407,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,40,20.0,1,32,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,L,401547417,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1
4,6,45,11.3,0,18,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,18,17,W,401547434,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,3,40.0,2.0,1.0,6.0,20.0,1.0,0.5,3.0,20.0,1.0,0.5,3.0,20.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,L,401547442,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,4,85.0,6.0,1.0,12.0,28.333333333333332,2.0,0.3333333333333333,4.0,28.333333333333332,2.0,0.3333333333333333,4.0,11.25,0.16666666666666666,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,5,2023-10-10T00:15:00.000+00:00,17,13,L,401547468,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,5,85.0,6.0,1.0,13.0,21.25,1.5,0.25,3.25,28.333333333333332,2.0,0.3333333333333333,3.6666666666666665,0.0,0.08333333333333333,0,0
1,1,17,17.0,0,17,1,1,1.0,1,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,19,17,L,401547487,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,6,95.0,7.0,1.0,14.0,19.0,1.4,0.2,2.8,18.333333333333332,1.6666666666666667,0.0,2.6666666666666665,10.0,0.07692307692307693,0,0
2,4,28,14.0,0,17,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,24,L,401547506,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,7,112.0,8.0,1.0,15.0,18.666666666666668,1.3333333333333333,0.16666666666666666,2.5,9.0,0.6666666666666666,0.0,1.0,17.0,0.07142857142857142,0,0
4,4,49,12.3,0,18,0,0,0.0,0,0,1,1,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,W,401547519,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,8,140.0,10.0,1.0,19.0,20.0,1.4285714285714286,0.14285714285714285,2.7142857142857144,18.333333333333332,1.3333333333333333,0.0,2.0,14.0,0.06666666666666667,0,0
3,4,51,17.0,0,32,0,0,0.0,0,0,1,0,0,0,10,2023-11-12T18:00:00.000+00:00,23,19,L,401547527,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,9,189.0,14.0,1.0,23.0,23.625,1.75,0.125,2.875,31.333333333333332,2.3333333333333335,0.0,3.0,12.25,0.05263157894736842,0,0
3,5,91,30.3,0,35,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,23,20,W,401547547,2023 Regular Season,Dontayvion Wicks,2023,Regular Season,10,240.0,17.0,1.0,27.0,26.666666666666668,1.8888888888888888,0.1111111111111111,3.0,42.666666666666664,3.0,0.0,4.0,17.0,0.043478260869565216,0,0
