receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,74,14.8,0,31,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,Drake London,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
8,12,86,10.8,1,22,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,L,401437733,2022 Regular Season,Drake London,2022,Regular Season,2,74.0,5.0,0.0,7.0,74.0,5.0,0.0,7.0,74.0,5.0,0.0,7.0,14.8,0.0,0,1
3,6,54,18.0,1,30,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,W,401437745,2022 Regular Season,Drake London,2022,Regular Season,3,160.0,13.0,1.0,19.0,80.0,6.5,0.5,9.5,80.0,6.5,0.5,9.5,10.75,0.0,0,1
2,7,17,8.5,0,10,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,W,401437749,2022 Regular Season,Drake London,2022,Regular Season,4,214.0,16.0,2.0,25.0,71.33333333333333,5.333333333333333,0.6666666666666666,8.333333333333334,71.33333333333333,5.333333333333333,0.6666666666666666,8.333333333333334,18.0,0.05263157894736842,0,0
4,7,35,8.8,0,15,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,L,401437770,2022 Regular Season,Drake London,2022,Regular Season,5,231.0,18.0,2.0,32.0,57.75,4.5,0.5,8.0,52.333333333333336,4.333333333333333,0.6666666666666666,8.333333333333334,8.5,0.08,0,0
3,4,40,13.3,0,20,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,W,401437778,2022 Regular Season,Drake London,2022,Regular Season,6,266.0,22.0,2.0,39.0,53.2,4.4,0.4,7.8,35.333333333333336,3.0,0.3333333333333333,6.666666666666667,8.75,0.0625,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,L,401437794,2022 Regular Season,Drake London,2022,Regular Season,7,306.0,25.0,2.0,43.0,51.0,4.166666666666667,0.3333333333333333,7.166666666666667,30.666666666666668,3.0,0.0,6.0,13.333333333333334,0.05128205128205128,0,0
4,5,31,7.8,0,17,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,W,401437806,2022 Regular Season,Drake London,2022,Regular Season,8,315.0,26.0,2.0,44.0,45.0,3.7142857142857144,0.2857142857142857,6.285714285714286,28.0,2.6666666666666665,0.0,4.0,9.0,0.046511627906976744,0,0
3,7,23,7.7,0,12,0,0,0.0,0,0,1,1,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437820,2022 Regular Season,Drake London,2022,Regular Season,9,346.0,30.0,2.0,49.0,43.25,3.75,0.25,6.125,26.666666666666668,2.6666666666666665,0.0,3.3333333333333335,7.75,0.045454545454545456,0,0
5,6,38,7.6,1,14,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,L,401437832,2022 Regular Season,Drake London,2022,Regular Season,10,369.0,33.0,2.0,56.0,41.0,3.6666666666666665,0.2222222222222222,6.222222222222222,21.0,2.6666666666666665,0.0,4.333333333333333,7.666666666666667,0.04081632653061224,0,1
