receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,21,31,L,401547404,2023 Regular Season,Drew Ogletree,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,W,401547427,2023 Regular Season,Drew Ogletree,2023,Regular Season,2,20.0,1.0,0.0,2.0,20.0,1.0,0.0,2.0,20.0,1.0,0.0,2.0,20.0,0.0,0,0
3,4,48,16.0,1,22,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,L,401547449,2023 Regular Season,Drew Ogletree,2023,Regular Season,3,31.0,2.0,0.0,4.0,15.5,1.0,0.0,2.0,15.5,1.0,0.0,2.0,11.0,0.0,0,1
2,2,16,8.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,23,16,W,401547458,2023 Regular Season,Drew Ogletree,2023,Regular Season,4,79.0,5.0,1.0,8.0,26.333333333333332,1.6666666666666667,0.3333333333333333,2.6666666666666665,26.333333333333332,1.6666666666666667,0.3333333333333333,2.6666666666666665,16.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,L,401547472,2023 Regular Season,Drew Ogletree,2023,Regular Season,5,95.0,7.0,1.0,10.0,23.75,1.75,0.25,2.5,25.0,2.0,0.3333333333333333,2.6666666666666665,8.0,0.125,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,39,L,401547484,2023 Regular Season,Drew Ogletree,2023,Regular Season,6,95.0,7.0,1.0,11.0,19.0,1.4,0.2,2.2,21.333333333333332,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.0,0.1,0,0
1,3,33,33.0,1,33,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,27,38,L,401547507,2023 Regular Season,Drew Ogletree,2023,Regular Season,7,95.0,7.0,1.0,11.0,15.833333333333334,1.1666666666666667,0.16666666666666666,1.8333333333333333,5.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.09090909090909091,0,1
1,3,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:05:00.000+00:00,13,27,W,401547517,2023 Regular Season,Drew Ogletree,2023,Regular Season,8,128.0,8.0,2.0,14.0,18.285714285714285,1.1428571428571428,0.2857142857142857,2.0,11.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,33.0,0.09090909090909091,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,31,W,401547570,2023 Regular Season,Drew Ogletree,2023,Regular Season,9,147.0,9.0,2.0,17.0,18.375,1.125,0.25,2.125,17.333333333333332,0.6666666666666666,0.3333333333333333,2.0,19.0,0.14285714285714285,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,L,401547580,2023 Regular Season,Drew Ogletree,2023,Regular Season,10,147.0,9.0,2.0,18.0,16.333333333333332,1.0,0.2222222222222222,2.0,17.333333333333332,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,0.11764705882352941,0,0
