receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,L,401437634,2022 Regular Season,Drew Sample,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,-4,-4.0,0,-4,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,L,401437734,2022 Regular Season,Drew Sample,2022,Regular Season,2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,L,401547397,2023 Regular Season,Drew Sample,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,L,401547412,2023 Regular Season,Drew Sample,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,W,401547441,2023 Regular Season,Drew Sample,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,-1,-1.0,0,-1,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,L,401547452,2023 Regular Season,Drew Sample,2023,Regular Season,4,7.0,1.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,W,401547466,2023 Regular Season,Drew Sample,2023,Regular Season,5,6.0,2.0,0.0,2.0,1.5,0.5,0.0,0.5,2.0,0.6666666666666666,0.0,0.6666666666666666,-1.0,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,W,401547471,2023 Regular Season,Drew Sample,2023,Regular Season,6,6.0,2.0,0.0,2.0,1.2,0.4,0.0,0.4,2.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,17,31,W,401547503,2023 Regular Season,Drew Sample,2023,Regular Season,7,10.0,3.0,0.0,3.0,1.6666666666666667,0.5,0.0,0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,4.0,0.0,0,0
3,4,30,10.0,1,22,0,0,0.0,0,0,0,0,0,0,9,2023-11-06T01:20:00.000+00:00,24,18,W,401547523,2023 Regular Season,Drew Sample,2023,Regular Season,8,10.0,3.0,0.0,4.0,1.4285714285714286,0.42857142857142855,0.0,0.5714285714285714,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,1
2,3,12,6.0,0,9,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,L,401547526,2023 Regular Season,Drew Sample,2023,Regular Season,9,40.0,6.0,1.0,8.0,5.0,0.75,0.125,1.0,11.333333333333334,1.3333333333333333,0.3333333333333333,2.0,10.0,0.0,0,0
2,2,19,9.5,0,13,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,L,401547538,2023 Regular Season,Drew Sample,2023,Regular Season,10,52.0,8.0,1.0,11.0,5.777777777777778,0.8888888888888888,0.1111111111111111,1.2222222222222223,14.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,6.0,0.125,0,0
1,1,11,11.0,1,11,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,L,401547554,2023 Regular Season,Drew Sample,2023,Regular Season,11,71.0,10.0,1.0,13.0,7.1,1.0,0.1,1.3,20.333333333333332,2.3333333333333335,0.3333333333333333,3.0,9.5,0.09090909090909091,0,1
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,W,401547577,2023 Regular Season,Drew Sample,2023,Regular Season,12,82.0,11.0,2.0,14.0,7.454545454545454,1.0,0.18181818181818182,1.2727272727272727,14.0,1.6666666666666667,0.3333333333333333,2.0,11.0,0.07692307692307693,0,0
2,2,4,2.0,0,3,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,W,401547580,2023 Regular Season,Drew Sample,2023,Regular Season,13,93.0,12.0,2.0,15.0,7.75,1.0,0.16666666666666666,1.25,13.666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,11.0,0.14285714285714285,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,W,401547604,2023 Regular Season,Drew Sample,2023,Regular Season,14,97.0,14.0,2.0,17.0,7.461538461538462,1.0769230769230769,0.15384615384615385,1.3076923076923077,8.666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,0.13333333333333333,0,0
3,3,38,12.7,0,16,0,0,0.0,0,0,0,0,0,0,16,2023-12-23T21:30:00.000+00:00,34,11,L,401547610,2023 Regular Season,Drew Sample,2023,Regular Season,15,97.0,14.0,2.0,18.0,6.928571428571429,1.0,0.14285714285714285,1.2857142857142858,5.0,1.0,0.0,1.3333333333333333,0.0,0.11764705882352941,0,0
3,4,21,7.0,0,11,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,L,401547235,2023 Regular Season,Drew Sample,2023,Regular Season,16,135.0,17.0,2.0,21.0,9.0,1.1333333333333333,0.13333333333333333,1.4,14.0,1.6666666666666667,0.0,2.0,12.666666666666666,0.1111111111111111,0,0
2,2,7,3.5,0,5,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,31,14,W,401547641,2023 Regular Season,Drew Sample,2023,Regular Season,17,156.0,20.0,2.0,25.0,9.75,1.25,0.125,1.5625,19.666666666666668,2.0,0.0,2.6666666666666665,7.0,0.09523809523809523,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,L,401671628,2024 Regular Season,Drew Sample,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,28,9.3,0,12,0,0,0.0,0,0,1,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,L,401671670,2024 Regular Season,Drew Sample,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,L,401671490,2024 Regular Season,Drew Sample,2024,Regular Season,3,28.0,3.0,0.0,3.0,14.0,1.5,0.0,1.5,14.0,1.5,0.0,1.5,9.333333333333334,0.0,0,0
