receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Durham Smythe,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Durham Smythe,2022,Regular Season,2,14.0,1.0,0.0,2.0,14.0,1.0,0.0,2.0,14.0,1.0,0.0,2.0,14.0,0.0,0,0
3,3,23,7.7,0,13,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Durham Smythe,2022,Regular Season,3,19.0,2.0,0.0,3.0,9.5,1.0,0.0,1.5,9.5,1.0,0.0,1.5,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,Durham Smythe,2022,Regular Season,4,42.0,5.0,0.0,6.0,14.0,1.6666666666666667,0.0,2.0,14.0,1.6666666666666667,0.0,2.0,7.666666666666667,0.0,0,0
1,1,8,8.0,0,8,1,1,1.0,1,1,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Durham Smythe,2022,Regular Season,5,42.0,5.0,0.0,6.0,10.5,1.25,0.0,1.5,9.333333333333334,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Durham Smythe,2022,Regular Season,6,50.0,6.0,0.0,7.0,10.0,1.2,0.0,1.4,10.333333333333334,1.3333333333333333,0.0,1.3333333333333333,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Durham Smythe,2022,Regular Season,7,50.0,6.0,0.0,7.0,8.333333333333334,1.0,0.0,1.1666666666666667,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Durham Smythe,2022,Regular Season,8,50.0,6.0,0.0,7.0,7.142857142857143,0.8571428571428571,0.0,1.0,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Durham Smythe,2022,Regular Season,9,50.0,6.0,0.0,9.0,6.25,0.75,0.0,1.125,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,4,4.0,1,4,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Durham Smythe,2022,Regular Season,10,50.0,6.0,0.0,9.0,5.555555555555555,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,1
2,2,21,10.5,0,19,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Durham Smythe,2022,Regular Season,11,54.0,7.0,1.0,10.0,5.4,0.7,0.1,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,14,2022-12-12T01:20:00.000+00:00,23,17,L,401437896,2022 Regular Season,Durham Smythe,2022,Regular Season,12,75.0,9.0,1.0,12.0,6.818181818181818,0.8181818181818182,0.09090909090909091,1.0909090909090908,8.333333333333334,1.0,0.3333333333333333,1.0,10.5,0.1,0,0
1,1,-2,-2.0,0,-2,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T01:15:00.000+00:00,32,29,L,401437902,2022 Regular Season,Durham Smythe,2022,Regular Season,13,75.0,9.0,1.0,12.0,6.25,0.75,0.08333333333333333,1.0,8.333333333333334,1.0,0.3333333333333333,1.0,0.0,0.08333333333333333,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,L,401437929,2022 Regular Season,Durham Smythe,2022,Regular Season,14,73.0,10.0,1.0,13.0,5.615384615384615,0.7692307692307693,0.07692307692307693,1.0,6.333333333333333,1.0,0.0,1.0,-2.0,0.08333333333333333,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,L,401437938,2022 Regular Season,Durham Smythe,2022,Regular Season,15,81.0,11.0,1.0,14.0,5.785714285714286,0.7857142857142857,0.07142857142857142,1.0,2.0,0.6666666666666666,0.0,0.6666666666666666,8.0,0.07692307692307693,0,0
3,5,39,13.0,0,26,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,W,401437955,2022 Regular Season,Durham Smythe,2022,Regular Season,16,90.0,12.0,1.0,15.0,6.0,0.8,0.06666666666666667,1.0,5.0,1.0,0.0,1.0,9.0,0.07142857142857142,0,0
3,7,44,14.7,0,18,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,W,401547401,2023 Regular Season,Durham Smythe,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,23,7.7,0,9,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,W,401547423,2023 Regular Season,Durham Smythe,2023,Regular Season,2,44.0,3.0,0.0,7.0,44.0,3.0,0.0,7.0,44.0,3.0,0.0,7.0,14.666666666666666,0.0,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,W,401547429,2023 Regular Season,Durham Smythe,2023,Regular Season,3,67.0,6.0,0.0,10.0,33.5,3.0,0.0,5.0,33.5,3.0,0.0,5.0,7.666666666666667,0.0,0,0
4,4,41,10.3,0,22,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,L,401547443,2023 Regular Season,Durham Smythe,2023,Regular Season,4,82.0,7.0,0.0,11.0,27.333333333333332,2.3333333333333335,0.0,3.6666666666666665,27.333333333333332,2.3333333333333335,0.0,3.6666666666666665,15.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,W,401547465,2023 Regular Season,Durham Smythe,2023,Regular Season,5,123.0,11.0,0.0,15.0,30.75,2.75,0.0,3.75,26.333333333333332,2.6666666666666665,0.0,2.6666666666666665,10.25,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,42,21,W,401547473,2023 Regular Season,Durham Smythe,2023,Regular Season,6,123.0,11.0,0.0,15.0,24.6,2.2,0.0,3.0,18.666666666666668,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,L,401547494,2023 Regular Season,Durham Smythe,2023,Regular Season,7,123.0,11.0,0.0,16.0,20.5,1.8333333333333333,0.0,2.6666666666666665,13.666666666666666,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
3,3,28,9.3,0,15,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,W,401547497,2023 Regular Season,Durham Smythe,2023,Regular Season,8,123.0,11.0,0.0,16.0,17.571428571428573,1.5714285714285714,0.0,2.2857142857142856,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
3,3,17,5.7,0,8,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T14:30:00.000+00:00,21,14,L,401547230,2023 Regular Season,Durham Smythe,2023,Regular Season,9,151.0,14.0,0.0,19.0,18.875,1.75,0.0,2.375,9.333333333333334,1.0,0.0,1.3333333333333333,9.333333333333334,0.0,0,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T20:00:00.000+00:00,13,34,W,401547242,2023 Regular Season,Durham Smythe,2023,Regular Season,10,168.0,17.0,0.0,22.0,18.666666666666668,1.8888888888888888,0.0,2.4444444444444446,15.0,2.0,0.0,2.0,5.666666666666667,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,15,45,W,401547574,2023 Regular Season,Durham Smythe,2023,Regular Season,11,178.0,18.0,0.0,25.0,17.8,1.8,0.0,2.5,18.333333333333332,2.3333333333333335,0.0,3.0,10.0,0.0,0,0
