receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,Dyami Brown,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,L,401437732,2022 Regular Season,Dyami Brown,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,L,401437742,2022 Regular Season,Dyami Brown,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,4,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,L,401437751,2022 Regular Season,Dyami Brown,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,4,105,52.5,2,75,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,L,401437771,2022 Regular Season,Dyami Brown,2022,Regular Season,5,6.0,1.0,0.0,4.0,1.5,0.25,0.0,1.0,2.0,0.3333333333333333,0.0,1.3333333333333333,6.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,W,401437777,2022 Regular Season,Dyami Brown,2022,Regular Season,6,111.0,3.0,2.0,8.0,22.2,0.6,0.4,1.6,37.0,1.0,0.6666666666666666,2.6666666666666665,52.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437827,2022 Regular Season,Dyami Brown,2022,Regular Season,7,111.0,3.0,2.0,9.0,18.5,0.5,0.3333333333333333,1.5,37.0,1.0,0.6666666666666666,3.0,0.0,0.25,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,W,401437843,2022 Regular Season,Dyami Brown,2022,Regular Season,8,111.0,3.0,2.0,10.0,15.857142857142858,0.42857142857142855,0.2857142857142857,1.4285714285714286,35.0,0.6666666666666666,0.6666666666666666,2.0,0.0,0.2222222222222222,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,W,401437848,2022 Regular Season,Dyami Brown,2022,Regular Season,9,126.0,4.0,2.0,11.0,15.75,0.5,0.25,1.375,5.0,0.3333333333333333,0.0,1.0,15.0,0.2,0,0
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,W,401437866,2022 Regular Season,Dyami Brown,2022,Regular Season,10,126.0,4.0,2.0,11.0,14.0,0.4444444444444444,0.2222222222222222,1.2222222222222223,5.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.18181818181818182,0,0
