receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,L,401547493,2023 Regular Season,Elijah Higgins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,L,401547501,2023 Regular Season,Elijah Higgins,2023,Regular Season,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,27,0,L,401547514,2023 Regular Season,Elijah Higgins,2023,Regular Season,3,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,25,23,W,401547529,2023 Regular Season,Elijah Higgins,2023,Regular Season,4,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,21,16,L,401547540,2023 Regular Season,Elijah Higgins,2023,Regular Season,5,0.0,1.0,0.0,2.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,2,26,26.0,0,26,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,L,401547562,2023 Regular Season,Elijah Higgins,2023,Regular Season,6,2.0,2.0,0.0,4.0,0.4,0.4,0.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,2.0,0.0,0,0
1,2,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,10,24,W,401547568,2023 Regular Season,Elijah Higgins,2023,Regular Season,7,28.0,3.0,0.0,6.0,4.666666666666667,0.5,0.0,1.0,9.333333333333334,0.6666666666666666,0.0,1.6666666666666667,26.0,0.0,0,0
4,4,44,11.0,1,17,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,29,45,L,401547596,2023 Regular Season,Elijah Higgins,2023,Regular Season,8,49.0,4.0,0.0,8.0,7.0,0.5714285714285714,0.0,1.1428571428571428,16.333333333333332,1.0,0.0,2.0,21.0,0.0,0,1
2,3,17,8.5,0,12,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,27,16,L,401547619,2023 Regular Season,Elijah Higgins,2023,Regular Season,9,93.0,8.0,1.0,12.0,11.625,1.0,0.125,1.5,30.333333333333332,2.0,0.3333333333333333,2.6666666666666665,11.0,0.0,0,0
2,2,21,10.5,0,14,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,31,35,W,401547633,2023 Regular Season,Elijah Higgins,2023,Regular Season,10,110.0,10.0,1.0,15.0,12.222222222222221,1.1111111111111112,0.1111111111111111,1.6666666666666667,27.333333333333332,2.3333333333333335,0.3333333333333333,3.0,8.5,0.08333333333333333,0,0
