receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,49,9.8,0,24,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,L,401437632,2022 Regular Season,Elijah Moore,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,41,13.7,0,18,1,-6,-6.0,-6,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,W,401437635,2022 Regular Season,Elijah Moore,2022,Regular Season,2,49.0,5.0,0.0,7.0,49.0,5.0,0.0,7.0,49.0,5.0,0.0,7.0,9.8,0.0,0,0
4,9,49,12.3,0,18,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,L,401437740,2022 Regular Season,Elijah Moore,2022,Regular Season,3,90.0,8.0,0.0,12.0,45.0,4.0,0.0,6.0,45.0,4.0,0.0,6.0,13.666666666666666,0.0,0,0
3,4,53,17.7,0,28,1,2,2.0,2,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,W,401437757,2022 Regular Season,Elijah Moore,2022,Regular Season,4,139.0,12.0,0.0,21.0,46.333333333333336,4.0,0.0,7.0,46.333333333333336,4.0,0.0,7.0,12.25,0.0,0,0
1,4,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,W,401437769,2022 Regular Season,Elijah Moore,2022,Regular Season,5,192.0,15.0,0.0,25.0,48.0,3.75,0.0,6.25,47.666666666666664,3.3333333333333335,0.0,6.0,17.666666666666668,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,W,401437780,2022 Regular Season,Elijah Moore,2022,Regular Season,6,203.0,16.0,0.0,29.0,40.6,3.2,0.0,5.8,37.666666666666664,2.6666666666666665,0.0,5.666666666666667,11.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,L,401437811,2022 Regular Season,Elijah Moore,2022,Regular Season,7,203.0,16.0,0.0,29.0,33.833333333333336,2.6666666666666665,0.0,4.833333333333333,21.333333333333332,1.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,W,401437826,2022 Regular Season,Elijah Moore,2022,Regular Season,8,203.0,16.0,0.0,30.0,29.0,2.2857142857142856,0.0,4.285714285714286,3.6666666666666665,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
2,4,17,8.5,0,13,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,L,401437850,2022 Regular Season,Elijah Moore,2022,Regular Season,9,203.0,16.0,0.0,30.0,25.375,2.0,0.0,3.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,64,32.0,1,42,1,-4,-4.0,-4,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,31,10,W,401437864,2022 Regular Season,Elijah Moore,2022,Regular Season,10,220.0,18.0,0.0,34.0,24.444444444444443,2.0,0.0,3.7777777777777777,5.666666666666667,0.6666666666666666,0.0,1.6666666666666667,8.5,0.0,0,1
