receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,L,401437655,2022 Regular Season,Eric Saubert,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,22,22.0,1,22,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,W,401437641,2022 Regular Season,Eric Saubert,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,W,401437746,2022 Regular Season,Eric Saubert,2022,Regular Season,3,22.0,1.0,1.0,3.0,11.0,0.5,0.5,1.5,11.0,0.5,0.5,1.5,22.0,0.0,0,0
1,2,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,32,23,L,401437760,2022 Regular Season,Eric Saubert,2022,Regular Season,4,22.0,1.0,1.0,4.0,7.333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,7.333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0,0
5,7,36,7.2,0,10,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,L,401437762,2022 Regular Season,Eric Saubert,2022,Regular Season,5,47.0,2.0,1.0,6.0,11.75,0.5,0.25,1.5,15.666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,25.0,0.25,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,L,401437790,2022 Regular Season,Eric Saubert,2022,Regular Season,6,83.0,7.0,1.0,13.0,16.6,1.4,0.2,2.6,20.333333333333332,2.0,0.0,3.3333333333333335,7.2,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,L,401437799,2022 Regular Season,Eric Saubert,2022,Regular Season,7,83.0,7.0,1.0,13.0,13.833333333333334,1.1666666666666667,0.16666666666666666,2.1666666666666665,20.333333333333332,2.0,0.0,3.0,0.0,0.07692307692307693,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,W,401435641,2022 Regular Season,Eric Saubert,2022,Regular Season,8,83.0,7.0,1.0,14.0,11.857142857142858,1.0,0.14285714285714285,2.0,12.0,1.6666666666666667,0.0,2.6666666666666665,0.0,0.07692307692307693,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,L,401437839,2022 Regular Season,Eric Saubert,2022,Regular Season,9,83.0,7.0,1.0,14.0,10.375,0.875,0.125,1.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.07142857142857142,0,0
2,2,16,8.0,0,9,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,L,401437853,2022 Regular Season,Eric Saubert,2022,Regular Season,10,95.0,8.0,1.0,15.0,10.555555555555555,0.8888888888888888,0.1111111111111111,1.6666666666666667,4.0,0.3333333333333333,0.0,0.6666666666666666,12.0,0.07142857142857142,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,10,L,401437860,2022 Regular Season,Eric Saubert,2022,Regular Season,11,111.0,10.0,1.0,17.0,11.1,1.0,0.1,1.7,9.333333333333334,1.0,0.0,1.0,8.0,0.06666666666666667,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,L,401437875,2022 Regular Season,Eric Saubert,2022,Regular Season,12,111.0,10.0,1.0,17.0,10.090909090909092,0.9090909090909091,0.09090909090909091,1.5454545454545454,9.333333333333334,1.0,0.0,1.0,0.0,0.058823529411764705,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:05:00.000+00:00,28,34,L,401437899,2022 Regular Season,Eric Saubert,2022,Regular Season,13,111.0,10.0,1.0,17.0,9.25,0.8333333333333334,0.08333333333333333,1.4166666666666667,5.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.058823529411764705,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,W,401437912,2022 Regular Season,Eric Saubert,2022,Regular Season,14,113.0,11.0,1.0,19.0,8.692307692307692,0.8461538461538461,0.07692307692307693,1.4615384615384615,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,2.0,0.058823529411764705,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T21:30:00.000+00:00,51,14,L,401436983,2022 Regular Season,Eric Saubert,2022,Regular Season,15,118.0,12.0,1.0,21.0,8.428571428571429,0.8571428571428571,0.07142857142857142,1.5,2.3333333333333335,0.6666666666666666,0.0,1.3333333333333333,5.0,0.05263157894736842,0,0
3,3,30,10.0,0,24,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,27,24,L,401437937,2022 Regular Season,Eric Saubert,2022,Regular Season,16,118.0,12.0,1.0,21.0,7.866666666666666,0.8,0.06666666666666667,1.4,2.3333333333333335,0.6666666666666666,0.0,1.3333333333333333,0.0,0.047619047619047616,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,31,28,W,401437960,2022 Regular Season,Eric Saubert,2022,Regular Season,17,148.0,15.0,1.0,24.0,9.25,0.9375,0.0625,1.5,11.666666666666666,1.3333333333333333,0.0,1.6666666666666667,10.0,0.047619047619047616,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,W,401547505,2023 Regular Season,Eric Saubert,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,W,401547515,2023 Regular Season,Eric Saubert,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,W,401547526,2023 Regular Season,Eric Saubert,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,L,401547555,2023 Regular Season,Eric Saubert,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,22,17,W,401547571,2023 Regular Season,Eric Saubert,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,30,6,L,401547582,2023 Regular Season,Eric Saubert,2023,Regular Season,6,5.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,16,19,W,401547595,2023 Regular Season,Eric Saubert,2023,Regular Season,7,5.0,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,22,36,L,401547612,2023 Regular Season,Eric Saubert,2023,Regular Season,8,5.0,1.0,0.0,1.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,3,W,401547631,2023 Regular Season,Eric Saubert,2023,Regular Season,9,5.0,1.0,0.0,1.0,0.625,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T01:15:00.000+00:00,19,23,W,401547644,2023 Regular Season,Eric Saubert,2023,Regular Season,10,7.0,2.0,0.0,2.0,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-10T00:15:00.000+00:00,32,19,W,401671696,2024 Regular Season,Eric Saubert,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,26,13.0,0,14,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,17,L,401671645,2024 Regular Season,Eric Saubert,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
2,2,41,20.5,0,20,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,27,24,L,401671772,2024 Regular Season,Eric Saubert,2024,Regular Season,3,26.0,2.0,0.0,3.0,13.0,1.0,0.0,1.5,13.0,1.0,0.0,1.5,13.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,30,13,W,401671758,2024 Regular Season,Eric Saubert,2024,Regular Season,4,67.0,4.0,0.0,5.0,22.333333333333332,1.3333333333333333,0.0,1.6666666666666667,22.333333333333332,1.3333333333333333,0.0,1.6666666666666667,20.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,23,24,L,401671756,2024 Regular Season,Eric Saubert,2024,Regular Season,5,67.0,4.0,0.0,5.0,16.75,1.0,0.0,1.25,22.333333333333332,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-11T00:15:00.000+00:00,24,36,W,401671819,2024 Regular Season,Eric Saubert,2024,Regular Season,6,67.0,4.0,0.0,5.0,13.4,0.8,0.0,1.0,13.666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:25:00.000+00:00,18,28,L,401671777,2024 Regular Season,Eric Saubert,2024,Regular Season,7,67.0,4.0,0.0,5.0,11.166666666666666,0.6666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-28T00:20:00.000+00:00,30,24,W,401671795,2024 Regular Season,Eric Saubert,2024,Regular Season,8,67.0,4.0,0.0,5.0,9.571428571428571,0.5714285714285714,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,20,23,W,401671742,2024 Regular Season,Eric Saubert,2024,Regular Season,9,67.0,4.0,0.0,5.0,8.375,0.5,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T21:05:00.000+00:00,17,20,L,401671757,2024 Regular Season,Eric Saubert,2024,Regular Season,10,67.0,4.0,0.0,5.0,7.444444444444445,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:25:00.000+00:00,38,10,L,401671768,2024 Regular Season,Eric Saubert,2024,Regular Season,11,74.0,5.0,0.0,6.0,7.4,0.5,0.0,0.6,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,7.0,0.0,0,0
