receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,28,7.0,0,11,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,L,401437646,2022 Regular Season,Evan Engram,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,8,46,6.6,0,12,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,24,0,W,401437639,2022 Regular Season,Evan Engram,2022,Regular Season,2,28.0,4.0,0.0,4.0,28.0,4.0,0.0,4.0,28.0,4.0,0.0,4.0,7.0,0.0,0,0
1,3,9,9.0,0,9,1,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,W,401437743,2022 Regular Season,Evan Engram,2022,Regular Season,3,74.0,11.0,0.0,12.0,37.0,5.5,0.0,6.0,37.0,5.5,0.0,6.0,6.571428571428571,0.0,0,0
1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,L,401437756,2022 Regular Season,Evan Engram,2022,Regular Season,4,83.0,12.0,0.0,15.0,27.666666666666668,4.0,0.0,5.0,27.666666666666668,4.0,0.0,5.0,9.0,0.0,0,0
6,10,69,11.5,0,28,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,L,401437765,2022 Regular Season,Evan Engram,2022,Regular Season,5,99.0,13.0,0.0,16.0,24.75,3.25,0.0,4.0,23.666666666666668,3.0,0.0,4.0,16.0,0.0,0,0
5,6,40,8.0,0,16,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,L,401437781,2022 Regular Season,Evan Engram,2022,Regular Season,6,168.0,19.0,0.0,26.0,33.6,3.8,0.0,5.2,31.333333333333332,2.6666666666666665,0.0,4.666666666666667,11.5,0.0,0,0
4,7,67,16.8,0,28,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,L,401437796,2022 Regular Season,Evan Engram,2022,Regular Season,7,208.0,24.0,0.0,32.0,34.666666666666664,4.0,0.0,5.333333333333333,41.666666666666664,4.0,0.0,5.666666666666667,8.0,0.0,0,0
4,6,55,13.8,1,22,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,L,401435641,2022 Regular Season,Evan Engram,2022,Regular Season,8,275.0,28.0,0.0,39.0,39.285714285714285,4.0,0.0,5.571428571428571,58.666666666666664,5.0,0.0,7.666666666666667,16.75,0.0,0,1
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,27,20,W,401437824,2022 Regular Season,Evan Engram,2022,Regular Season,9,330.0,32.0,1.0,45.0,41.25,4.0,0.125,5.625,54.0,4.333333333333333,0.3333333333333333,6.333333333333333,13.75,0.0,0,0
3,4,14,4.7,0,7,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,L,401437835,2022 Regular Season,Evan Engram,2022,Regular Season,10,338.0,33.0,1.0,47.0,37.55555555555556,3.6666666666666665,0.1111111111111111,5.222222222222222,43.333333333333336,3.0,0.3333333333333333,5.0,8.0,0.022222222222222223,0,0
