receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,L,401437643,2022 Regular Season,Foster Moreau,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,30,10.0,0,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,L,401437642,2022 Regular Season,Foster Moreau,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,4,44,14.7,0,22,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,L,401437741,2022 Regular Season,Foster Moreau,2022,Regular Season,3,30.0,3.0,0.0,4.0,15.0,1.5,0.0,2.0,15.0,1.5,0.0,2.0,10.0,0.0,0,0
3,5,28,9.3,0,17,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,W,401437800,2022 Regular Season,Foster Moreau,2022,Regular Season,4,74.0,6.0,0.0,8.0,24.666666666666668,2.0,0.0,2.6666666666666665,24.666666666666668,2.0,0.0,2.6666666666666665,14.666666666666666,0.0,0,0
6,9,31,5.2,0,12,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,L,401437810,2022 Regular Season,Foster Moreau,2022,Regular Season,5,102.0,9.0,0.0,13.0,25.5,2.25,0.0,3.25,34.0,3.0,0.0,4.333333333333333,9.333333333333334,0.0,0,0
2,5,42,21.0,0,30,0,2,0.0,2,0,1,1,0,0,9,2022-11-06T18:00:00.000+00:00,27,20,L,401437824,2022 Regular Season,Foster Moreau,2022,Regular Season,6,133.0,15.0,0.0,22.0,26.6,3.0,0.0,4.4,34.333333333333336,4.0,0.0,6.0,5.166666666666667,0.0,0,0
3,4,43,14.3,1,21,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,L,401437840,2022 Regular Season,Foster Moreau,2022,Regular Season,7,175.0,17.0,0.0,27.0,29.166666666666668,2.8333333333333335,0.0,4.5,33.666666666666664,3.6666666666666665,0.0,6.333333333333333,21.0,0.0,0,1
1,3,33,33.0,0,33,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,W,401437853,2022 Regular Season,Foster Moreau,2022,Regular Season,8,218.0,20.0,1.0,31.0,31.142857142857142,2.857142857142857,0.14285714285714285,4.428571428571429,38.666666666666664,3.6666666666666665,0.3333333333333333,6.0,14.333333333333334,0.0,0,0
3,7,33,11.0,1,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,34,40,W,401437868,2022 Regular Season,Foster Moreau,2022,Regular Season,9,251.0,21.0,1.0,34.0,31.375,2.625,0.125,4.25,39.333333333333336,2.0,0.3333333333333333,4.0,33.0,0.03225806451612903,0,1
1,3,32,32.0,0,32,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,W,401437885,2022 Regular Season,Foster Moreau,2022,Regular Season,10,284.0,24.0,2.0,41.0,31.555555555555557,2.6666666666666665,0.2222222222222222,4.555555555555555,36.333333333333336,2.3333333333333335,0.6666666666666666,4.666666666666667,11.0,0.029411764705882353,0,0
