receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,8,52,13.0,0,19,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,L,401437632,2022 Regular Season,Garrett Wilson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
8,14,102,12.8,2,31,1,-2,-2.0,-2,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,W,401437635,2022 Regular Season,Garrett Wilson,2022,Regular Season,2,52.0,4.0,0.0,8.0,52.0,4.0,0.0,8.0,52.0,4.0,0.0,8.0,13.0,0.0,0,1
6,11,60,10.0,0,23,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,L,401437740,2022 Regular Season,Garrett Wilson,2022,Regular Season,3,154.0,12.0,2.0,22.0,77.0,6.0,1.0,11.0,77.0,6.0,1.0,11.0,12.75,0.0,0,0
2,6,41,20.5,0,35,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,W,401437757,2022 Regular Season,Garrett Wilson,2022,Regular Season,4,214.0,18.0,2.0,33.0,71.33333333333333,6.0,0.6666666666666666,11.0,71.33333333333333,6.0,0.6666666666666666,11.0,10.0,0.09090909090909091,0,0
3,4,27,9.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,W,401437769,2022 Regular Season,Garrett Wilson,2022,Regular Season,5,255.0,20.0,2.0,39.0,63.75,5.0,0.5,9.75,67.66666666666667,5.333333333333333,0.6666666666666666,10.333333333333334,20.5,0.06060606060606061,0,0
1,5,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,W,401437780,2022 Regular Season,Garrett Wilson,2022,Regular Season,6,282.0,23.0,2.0,43.0,56.4,4.6,0.4,8.6,42.666666666666664,3.6666666666666665,0.0,7.0,9.0,0.05128205128205128,0,0
4,4,24,6.0,0,12,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,W,401437799,2022 Regular Season,Garrett Wilson,2022,Regular Season,7,290.0,24.0,2.0,48.0,48.333333333333336,4.0,0.3333333333333333,8.0,25.333333333333332,2.0,0.0,5.0,8.0,0.046511627906976744,0,0
6,7,115,19.2,0,54,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,L,401437811,2022 Regular Season,Garrett Wilson,2022,Regular Season,8,314.0,28.0,2.0,52.0,44.857142857142854,4.0,0.2857142857142857,7.428571428571429,19.666666666666668,2.6666666666666665,0.0,4.333333333333333,6.0,0.041666666666666664,0,0
8,9,92,11.5,0,24,1,7,7.0,7,0,1,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,W,401437826,2022 Regular Season,Garrett Wilson,2022,Regular Season,9,429.0,34.0,2.0,59.0,53.625,4.25,0.25,7.375,49.0,3.6666666666666665,0.0,5.333333333333333,19.166666666666668,0.038461538461538464,0,0
2,3,12,6.0,0,6,1,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,L,401437850,2022 Regular Season,Garrett Wilson,2022,Regular Season,10,521.0,42.0,2.0,68.0,57.888888888888886,4.666666666666667,0.2222222222222222,7.555555555555555,77.0,6.0,0.0,6.666666666666667,11.5,0.03389830508474576,0,0
5,8,95,19.0,2,54,1,-1,-1.0,-1,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,31,10,W,401437864,2022 Regular Season,Garrett Wilson,2022,Regular Season,11,533.0,44.0,2.0,71.0,53.3,4.4,0.2,7.1,73.0,5.333333333333333,0.0,6.333333333333333,6.0,0.029411764705882353,0,1
8,15,162,20.3,0,60,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,27,22,L,401437879,2022 Regular Season,Garrett Wilson,2022,Regular Season,12,628.0,49.0,4.0,79.0,57.09090909090909,4.454545454545454,0.36363636363636365,7.181818181818182,66.33333333333333,5.0,0.6666666666666666,6.666666666666667,19.0,0.028169014084507043,0,0
6,7,78,13.0,0,16,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,L,401437889,2022 Regular Season,Garrett Wilson,2022,Regular Season,13,790.0,57.0,4.0,94.0,65.83333333333333,4.75,0.3333333333333333,7.833333333333333,89.66666666666667,5.0,0.6666666666666666,8.666666666666666,20.25,0.05063291139240506,0,0
4,9,98,24.5,0,33,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,L,401437911,2022 Regular Season,Garrett Wilson,2022,Regular Season,14,868.0,63.0,4.0,101.0,66.76923076923077,4.846153846153846,0.3076923076923077,7.769230769230769,111.66666666666667,6.333333333333333,0.6666666666666666,10.0,13.0,0.0425531914893617,0,0
4,9,30,7.5,0,13,0,0,0.0,0,0,1,1,0,0,16,2022-12-23T01:15:00.000+00:00,3,19,L,401437917,2022 Regular Season,Garrett Wilson,2022,Regular Season,15,966.0,67.0,4.0,110.0,69.0,4.785714285714286,0.2857142857142857,7.857142857142857,112.66666666666667,6.0,0.0,10.333333333333334,24.5,0.039603960396039604,0,0
3,11,18,6.0,0,8,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,23,6,L,401437944,2022 Regular Season,Garrett Wilson,2022,Regular Season,16,996.0,71.0,4.0,119.0,66.4,4.733333333333333,0.26666666666666666,7.933333333333334,68.66666666666667,4.666666666666667,0.0,8.333333333333334,7.5,0.03636363636363636,0,0
9,17,89,9.9,0,36,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,L,401437955,2022 Regular Season,Garrett Wilson,2022,Regular Season,17,1014.0,74.0,4.0,130.0,63.375,4.625,0.25,8.125,48.666666666666664,3.6666666666666665,0.0,9.666666666666666,6.0,0.03361344537815126,0,0
5,5,34,6.8,1,14,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,W,401547352,2023 Regular Season,Garrett Wilson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,8,83,41.5,1,68,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,L,401547415,2023 Regular Season,Garrett Wilson,2023,Regular Season,2,34.0,5.0,1.0,5.0,34.0,5.0,1.0,5.0,34.0,5.0,1.0,5.0,6.8,0.0,0,1
5,9,48,9.6,0,29,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,L,401547430,2023 Regular Season,Garrett Wilson,2023,Regular Season,3,117.0,7.0,2.0,13.0,58.5,3.5,1.0,6.5,58.5,3.5,1.0,6.5,41.5,0.2,0,0
9,14,60,6.7,0,14,0,0,0.0,0,0,0,0,0,0,4,2023-10-02T00:20:00.000+00:00,20,23,L,401547455,2023 Regular Season,Garrett Wilson,2023,Regular Season,4,165.0,12.0,2.0,22.0,55.0,4.0,0.6666666666666666,7.333333333333333,55.0,4.0,0.6666666666666666,7.333333333333333,9.6,0.15384615384615385,0,0
3,7,54,18.0,0,32,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,21,31,W,401547461,2023 Regular Season,Garrett Wilson,2023,Regular Season,5,225.0,21.0,2.0,36.0,56.25,5.25,0.5,9.0,63.666666666666664,5.333333333333333,0.3333333333333333,10.333333333333334,6.666666666666667,0.09090909090909091,0,0
8,12,90,11.3,0,33,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,W,401547480,2023 Regular Season,Garrett Wilson,2023,Regular Season,6,279.0,24.0,2.0,43.0,55.8,4.8,0.4,8.6,54.0,5.666666666666667,0.0,10.0,18.0,0.05555555555555555,0,0
7,13,100,14.3,0,29,1,6,6.0,6,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,13,W,401547498,2023 Regular Season,Garrett Wilson,2023,Regular Season,7,369.0,32.0,2.0,55.0,61.5,5.333333333333333,0.3333333333333333,9.166666666666666,68.0,6.666666666666667,0.0,11.0,11.25,0.046511627906976744,0,0
