receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,5,28,7.0,0,11,0,0,0.0,0,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,L,401437746,2022 Regular Season,George Kittle,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,24,12.0,0,20,0,0,0.0,0,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,W,401437761,2022 Regular Season,George Kittle,2022,Regular Season,2,28.0,4.0,0.0,5.0,28.0,4.0,0.0,5.0,28.0,4.0,0.0,5.0,7.0,0.0,0,0
5,6,47,9.4,0,20,0,0,0.0,0,0,1,1,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,W,401437772,2022 Regular Season,George Kittle,2022,Regular Season,3,52.0,6.0,0.0,9.0,26.0,3.0,0.0,4.5,26.0,3.0,0.0,4.5,12.0,0.0,0,0
8,10,83,10.4,0,19,0,0,0.0,0,0,0,0,1,0,6,2022-10-16T17:00:00.000+00:00,28,14,L,401437778,2022 Regular Season,George Kittle,2022,Regular Season,4,99.0,11.0,0.0,15.0,33.0,3.6666666666666665,0.0,5.0,33.0,3.6666666666666665,0.0,5.0,9.4,0.0,0,0
6,9,98,16.3,1,34,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,L,401437802,2022 Regular Season,George Kittle,2022,Regular Season,5,182.0,19.0,0.0,25.0,45.5,4.75,0.0,6.25,51.333333333333336,5.0,0.0,6.666666666666667,10.375,0.0,0,1
3,5,39,13.0,1,23,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,W,401437815,2022 Regular Season,George Kittle,2022,Regular Season,6,280.0,25.0,1.0,34.0,56.0,5.0,0.2,6.8,76.0,6.333333333333333,0.3333333333333333,8.333333333333334,16.333333333333332,0.0,0,1
1,2,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,W,401437842,2022 Regular Season,George Kittle,2022,Regular Season,7,319.0,28.0,2.0,39.0,53.166666666666664,4.666666666666667,0.3333333333333333,6.5,73.33333333333333,5.666666666666667,0.6666666666666666,8.0,13.0,0.029411764705882353,0,0
4,6,84,21.0,2,39,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,W,401435642,2022 Regular Season,George Kittle,2022,Regular Season,8,340.0,29.0,2.0,41.0,48.57142857142857,4.142857142857143,0.2857142857142857,5.857142857142857,52.666666666666664,3.3333333333333335,0.6666666666666666,5.333333333333333,21.0,0.05128205128205128,0,1
3,4,26,8.7,0,14,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,W,401437870,2022 Regular Season,George Kittle,2022,Regular Season,9,424.0,33.0,4.0,47.0,53.0,4.125,0.5,5.875,48.0,2.6666666666666665,1.0,4.333333333333333,21.0,0.04878048780487805,0,0
2,3,22,11.0,0,19,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,W,401437883,2022 Regular Season,George Kittle,2022,Regular Season,10,450.0,36.0,4.0,51.0,50.0,4.0,0.4444444444444444,5.666666666666667,43.666666666666664,2.6666666666666665,0.6666666666666666,4.0,8.666666666666666,0.0851063829787234,0,0
