receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,3,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,W,401437634,2022 Regular Season,George Pickens,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,23,23.0,0,23,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,L,401437636,2022 Regular Season,George Pickens,2022,Regular Season,2,3.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0,0
3,7,39,13.0,0,36,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,L,401437735,2022 Regular Season,George Pickens,2022,Regular Season,3,26.0,2.0,0.0,5.0,13.0,1.0,0.0,2.5,13.0,1.0,0.0,2.5,23.0,0.0,0,0
6,8,102,17.0,0,27,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,L,401437757,2022 Regular Season,George Pickens,2022,Regular Season,4,65.0,5.0,0.0,12.0,21.666666666666668,1.6666666666666667,0.0,4.0,21.666666666666668,1.6666666666666667,0.0,4.0,13.0,0.0,0,0
6,8,83,13.8,0,29,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,L,401437763,2022 Regular Season,George Pickens,2022,Regular Season,5,167.0,11.0,0.0,20.0,41.75,2.75,0.0,5.0,54.666666666666664,3.3333333333333335,0.0,5.666666666666667,17.0,0.0,0,0
3,6,27,9.0,0,14,1,1,1.0,1,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,W,401437785,2022 Regular Season,George Pickens,2022,Regular Season,6,250.0,17.0,0.0,28.0,50.0,3.4,0.0,5.6,74.66666666666667,5.0,0.0,7.666666666666667,13.833333333333334,0.0,0,0
6,6,61,10.2,1,30,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,L,401437803,2022 Regular Season,George Pickens,2022,Regular Season,7,277.0,20.0,0.0,34.0,46.166666666666664,3.3333333333333335,0.0,5.666666666666667,70.66666666666667,5.0,0.0,7.333333333333333,9.0,0.0,0,1
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,L,401437812,2022 Regular Season,George Pickens,2022,Regular Season,8,338.0,26.0,1.0,40.0,48.285714285714285,3.7142857142857144,0.14285714285714285,5.714285714285714,57.0,5.0,0.3333333333333333,6.666666666666667,10.166666666666666,0.0,0,0
3,4,32,10.7,0,14,2,23,11.5,22,1,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,W,401437838,2022 Regular Season,George Pickens,2022,Regular Season,9,338.0,26.0,1.0,43.0,42.25,3.25,0.125,5.375,29.333333333333332,3.0,0.3333333333333333,5.0,0.0,0.025,0,0
4,6,83,20.8,1,33,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,L,401437856,2022 Regular Season,George Pickens,2022,Regular Season,10,370.0,29.0,1.0,47.0,41.111111111111114,3.2222222222222223,0.1111111111111111,5.222222222222222,31.0,3.0,0.3333333333333333,4.333333333333333,10.666666666666666,0.023255813953488372,0,1
3,6,57,19.0,0,35,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,W,401437872,2022 Regular Season,George Pickens,2022,Regular Season,11,453.0,33.0,2.0,53.0,45.3,3.3,0.2,5.3,38.333333333333336,2.3333333333333335,0.3333333333333333,4.333333333333333,20.75,0.02127659574468085,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,16,19,W,401437874,2022 Regular Season,George Pickens,2022,Regular Season,12,510.0,36.0,2.0,59.0,46.36363636363637,3.272727272727273,0.18181818181818182,5.363636363636363,57.333333333333336,3.3333333333333335,0.3333333333333333,5.333333333333333,19.0,0.03773584905660377,0,0
3,3,78,26.0,0,42,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,L,401437894,2022 Regular Season,George Pickens,2022,Regular Season,13,512.0,37.0,2.0,61.0,42.666666666666664,3.0833333333333335,0.16666666666666666,5.083333333333333,47.333333333333336,2.6666666666666665,0.3333333333333333,4.666666666666667,2.0,0.03389830508474576,0,0
2,5,53,26.5,0,38,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,16,24,W,401437907,2022 Regular Season,George Pickens,2022,Regular Season,14,590.0,40.0,2.0,64.0,45.38461538461539,3.076923076923077,0.15384615384615385,4.923076923076923,45.666666666666664,2.3333333333333335,0.0,3.6666666666666665,26.0,0.03278688524590164,0,0
5,5,57,11.4,1,25,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T01:15:00.000+00:00,13,10,W,401437928,2022 Regular Season,George Pickens,2022,Regular Season,15,643.0,42.0,2.0,69.0,45.92857142857143,3.0,0.14285714285714285,4.928571428571429,44.333333333333336,2.0,0.0,3.3333333333333335,26.5,0.03125,0,1
2,4,29,14.5,0,15,0,0,0.0,0,0,0,0,0,0,17,2023-01-02T01:20:00.000+00:00,13,16,W,401437934,2022 Regular Season,George Pickens,2022,Regular Season,16,700.0,47.0,3.0,74.0,46.666666666666664,3.1333333333333333,0.2,4.933333333333334,62.666666666666664,3.3333333333333335,0.3333333333333333,4.333333333333333,11.4,0.028985507246376812,0,0
3,6,72,24.0,1,31,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,28,14,W,401437958,2022 Regular Season,George Pickens,2022,Regular Season,17,729.0,49.0,3.0,78.0,45.5625,3.0625,0.1875,4.875,46.333333333333336,3.0,0.3333333333333333,4.666666666666667,14.5,0.04054054054054054,0,1
5,7,36,7.2,0,9,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,7,30,L,401547405,2023 Regular Season,George Pickens,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,10,127,31.8,1,71,0,0,0.0,0,0,0,0,0,0,2,2023-09-19T00:15:00.000+00:00,26,22,W,401547424,2023 Regular Season,George Pickens,2023,Regular Season,2,36.0,5.0,0.0,7.0,36.0,5.0,0.0,7.0,36.0,5.0,0.0,7.0,7.2,0.0,0,1
4,6,75,18.8,0,32,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,W,401547439,2023 Regular Season,George Pickens,2023,Regular Season,3,163.0,9.0,1.0,17.0,81.5,4.5,0.5,8.5,81.5,4.5,0.5,8.5,31.75,0.0,0,0
3,7,25,8.3,0,17,0,0,0.0,0,0,1,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,L,401547446,2023 Regular Season,George Pickens,2023,Regular Season,4,238.0,13.0,1.0,23.0,79.33333333333333,4.333333333333333,0.3333333333333333,7.666666666666667,79.33333333333333,4.333333333333333,0.3333333333333333,7.666666666666667,18.75,0.058823529411764705,0,0
6,10,130,21.7,1,41,1,16,16.0,16,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,W,401547460,2023 Regular Season,George Pickens,2023,Regular Season,5,263.0,16.0,1.0,30.0,65.75,4.0,0.25,7.5,75.66666666666667,3.6666666666666665,0.3333333333333333,7.666666666666667,8.333333333333334,0.043478260869565216,0,1
5,8,107,21.4,0,31,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,W,401547492,2023 Regular Season,George Pickens,2023,Regular Season,6,393.0,22.0,2.0,40.0,78.6,4.4,0.4,8.0,76.66666666666667,4.333333333333333,0.3333333333333333,7.666666666666667,21.666666666666668,0.03333333333333333,0,0
1,5,22,22.0,1,22,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,20,L,401547499,2023 Regular Season,George Pickens,2023,Regular Season,7,500.0,27.0,2.0,48.0,83.33333333333333,4.5,0.3333333333333333,8.0,87.33333333333333,4.666666666666667,0.3333333333333333,8.333333333333334,21.4,0.05,0,1
2,5,-1,-0.5,0,2,0,0,0.0,0,0,0,0,0,0,9,2023-11-03T00:15:00.000+00:00,20,16,W,401547512,2023 Regular Season,George Pickens,2023,Regular Season,8,522.0,28.0,3.0,53.0,74.57142857142857,4.0,0.42857142857142855,7.571428571428571,86.33333333333333,4.0,0.6666666666666666,7.666666666666667,22.0,0.041666666666666664,0,0
