receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,54,18.0,1,25,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,W,401437643,2022 Regular Season,Gerald Everett,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,10,71,11.8,0,26,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,L,401434030,2022 Regular Season,Gerald Everett,2022,Regular Season,2,54.0,3.0,1.0,4.0,54.0,3.0,1.0,4.0,54.0,3.0,1.0,4.0,18.0,0.0,0,0
2,6,25,12.5,0,14,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,L,401437743,2022 Regular Season,Gerald Everett,2022,Regular Season,3,125.0,9.0,1.0,14.0,62.5,4.5,0.5,7.0,62.5,4.5,0.5,7.0,11.833333333333334,0.25,0,0
5,6,61,12.2,1,18,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,W,401437753,2022 Regular Season,Gerald Everett,2022,Regular Season,4,150.0,11.0,1.0,20.0,50.0,3.6666666666666665,0.3333333333333333,6.666666666666667,50.0,3.6666666666666665,0.3333333333333333,6.666666666666667,12.5,0.07142857142857142,0,1
1,3,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,W,401437764,2022 Regular Season,Gerald Everett,2022,Regular Season,5,211.0,16.0,2.0,26.0,52.75,4.0,0.5,6.5,52.333333333333336,4.333333333333333,0.3333333333333333,7.333333333333333,12.2,0.05,0,0
5,7,29,5.8,0,9,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,W,401437790,2022 Regular Season,Gerald Everett,2022,Regular Season,6,213.0,17.0,2.0,29.0,42.6,3.4,0.4,5.8,29.333333333333332,2.6666666666666665,0.3333333333333333,5.0,2.0,0.07692307692307693,0,0
5,9,63,12.6,0,24,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,L,401437801,2022 Regular Season,Gerald Everett,2022,Regular Season,7,242.0,22.0,2.0,36.0,40.333333333333336,3.6666666666666665,0.3333333333333333,6.0,30.666666666666668,3.6666666666666665,0.3333333333333333,5.333333333333333,5.8,0.06896551724137931,0,0
5,8,36,7.2,0,16,1,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437820,2022 Regular Season,Gerald Everett,2022,Regular Season,8,305.0,27.0,2.0,45.0,43.57142857142857,3.857142857142857,0.2857142857142857,6.428571428571429,31.333333333333332,3.6666666666666665,0.0,6.333333333333333,12.6,0.05555555555555555,0,0
2,2,23,11.5,0,17,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,L,401437842,2022 Regular Season,Gerald Everett,2022,Regular Season,9,341.0,32.0,2.0,53.0,42.625,4.0,0.25,6.625,42.666666666666664,5.0,0.0,8.0,7.2,0.044444444444444446,0,0
4,4,18,4.5,0,10,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,W,401437867,2022 Regular Season,Gerald Everett,2022,Regular Season,10,364.0,34.0,2.0,55.0,40.44444444444444,3.7777777777777777,0.2222222222222222,6.111111111111111,40.666666666666664,4.0,0.0,6.333333333333333,11.5,0.03773584905660377,0,0
