receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,40,40.0,0,40,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,Grant Calcaterra,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,Grant Calcaterra,2022,Regular Season,2,40.0,1.0,0.0,1.0,40.0,1.0,0.0,1.0,40.0,1.0,0.0,1.0,40.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,Grant Calcaterra,2022,Regular Season,3,40.0,1.0,0.0,1.0,20.0,0.5,0.0,0.5,20.0,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,Grant Calcaterra,2022,Regular Season,4,40.0,1.0,0.0,1.0,13.333333333333334,0.3333333333333333,0.0,0.3333333333333333,13.333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,Grant Calcaterra,2022,Regular Season,5,40.0,1.0,0.0,1.0,10.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,Grant Calcaterra,2022,Regular Season,6,40.0,1.0,0.0,1.0,8.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,Grant Calcaterra,2022,Regular Season,7,40.0,1.0,0.0,1.0,6.666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,Grant Calcaterra,2022,Regular Season,8,40.0,1.0,0.0,1.0,5.714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,-2,-2.0,0,-2,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,W,401437871,2022 Regular Season,Grant Calcaterra,2022,Regular Season,9,40.0,1.0,0.0,1.0,5.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,W,401437881,2022 Regular Season,Grant Calcaterra,2022,Regular Season,10,38.0,2.0,0.0,2.0,4.222222222222222,0.2222222222222222,0.0,0.2222222222222222,-0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,-2.0,0.0,0,0
2,4,24,12.0,0,13,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,W,401437893,2022 Regular Season,Grant Calcaterra,2022,Regular Season,11,57.0,3.0,0.0,3.0,5.7,0.3,0.0,0.3,5.666666666666667,0.6666666666666666,0.0,0.6666666666666666,19.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,20,25,W,401437908,2022 Regular Season,Grant Calcaterra,2022,Regular Season,12,81.0,5.0,0.0,7.0,7.363636363636363,0.45454545454545453,0.0,0.6363636363636364,13.666666666666666,1.3333333333333333,0.0,2.0,12.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,L,401437927,2022 Regular Season,Grant Calcaterra,2022,Regular Season,13,81.0,5.0,0.0,9.0,6.75,0.4166666666666667,0.0,0.75,14.333333333333334,1.0,0.0,2.3333333333333335,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,L,401437940,2022 Regular Season,Grant Calcaterra,2022,Regular Season,14,81.0,5.0,0.0,9.0,6.230769230769231,0.38461538461538464,0.0,0.6923076923076923,8.0,0.6666666666666666,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,22,16,W,401437957,2022 Regular Season,Grant Calcaterra,2022,Regular Season,15,81.0,5.0,0.0,9.0,5.785714285714286,0.35714285714285715,0.0,0.6428571428571429,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,W,401547402,2023 Regular Season,Grant Calcaterra,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-15T00:15:00.000+00:00,34,28,W,401547410,2023 Regular Season,Grant Calcaterra,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,W,401547440,2023 Regular Season,Grant Calcaterra,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,34,31,W,401547451,2023 Regular Season,Grant Calcaterra,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,W,401547467,2023 Regular Season,Grant Calcaterra,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,L,401547480,2023 Regular Season,Grant Calcaterra,2023,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,W,401547494,2023 Regular Season,Grant Calcaterra,2023,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
