receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
7,9,63,9.0,0,24,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,L,401437653,2022 Regular Season,Greg Dortch,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,55,13.8,1,29,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,W,401437642,2022 Regular Season,Greg Dortch,2022,Regular Season,2,63.0,7.0,0.0,9.0,63.0,7.0,0.0,9.0,63.0,7.0,0.0,9.0,9.0,0.0,0,1
9,10,80,8.9,0,30,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,L,401437744,2022 Regular Season,Greg Dortch,2022,Regular Season,3,118.0,11.0,1.0,13.0,59.0,5.5,0.5,6.5,59.0,5.5,0.5,6.5,13.75,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:05:00.000+00:00,16,26,W,401437758,2022 Regular Season,Greg Dortch,2022,Regular Season,4,198.0,20.0,1.0,23.0,66.0,6.666666666666667,0.3333333333333333,7.666666666666667,66.0,6.666666666666667,0.3333333333333333,7.666666666666667,8.88888888888889,0.07692307692307693,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,L,401437773,2022 Regular Season,Greg Dortch,2022,Regular Season,5,204.0,21.0,1.0,24.0,51.0,5.25,0.25,6.0,47.0,4.666666666666667,0.3333333333333333,5.0,6.0,0.043478260869565216,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,L,401437787,2022 Regular Season,Greg Dortch,2022,Regular Season,6,204.0,21.0,1.0,24.0,40.8,4.2,0.2,4.8,28.666666666666668,3.3333333333333335,0.0,3.6666666666666665,0.0,0.041666666666666664,0,0
1,1,5,5.0,1,5,1,1,1.0,1,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,W,401437791,2022 Regular Season,Greg Dortch,2022,Regular Season,7,204.0,21.0,1.0,24.0,34.0,3.5,0.16666666666666666,4.0,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.041666666666666664,0,1
2,3,12,6.0,0,8,0,0,0.0,0,0,1,1,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,L,401437809,2022 Regular Season,Greg Dortch,2022,Regular Season,8,209.0,22.0,2.0,25.0,29.857142857142858,3.142857142857143,0.2857142857142857,3.5714285714285716,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,0.041666666666666664,0,0
1,1,0,0.0,0,0,1,3,3.0,3,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,L,401437828,2022 Regular Season,Greg Dortch,2022,Regular Season,9,221.0,24.0,2.0,28.0,27.625,3.0,0.25,3.5,5.666666666666667,1.0,0.3333333333333333,1.3333333333333333,6.0,0.08,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,W,401437841,2022 Regular Season,Greg Dortch,2022,Regular Season,10,221.0,25.0,2.0,29.0,24.555555555555557,2.7777777777777777,0.2222222222222222,3.2222222222222223,5.666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,0.07142857142857142,0,0
9,10,103,11.4,0,47,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,L,401435642,2022 Regular Season,Greg Dortch,2022,Regular Season,11,221.0,25.0,2.0,29.0,22.1,2.5,0.2,2.9,4.0,1.0,0.0,1.3333333333333333,0.0,0.06896551724137931,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,L,401437900,2022 Regular Season,Greg Dortch,2022,Regular Season,12,324.0,34.0,2.0,39.0,29.454545454545453,3.090909090909091,0.18181818181818182,3.5454545454545454,34.333333333333336,3.3333333333333335,0.0,3.6666666666666665,11.444444444444445,0.06896551724137931,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,L,401437912,2022 Regular Season,Greg Dortch,2022,Regular Season,13,324.0,34.0,2.0,39.0,27.0,2.8333333333333335,0.16666666666666666,3.25,34.333333333333336,3.0,0.0,3.3333333333333335,0.0,0.05128205128205128,0,0
10,11,98,9.8,0,23,3,25,8.3,20,0,0,0,0,0,16,2022-12-26T01:20:00.000+00:00,16,19,L,401437930,2022 Regular Season,Greg Dortch,2022,Regular Season,14,324.0,34.0,2.0,39.0,24.923076923076923,2.6153846153846154,0.15384615384615385,3.0,34.333333333333336,3.0,0.0,3.3333333333333335,0.0,0.05128205128205128,0,0
4,10,15,3.8,0,11,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,20,19,L,401437933,2022 Regular Season,Greg Dortch,2022,Regular Season,15,422.0,44.0,2.0,50.0,30.142857142857142,3.142857142857143,0.14285714285714285,3.5714285714285716,32.666666666666664,3.3333333333333335,0.0,3.6666666666666665,9.8,0.05128205128205128,0,0
4,4,30,7.5,0,15,2,15,7.5,9,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,38,13,L,401437962,2022 Regular Season,Greg Dortch,2022,Regular Season,16,437.0,48.0,2.0,60.0,29.133333333333333,3.2,0.13333333333333333,4.0,37.666666666666664,4.666666666666667,0.0,7.0,3.75,0.04,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,L,401547406,2023 Regular Season,Greg Dortch,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,L,401547421,2023 Regular Season,Greg Dortch,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,28,16,W,401547437,2023 Regular Season,Greg Dortch,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,35,16,L,401547454,2023 Regular Season,Greg Dortch,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,L,401547466,2023 Regular Season,Greg Dortch,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,L,401547479,2023 Regular Season,Greg Dortch,2023,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,L,401547493,2023 Regular Season,Greg Dortch,2023,Regular Season,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,27,0,L,401547514,2023 Regular Season,Greg Dortch,2023,Regular Season,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,25,23,W,401547529,2023 Regular Season,Greg Dortch,2023,Regular Season,9,2.0,1.0,0.0,2.0,0.25,0.125,0.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,0,0
6,8,76,12.7,0,31,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,21,16,L,401547540,2023 Regular Season,Greg Dortch,2023,Regular Season,10,2.0,1.0,0.0,2.0,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
3,9,27,9.0,1,14,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,L,401547562,2023 Regular Season,Greg Dortch,2023,Regular Season,11,78.0,7.0,0.0,10.0,7.8,0.7,0.0,1.0,26.0,2.3333333333333335,0.0,3.0,12.666666666666666,0.0,0,1
1,3,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,10,24,W,401547568,2023 Regular Season,Greg Dortch,2023,Regular Season,12,105.0,10.0,1.0,19.0,9.545454545454545,0.9090909090909091,0.09090909090909091,1.7272727272727273,34.333333333333336,3.0,0.3333333333333333,5.666666666666667,9.0,0.0,0,0
2,3,15,7.5,0,10,1,5,5.0,5,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,29,45,L,401547596,2023 Regular Season,Greg Dortch,2023,Regular Season,13,124.0,11.0,1.0,22.0,10.333333333333334,0.9166666666666666,0.08333333333333333,1.8333333333333333,40.666666666666664,3.3333333333333335,0.3333333333333333,6.666666666666667,19.0,0.05263157894736842,0,0
2,5,45,22.5,1,38,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,27,16,L,401547619,2023 Regular Season,Greg Dortch,2023,Regular Season,14,139.0,13.0,1.0,25.0,10.692307692307692,1.0,0.07692307692307693,1.9230769230769231,20.333333333333332,2.0,0.3333333333333333,5.0,7.5,0.045454545454545456,0,1
7,7,82,11.7,0,36,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,31,35,W,401547633,2023 Regular Season,Greg Dortch,2023,Regular Season,15,184.0,15.0,2.0,30.0,13.142857142857142,1.0714285714285714,0.14285714285714285,2.142857142857143,26.333333333333332,1.6666666666666667,0.3333333333333333,3.6666666666666665,22.5,0.04,0,0
2,4,14,7.0,0,9,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,L,401547638,2023 Regular Season,Greg Dortch,2023,Regular Season,16,266.0,22.0,2.0,37.0,17.733333333333334,1.4666666666666666,0.13333333333333333,2.466666666666667,47.333333333333336,3.6666666666666665,0.3333333333333333,5.0,11.714285714285714,0.06666666666666667,0,0
6,8,47,7.8,0,14,1,4,4.0,4,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,34,28,L,401671617,2024 Regular Season,Greg Dortch,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,11,5.5,0,8,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,W,401671754,2024 Regular Season,Greg Dortch,2024,Regular Season,2,47.0,6.0,0.0,8.0,47.0,6.0,0.0,8.0,47.0,6.0,0.0,8.0,7.833333333333333,0.0,0,0
3,6,35,11.7,0,13,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,L,401671771,2024 Regular Season,Greg Dortch,2024,Regular Season,3,58.0,8.0,0.0,10.0,29.0,4.0,0.0,5.0,29.0,4.0,0.0,5.0,5.5,0.0,0,0
4,4,38,9.5,0,12,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,L,401671755,2024 Regular Season,Greg Dortch,2024,Regular Season,4,93.0,11.0,0.0,16.0,31.0,3.6666666666666665,0.0,5.333333333333333,31.0,3.6666666666666665,0.0,5.333333333333333,11.666666666666666,0.0,0,0
