receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,44,22.0,1,39,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,L,401437790,2022 Regular Season,Greg Dulcich,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,9,51,8.5,0,16,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,L,401437799,2022 Regular Season,Greg Dulcich,2022,Regular Season,2,44.0,2.0,1.0,3.0,44.0,2.0,1.0,3.0,44.0,2.0,1.0,3.0,22.0,0.0,0,0
4,5,87,21.8,0,38,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,W,401435641,2022 Regular Season,Greg Dulcich,2022,Regular Season,3,95.0,8.0,1.0,12.0,47.5,4.0,0.5,6.0,47.5,4.0,0.5,6.0,8.5,0.3333333333333333,0,0
1,4,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,L,401437839,2022 Regular Season,Greg Dulcich,2022,Regular Season,4,182.0,12.0,1.0,17.0,60.666666666666664,4.0,0.3333333333333333,5.666666666666667,60.666666666666664,4.0,0.3333333333333333,5.666666666666667,21.75,0.08333333333333333,0,0
4,5,30,7.5,0,15,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,L,401437853,2022 Regular Season,Greg Dulcich,2022,Regular Season,5,193.0,13.0,1.0,21.0,48.25,3.25,0.25,5.25,49.666666666666664,3.6666666666666665,0.0,6.0,11.0,0.058823529411764705,0,0
2,3,11,5.5,0,9,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,10,L,401437860,2022 Regular Season,Greg Dulcich,2022,Regular Season,6,223.0,17.0,1.0,26.0,44.6,3.4,0.2,5.2,42.666666666666664,3.0,0.0,4.666666666666667,7.5,0.047619047619047616,0,0
6,8,85,14.2,0,30,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,L,401437875,2022 Regular Season,Greg Dulcich,2022,Regular Season,7,234.0,19.0,1.0,29.0,39.0,3.1666666666666665,0.16666666666666666,4.833333333333333,17.333333333333332,2.3333333333333335,0.0,4.0,5.5,0.038461538461538464,0,0
3,8,42,14.0,0,23,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:05:00.000+00:00,28,34,L,401437899,2022 Regular Season,Greg Dulcich,2022,Regular Season,8,319.0,25.0,1.0,37.0,45.57142857142857,3.5714285714285716,0.14285714285714285,5.285714285714286,42.0,4.0,0.0,5.333333333333333,14.166666666666666,0.034482758620689655,0,0
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,W,401437912,2022 Regular Season,Greg Dulcich,2022,Regular Season,9,361.0,28.0,1.0,45.0,45.125,3.5,0.125,5.625,46.0,3.6666666666666665,0.0,6.333333333333333,14.0,0.02702702702702703,0,0
4,8,39,9.8,1,11,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T21:30:00.000+00:00,51,14,L,401436983,2022 Regular Season,Greg Dulcich,2022,Regular Season,10,372.0,29.0,1.0,47.0,41.333333333333336,3.2222222222222223,0.1111111111111111,5.222222222222222,46.0,3.3333333333333335,0.0,6.0,11.0,0.022222222222222223,0,1
2,2,22,11.0,0,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,16,17,L,401547400,2023 Regular Season,Greg Dulcich,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,6,2023-10-13T00:15:00.000+00:00,19,8,L,401547469,2023 Regular Season,Greg Dulcich,2023,Regular Season,2,22.0,2.0,0.0,2.0,22.0,2.0,0.0,2.0,22.0,2.0,0.0,2.0,11.0,0.0,0,0
2,3,12,6.0,0,7,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,26,20,L,401671664,2024 Regular Season,Greg Dulcich,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
