receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,18,9.0,0,10,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,W,401437651,2022 Regular Season,Harrison Bryant,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,45,15.0,0,30,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,L,401437635,2022 Regular Season,Harrison Bryant,2022,Regular Season,2,18.0,2.0,0.0,4.0,18.0,2.0,0.0,4.0,18.0,2.0,0.0,4.0,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,W,401437735,2022 Regular Season,Harrison Bryant,2022,Regular Season,3,63.0,5.0,0.0,8.0,31.5,2.5,0.0,4.0,31.5,2.5,0.0,4.0,15.0,0.0,0,0
4,6,18,4.5,0,8,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,L,401437749,2022 Regular Season,Harrison Bryant,2022,Regular Season,4,63.0,5.0,0.0,8.0,21.0,1.6666666666666667,0.0,2.6666666666666665,21.0,1.6666666666666667,0.0,2.6666666666666665,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,L,401437764,2022 Regular Season,Harrison Bryant,2022,Regular Season,5,81.0,9.0,0.0,14.0,20.25,2.25,0.0,3.5,21.0,2.3333333333333335,0.0,3.3333333333333335,4.5,0.0,0,0
3,4,18,6.0,0,7,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,L,401437779,2022 Regular Season,Harrison Bryant,2022,Regular Season,6,81.0,9.0,0.0,15.0,16.2,1.8,0.0,3.0,6.0,1.3333333333333333,0.0,2.3333333333333335,0.0,0.0,0,0
2,2,15,7.5,0,14,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,L,401437792,2022 Regular Season,Harrison Bryant,2022,Regular Season,7,99.0,12.0,0.0,19.0,16.5,2.0,0.0,3.1666666666666665,12.0,2.3333333333333335,0.0,3.6666666666666665,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,W,401437818,2022 Regular Season,Harrison Bryant,2022,Regular Season,8,114.0,14.0,0.0,21.0,16.285714285714285,2.0,0.0,3.0,11.0,1.6666666666666667,0.0,2.3333333333333335,7.5,0.0,0,0
3,3,15,5.0,1,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,L,401437836,2022 Regular Season,Harrison Bryant,2022,Regular Season,9,114.0,14.0,0.0,21.0,14.25,1.75,0.0,2.625,11.0,1.6666666666666667,0.0,2.0,0.0,0.0,0,1
4,7,41,10.3,0,14,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,L,401437847,2022 Regular Season,Harrison Bryant,2022,Regular Season,10,129.0,17.0,1.0,24.0,14.333333333333334,1.8888888888888888,0.1111111111111111,2.6666666666666665,10.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,5.0,0.0,0,0
2,2,9,4.5,0,9,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,W,401437861,2022 Regular Season,Harrison Bryant,2022,Regular Season,11,170.0,21.0,1.0,31.0,17.0,2.1,0.1,3.1,18.666666666666668,2.3333333333333335,0.3333333333333333,3.3333333333333335,10.25,0.041666666666666664,0,0
1,1,6,6.0,0,6,1,8,8.0,8,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,14,27,W,401437878,2022 Regular Season,Harrison Bryant,2022,Regular Season,12,179.0,23.0,1.0,33.0,16.272727272727273,2.090909090909091,0.09090909090909091,3.0,21.666666666666668,3.0,0.3333333333333333,4.0,4.5,0.03225806451612903,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,23,10,L,401437890,2022 Regular Season,Harrison Bryant,2022,Regular Season,13,185.0,24.0,1.0,34.0,15.416666666666666,2.0,0.08333333333333333,2.8333333333333335,18.666666666666668,2.3333333333333335,0.0,3.3333333333333335,6.0,0.030303030303030304,0,0
2,2,7,3.5,0,5,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,W,401437903,2022 Regular Season,Harrison Bryant,2022,Regular Season,14,193.0,25.0,1.0,35.0,14.846153846153847,1.9230769230769231,0.07692307692307693,2.6923076923076925,7.666666666666667,1.3333333333333333,0.0,1.3333333333333333,8.0,0.029411764705882353,0,0
