receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,20,10.0,0,11,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Hunter Henry,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Hunter Henry,2022,Regular Season,2,20.0,2.0,0.0,3.0,20.0,2.0,0.0,3.0,20.0,2.0,0.0,3.0,10.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,L,401437631,2022 Regular Season,Hunter Henry,2022,Regular Season,3,20.0,2.0,0.0,4.0,10.0,1.0,0.0,2.0,10.0,1.0,0.0,2.0,0.0,0.0,0,0
2,4,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,L,401437759,2022 Regular Season,Hunter Henry,2022,Regular Season,4,28.0,3.0,0.0,5.0,9.333333333333334,1.0,0.0,1.6666666666666667,9.333333333333334,1.0,0.0,1.6666666666666667,8.0,0.0,0,0
4,5,54,13.5,0,23,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,W,401437767,2022 Regular Season,Hunter Henry,2022,Regular Season,5,41.0,5.0,0.0,9.0,10.25,1.25,0.0,2.25,7.0,1.0,0.0,2.0,6.5,0.0,0,0
4,7,61,15.3,1,31,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,W,401437779,2022 Regular Season,Hunter Henry,2022,Regular Season,6,95.0,9.0,0.0,14.0,19.0,1.8,0.0,2.8,25.0,2.3333333333333335,0.0,3.3333333333333335,13.5,0.0,0,1
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,L,401437804,2022 Regular Season,Hunter Henry,2022,Regular Season,7,156.0,13.0,1.0,21.0,26.0,2.1666666666666665,0.16666666666666666,3.5,42.666666666666664,3.3333333333333335,0.3333333333333333,5.333333333333333,15.25,0.0,0,0
1,1,22,22.0,0,22,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,W,401437811,2022 Regular Season,Hunter Henry,2022,Regular Season,8,168.0,14.0,1.0,23.0,24.0,2.0,0.14285714285714285,3.2857142857142856,42.333333333333336,3.0,0.3333333333333333,4.666666666666667,12.0,0.047619047619047616,0,0
4,4,50,12.5,0,30,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,W,401437825,2022 Regular Season,Hunter Henry,2022,Regular Season,9,190.0,15.0,1.0,24.0,23.75,1.875,0.125,3.0,31.666666666666668,2.0,0.3333333333333333,3.3333333333333335,22.0,0.043478260869565216,0,0
1,1,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,W,401437850,2022 Regular Season,Hunter Henry,2022,Regular Season,10,240.0,19.0,1.0,28.0,26.666666666666668,2.111111111111111,0.1111111111111111,3.111111111111111,28.0,2.0,0.0,2.3333333333333335,12.5,0.041666666666666664,0,0
3,5,63,21.0,1,37,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,L,401437859,2022 Regular Season,Hunter Henry,2022,Regular Season,11,260.0,20.0,1.0,29.0,26.0,2.0,0.1,2.9,30.666666666666668,2.0,0.0,2.0,20.0,0.03571428571428571,0,1
2,5,13,6.5,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,L,401437873,2022 Regular Season,Hunter Henry,2022,Regular Season,12,323.0,23.0,2.0,34.0,29.363636363636363,2.090909090909091,0.18181818181818182,3.090909090909091,44.333333333333336,2.6666666666666665,0.3333333333333333,3.3333333333333335,21.0,0.034482758620689655,0,0
3,3,70,23.3,0,39,0,0,0.0,0,0,0,0,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,W,401437900,2022 Regular Season,Hunter Henry,2022,Regular Season,13,336.0,25.0,2.0,39.0,28.0,2.0833333333333335,0.16666666666666666,3.25,32.0,2.0,0.3333333333333333,3.6666666666666665,6.5,0.058823529411764705,0,0
2,4,9,4.5,0,5,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,30,24,L,401437915,2022 Regular Season,Hunter Henry,2022,Regular Season,14,406.0,28.0,2.0,42.0,31.23076923076923,2.1538461538461537,0.15384615384615385,3.230769230769231,48.666666666666664,2.6666666666666665,0.3333333333333333,4.333333333333333,23.333333333333332,0.05128205128205128,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,18,22,L,401437924,2022 Regular Season,Hunter Henry,2022,Regular Season,15,415.0,30.0,2.0,46.0,29.642857142857142,2.142857142857143,0.14285714285714285,3.2857142857142856,30.666666666666668,2.3333333333333335,0.0,4.0,4.5,0.047619047619047616,0,0
5,6,52,10.4,0,29,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,W,401437938,2022 Regular Season,Hunter Henry,2022,Regular Season,16,415.0,30.0,2.0,46.0,27.666666666666668,2.0,0.13333333333333333,3.066666666666667,26.333333333333332,1.6666666666666667,0.0,2.3333333333333335,0.0,0.043478260869565216,0,0
6,7,42,7.0,0,13,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,35,23,L,401437949,2022 Regular Season,Hunter Henry,2022,Regular Season,17,467.0,35.0,2.0,52.0,29.1875,2.1875,0.125,3.25,20.333333333333332,2.3333333333333335,0.0,3.3333333333333335,10.4,0.043478260869565216,0,0
5,6,56,11.2,1,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,L,401547402,2023 Regular Season,Hunter Henry,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,7,52,8.7,1,13,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,L,401547423,2023 Regular Season,Hunter Henry,2023,Regular Season,2,56.0,5.0,1.0,6.0,56.0,5.0,1.0,6.0,56.0,5.0,1.0,6.0,11.2,0.0,0,1
2,5,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,W,401547430,2023 Regular Season,Hunter Henry,2023,Regular Season,3,108.0,11.0,2.0,13.0,54.0,5.5,1.0,6.5,54.0,5.5,1.0,6.5,8.666666666666666,0.16666666666666666,0,0
4,5,51,12.8,0,21,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,38,3,L,401547453,2023 Regular Season,Hunter Henry,2023,Regular Season,4,125.0,13.0,2.0,18.0,41.666666666666664,4.333333333333333,0.6666666666666666,6.0,41.666666666666664,4.333333333333333,0.6666666666666666,6.0,8.5,0.15384615384615385,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,0,34,L,401547459,2023 Regular Season,Hunter Henry,2023,Regular Season,5,176.0,17.0,2.0,23.0,44.0,4.25,0.5,5.75,40.0,4.0,0.3333333333333333,5.666666666666667,12.75,0.1111111111111111,0,0
1,3,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:05:00.000+00:00,21,17,L,401547474,2023 Regular Season,Hunter Henry,2023,Regular Season,6,176.0,17.0,2.0,25.0,35.2,3.4,0.4,5.0,22.666666666666668,2.0,0.0,4.0,0.0,0.08695652173913043,0,0
2,3,27,13.5,0,14,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,W,401547485,2023 Regular Season,Hunter Henry,2023,Regular Season,7,183.0,18.0,2.0,28.0,30.5,3.0,0.3333333333333333,4.666666666666667,19.333333333333332,1.6666666666666667,0.0,3.3333333333333335,7.0,0.08,0,0
3,3,28,9.3,0,16,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,L,401547497,2023 Regular Season,Hunter Henry,2023,Regular Season,8,210.0,20.0,2.0,31.0,30.0,2.857142857142857,0.2857142857142857,4.428571428571429,11.333333333333334,1.0,0.0,2.6666666666666665,13.5,0.07142857142857142,0,0
4,6,39,9.8,1,14,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,17,20,L,401547520,2023 Regular Season,Hunter Henry,2023,Regular Season,9,238.0,23.0,2.0,34.0,29.75,2.875,0.25,4.25,20.666666666666668,2.0,0.0,3.0,9.333333333333334,0.06451612903225806,0,1
3,5,21,7.0,0,11,0,0,0.0,0,0,1,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,L,401547231,2023 Regular Season,Hunter Henry,2023,Regular Season,10,277.0,27.0,3.0,40.0,30.77777777777778,3.0,0.3333333333333333,4.444444444444445,31.333333333333332,3.0,0.3333333333333333,4.0,9.75,0.058823529411764705,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,7,L,401547560,2023 Regular Season,Hunter Henry,2023,Regular Season,11,298.0,30.0,3.0,45.0,29.8,3.0,0.3,4.5,29.333333333333332,3.3333333333333335,0.3333333333333333,4.666666666666667,7.0,0.075,0,0
2,4,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,0,6,L,401547567,2023 Regular Season,Hunter Henry,2023,Regular Season,12,298.0,30.0,3.0,45.0,27.09090909090909,2.727272727272727,0.2727272727272727,4.090909090909091,20.0,2.3333333333333335,0.3333333333333333,3.6666666666666665,0.0,0.06666666666666667,0,0
3,3,40,13.3,2,24,0,0,0.0,0,0,0,0,0,0,14,2023-12-08T01:15:00.000+00:00,18,21,W,401547578,2023 Regular Season,Hunter Henry,2023,Regular Season,13,313.0,32.0,3.0,49.0,26.083333333333332,2.6666666666666665,0.25,4.083333333333333,12.0,1.6666666666666667,0.0,3.0,7.5,0.06666666666666667,0,1
7,9,66,9.4,1,16,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,17,27,L,401547608,2023 Regular Season,Hunter Henry,2023,Regular Season,14,353.0,35.0,5.0,52.0,27.153846153846153,2.6923076923076925,0.38461538461538464,4.0,18.333333333333332,1.6666666666666667,0.6666666666666666,2.3333333333333335,13.333333333333334,0.061224489795918366,0,1
2,3,18,9.0,0,9,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,W,401671628,2024 Regular Season,Hunter Henry,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
8,12,109,13.6,0,35,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,20,23,L,401671702,2024 Regular Season,Hunter Henry,2024,Regular Season,2,18.0,2.0,0.0,3.0,18.0,2.0,0.0,3.0,18.0,2.0,0.0,3.0,9.0,0.0,0,0
2,3,9,4.5,0,9,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,L,401671808,2024 Regular Season,Hunter Henry,2024,Regular Season,3,127.0,10.0,0.0,15.0,63.5,5.0,0.0,7.5,63.5,5.0,0.0,7.5,13.625,0.0,0,0
2,3,12,6.0,0,8,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,30,13,L,401671758,2024 Regular Season,Hunter Henry,2024,Regular Season,4,136.0,12.0,0.0,18.0,45.333333333333336,4.0,0.0,6.0,45.333333333333336,4.0,0.0,6.0,4.5,0.0,0,0
2,4,32,16.0,0,25,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,10,15,L,401671700,2024 Regular Season,Hunter Henry,2024,Regular Season,5,148.0,14.0,0.0,21.0,37.0,3.5,0.0,5.25,43.333333333333336,4.0,0.0,6.0,6.0,0.0,0,0
3,5,41,13.7,1,30,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,21,41,L,401671619,2024 Regular Season,Hunter Henry,2024,Regular Season,6,180.0,16.0,0.0,25.0,36.0,3.2,0.0,5.0,17.666666666666668,2.0,0.0,3.3333333333333335,16.0,0.0,0,1
8,9,92,11.5,0,32,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T13:30:00.000+00:00,32,16,L,401671801,2024 Regular Season,Hunter Henry,2024,Regular Season,7,221.0,19.0,1.0,30.0,36.833333333333336,3.1666666666666665,0.16666666666666666,5.0,28.333333333333332,2.3333333333333335,0.3333333333333333,4.0,13.666666666666666,0.0,0,0
5,6,45,9.0,0,12,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,25,22,W,401671618,2024 Regular Season,Hunter Henry,2024,Regular Season,8,313.0,27.0,1.0,39.0,44.714285714285715,3.857142857142857,0.14285714285714285,5.571428571428571,55.0,4.333333333333333,0.3333333333333333,6.0,11.5,0.03333333333333333,0,0
7,8,56,8.0,0,13,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,20,17,L,401671822,2024 Regular Season,Hunter Henry,2024,Regular Season,9,358.0,32.0,1.0,45.0,44.75,4.0,0.125,5.625,59.333333333333336,5.333333333333333,0.3333333333333333,6.666666666666667,9.0,0.02564102564102564,0,0
1,4,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,3,19,W,401671873,2024 Regular Season,Hunter Henry,2024,Regular Season,10,414.0,39.0,1.0,53.0,46.0,4.333333333333333,0.1111111111111111,5.888888888888889,64.33333333333333,6.666666666666667,0.0,7.666666666666667,8.0,0.022222222222222223,0,0
6,9,63,10.5,0,15,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,22,28,L,401671701,2024 Regular Season,Hunter Henry,2024,Regular Season,11,428.0,40.0,1.0,57.0,42.8,4.0,0.1,5.7,38.333333333333336,4.333333333333333,0.0,6.0,14.0,0.018867924528301886,0,0
