receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,W,401437647,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,L,401437606,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,W,401437737,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,L,401437755,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,15,15.0,0,15,0,0,0.0,0,0,1,1,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,L,401437766,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,1,0,0.0,0,0,1,-1,-1.0,-1,0,0,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,L,401437777,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,6,15.0,1.0,0.0,3.0,3.0,0.2,0.0,0.6,5.0,0.3333333333333333,0.0,1.0,15.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:05:00.000+00:00,28,34,W,401437899,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,7,15.0,1.0,0.0,4.0,2.5,0.16666666666666666,0.0,0.6666666666666666,5.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-07T21:30:00.000+00:00,13,31,W,401437961,2022 Regular Season,Ihmir Smith-Marsette,2022,Regular Season,8,15.0,1.0,0.0,4.0,2.142857142857143,0.14285714285714285,0.0,0.5714285714285714,5.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,10,L,401547403,2023 Regular Season,Ihmir Smith-Marsette,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T23:15:00.000+00:00,17,20,L,401547425,2023 Regular Season,Ihmir Smith-Marsette,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
