receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Isaiah Likely,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,43,10.8,0,34,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Isaiah Likely,2022,Regular Season,2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Isaiah Likely,2022,Regular Season,3,43.0,4.0,0.0,9.0,21.5,2.0,0.0,4.5,21.5,2.0,0.0,4.5,10.75,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Isaiah Likely,2022,Regular Season,4,51.0,5.0,0.0,11.0,17.0,1.6666666666666667,0.0,3.6666666666666665,17.0,1.6666666666666667,0.0,3.6666666666666665,8.0,0.0,0,0
2,2,7,3.5,0,5,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Isaiah Likely,2022,Regular Season,5,51.0,5.0,0.0,11.0,12.75,1.25,0.0,2.75,17.0,1.6666666666666667,0.0,2.3333333333333335,0.0,0.0,0,0
2,4,30,15.0,0,19,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Isaiah Likely,2022,Regular Season,6,58.0,7.0,0.0,13.0,11.6,1.4,0.0,2.6,5.0,1.0,0.0,1.3333333333333333,3.5,0.0,0,0
1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Isaiah Likely,2022,Regular Season,7,88.0,9.0,0.0,17.0,14.666666666666666,1.5,0.0,2.8333333333333335,12.333333333333334,1.3333333333333333,0.0,2.0,15.0,0.0,0,0
6,7,77,12.8,1,17,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Isaiah Likely,2022,Regular Season,8,104.0,10.0,0.0,18.0,14.857142857142858,1.4285714285714286,0.0,2.5714285714285716,17.666666666666668,1.6666666666666667,0.0,2.3333333333333335,16.0,0.0,0,1
1,5,24,24.0,1,24,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,W,401437831,2022 Regular Season,Isaiah Likely,2022,Regular Season,9,181.0,16.0,1.0,25.0,22.625,2.0,0.125,3.125,41.0,3.0,0.3333333333333333,4.0,12.833333333333334,0.0,0,1
1,3,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Isaiah Likely,2022,Regular Season,10,205.0,17.0,2.0,30.0,22.77777777777778,1.8888888888888888,0.2222222222222222,3.3333333333333335,39.0,2.6666666666666665,0.6666666666666666,4.333333333333333,24.0,0.04,0,0
4,4,30,7.5,0,12,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,W,401437875,2022 Regular Season,Isaiah Likely,2022,Regular Season,11,206.0,18.0,2.0,33.0,20.6,1.8,0.2,3.3,34.0,2.6666666666666665,0.6666666666666666,5.0,1.0,0.06666666666666667,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,W,401437894,2022 Regular Season,Isaiah Likely,2022,Regular Season,12,236.0,22.0,2.0,37.0,21.454545454545453,2.0,0.18181818181818182,3.3636363636363638,18.333333333333332,2.0,0.3333333333333333,4.0,7.5,0.06060606060606061,0,0
2,3,18,9.0,0,9,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,L,401437903,2022 Regular Season,Isaiah Likely,2022,Regular Season,13,236.0,22.0,2.0,37.0,19.666666666666668,1.8333333333333333,0.16666666666666666,3.0833333333333335,10.333333333333334,1.6666666666666667,0.0,2.3333333333333335,0.0,0.05405405405405406,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,17,9,W,401437918,2022 Regular Season,Isaiah Likely,2022,Regular Season,14,254.0,24.0,2.0,40.0,19.53846153846154,1.8461538461538463,0.15384615384615385,3.076923076923077,16.0,2.0,0.0,2.3333333333333335,9.0,0.05405405405405406,0,0
3,5,12,4.0,1,11,0,0,0.0,0,0,0,0,0,0,17,2023-01-02T01:20:00.000+00:00,13,16,L,401437934,2022 Regular Season,Isaiah Likely,2022,Regular Season,15,258.0,25.0,2.0,42.0,18.428571428571427,1.7857142857142858,0.14285714285714285,3.0,7.333333333333333,1.0,0.0,1.6666666666666667,4.0,0.05,0,1
8,13,103,12.9,0,28,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,27,16,L,401437951,2022 Regular Season,Isaiah Likely,2022,Regular Season,16,270.0,28.0,3.0,47.0,18.0,1.8666666666666667,0.2,3.1333333333333333,11.333333333333334,2.0,0.3333333333333333,3.3333333333333335,4.0,0.047619047619047616,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Isaiah Likely,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Isaiah Likely,2023,Regular Season,2,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,0,0
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Isaiah Likely,2023,Regular Season,3,12.0,2.0,0.0,2.0,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,W,401547445,2023 Regular Season,Isaiah Likely,2023,Regular Season,4,32.0,3.0,0.0,4.0,10.666666666666666,1.0,0.0,1.3333333333333333,10.666666666666666,1.0,0.0,1.3333333333333333,20.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Isaiah Likely,2023,Regular Season,5,32.0,3.0,0.0,4.0,8.0,0.75,0.0,1.0,9.333333333333334,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
