receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,W,401671628,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,12,6.0,1,7,1,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,20,23,L,401671702,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,2,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,0,1
2,2,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,L,401671808,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,3,18.0,3.0,1.0,4.0,9.0,1.5,0.5,2.0,9.0,1.5,0.5,2.0,6.0,0.0,0,0
3,7,30,10.0,0,21,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,30,13,L,401671758,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,4,31.0,5.0,1.0,6.0,10.333333333333334,1.6666666666666667,0.3333333333333333,2.0,10.333333333333334,1.6666666666666667,0.3333333333333333,2.0,6.5,0.25,0,0
1,6,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,10,15,L,401671700,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,5,61.0,8.0,1.0,13.0,15.25,2.0,0.25,3.25,18.333333333333332,2.3333333333333335,0.3333333333333333,4.0,10.0,0.16666666666666666,0,0
1,4,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,21,41,L,401671619,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,6,74.0,9.0,1.0,19.0,14.8,1.8,0.2,3.8,18.666666666666668,2.0,0.0,5.0,13.0,0.07692307692307693,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T13:30:00.000+00:00,32,16,L,401671801,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,7,78.0,10.0,1.0,23.0,13.0,1.6666666666666667,0.16666666666666666,3.8333333333333335,15.666666666666666,1.6666666666666667,0.0,5.666666666666667,4.0,0.05263157894736842,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,20,17,L,401671822,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,8,78.0,10.0,1.0,26.0,11.142857142857142,1.4285714285714286,0.14285714285714285,3.7142857142857144,5.666666666666667,0.6666666666666666,0.0,4.333333333333333,0.0,0.043478260869565216,0,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,3,19,W,401671873,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,9,78.0,10.0,1.0,27.0,9.75,1.25,0.125,3.375,1.3333333333333333,0.3333333333333333,0.0,2.6666666666666665,0.0,0.038461538461538464,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,22,28,L,401671701,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,10,80.0,11.0,2.0,28.0,8.88888888888889,1.2222222222222223,0.2222222222222222,3.111111111111111,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,0.037037037037037035,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,34,15,L,401671847,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,11,80.0,11.0,2.0,28.0,8.0,1.1,0.2,2.8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.07142857142857142,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,24,25,L,401671620,2024 Regular Season,Ja'Lynn Polk,2024,Regular Season,12,87.0,12.0,2.0,30.0,7.909090909090909,1.0909090909090908,0.18181818181818182,2.727272727272727,3.0,0.6666666666666666,0.3333333333333333,1.0,7.0,0.07142857142857142,0,0
