receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
10,16,129,12.9,1,24,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,L,401437634,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,9,54,10.8,0,17,1,4,4.0,4,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,L,401437734,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,2,129.0,10.0,1.0,16.0,129.0,10.0,1.0,16.0,129.0,10.0,1.0,16.0,12.9,0.0,0,0
6,10,29,4.8,1,10,2,-2,-1.0,-1,0,1,1,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,W,401437740,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,3,183.0,15.0,1.0,25.0,91.5,7.5,0.5,12.5,91.5,7.5,0.5,12.5,10.8,0.0625,0,1
4,6,81,20.3,0,36,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,W,401437748,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,4,212.0,21.0,2.0,35.0,70.66666666666667,7.0,0.6666666666666666,11.666666666666666,70.66666666666667,7.0,0.6666666666666666,11.666666666666666,4.833333333333333,0.04,0,0
7,12,50,7.1,0,13,1,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,L,401437775,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,5,293.0,25.0,2.0,41.0,73.25,6.25,0.5,10.25,54.666666666666664,5.0,0.3333333333333333,8.333333333333334,20.25,0.05714285714285714,0,0
7,10,132,18.9,2,60,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,W,401437783,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,6,343.0,32.0,2.0,53.0,68.6,6.4,0.4,10.6,53.333333333333336,5.666666666666667,0.3333333333333333,9.333333333333334,7.142857142857143,0.04878048780487805,0,1
8,11,130,16.3,2,41,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,W,401437794,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,7,475.0,39.0,4.0,63.0,79.16666666666667,6.5,0.6666666666666666,10.5,87.66666666666667,6.0,0.6666666666666666,9.333333333333334,18.857142857142858,0.03773584905660377,0,1
7,8,97,13.9,0,40,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,24,W,401437884,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,8,605.0,47.0,6.0,74.0,86.42857142857143,6.714285714285714,0.8571428571428571,10.571428571428571,104.0,7.333333333333333,1.3333333333333333,11.0,16.25,0.06349206349206349,0,0
10,15,119,11.9,1,20,1,6,6.0,6,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,23,10,W,401437890,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,9,702.0,54.0,6.0,82.0,87.75,6.75,0.75,10.25,119.66666666666667,7.333333333333333,1.3333333333333333,9.666666666666666,13.857142857142858,0.08108108108108109,0,1
7,13,60,8.6,1,15,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,23,34,W,401437914,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,10,821.0,64.0,7.0,97.0,91.22222222222223,7.111111111111111,0.7777777777777778,10.777777777777779,115.33333333333333,8.333333333333334,1.0,11.333333333333334,11.9,0.07317073170731707,0,1
8,11,79,9.9,0,18,0,0,0.0,0,0,1,1,0,0,16,2022-12-24T18:00:00.000+00:00,18,22,W,401437924,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,11,881.0,71.0,8.0,110.0,88.1,7.1,0.8,11.0,92.0,8.0,0.6666666666666666,12.0,8.571428571428571,0.07216494845360824,0,0
8,13,86,10.8,1,26,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,27,16,W,401437951,2022 Regular Season,Ja'Marr Chase,2022,Regular Season,12,960.0,79.0,8.0,121.0,87.27272727272727,7.181818181818182,0.7272727272727273,11.0,86.0,8.333333333333334,0.6666666666666666,13.0,9.875,0.07272727272727272,0,1
5,9,39,7.8,0,12,1,2,2.0,2,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,L,401547397,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,8,31,6.2,0,13,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,L,401547412,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,2,39.0,5.0,0.0,9.0,39.0,5.0,0.0,9.0,39.0,5.0,0.0,9.0,7.8,0.0,0,0
12,15,141,11.8,0,43,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,W,401547441,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,3,70.0,10.0,0.0,17.0,35.0,5.0,0.0,8.5,35.0,5.0,0.0,8.5,6.2,0.0,0,0
7,9,73,10.4,0,17,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,L,401547452,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,4,211.0,22.0,0.0,32.0,70.33333333333333,7.333333333333333,0.0,10.666666666666666,70.33333333333333,7.333333333333333,0.0,10.666666666666666,11.75,0.0,0,0
15,19,192,12.8,3,63,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,W,401547466,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,5,284.0,29.0,0.0,41.0,71.0,7.25,0.0,10.25,81.66666666666667,8.0,0.0,10.666666666666666,10.428571428571429,0.0,0,1
6,13,80,13.3,0,31,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,W,401547471,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,6,476.0,44.0,3.0,60.0,95.2,8.8,0.6,12.0,135.33333333333334,11.333333333333334,1.0,14.333333333333334,12.8,0.0,0,0
10,12,100,10.0,1,20,2,-8,-4.0,0,0,1,0,0,0,8,2023-10-29T20:25:00.000+00:00,17,31,W,401547503,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,7,556.0,50.0,3.0,73.0,92.66666666666667,8.333333333333334,0.5,12.166666666666666,115.0,9.333333333333334,1.0,13.666666666666666,13.333333333333334,0.05,0,1
4,8,41,10.3,0,32,0,0,0.0,0,0,0,0,0,0,9,2023-11-06T01:20:00.000+00:00,24,18,W,401547523,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,8,656.0,60.0,4.0,85.0,93.71428571428571,8.571428571428571,0.5714285714285714,12.142857142857142,124.0,10.333333333333334,1.3333333333333333,14.666666666666666,10.0,0.0410958904109589,0,0
5,6,124,24.8,1,64,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,L,401547526,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,9,697.0,64.0,4.0,93.0,87.125,8.0,0.5,11.625,73.66666666666667,6.666666666666667,0.3333333333333333,11.0,10.25,0.047058823529411764,0,1
2,7,12,6.0,1,10,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,L,401547538,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,10,821.0,69.0,5.0,99.0,91.22222222222223,7.666666666666667,0.5555555555555556,11.0,88.33333333333333,6.333333333333333,0.6666666666666666,8.666666666666666,24.8,0.043010752688172046,0,1
4,6,81,20.3,0,31,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,L,401547554,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,11,833.0,71.0,6.0,106.0,83.3,7.1,0.6,10.6,59.0,3.6666666666666665,0.6666666666666666,7.0,6.0,0.050505050505050504,0,0
11,12,149,13.5,1,76,0,0,0.0,0,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,W,401547577,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,12,914.0,75.0,6.0,112.0,83.0909090909091,6.818181818181818,0.5454545454545454,10.181818181818182,72.33333333333333,3.6666666666666665,0.6666666666666666,6.333333333333333,20.25,0.05660377358490566,0,1
3,4,29,9.7,0,14,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,W,401547580,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,13,1063.0,86.0,7.0,124.0,88.58333333333333,7.166666666666667,0.5833333333333334,10.333333333333334,80.66666666666667,5.666666666666667,0.6666666666666666,8.333333333333334,13.545454545454545,0.05357142857142857,0,0
4,4,64,16.0,0,25,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,W,401547604,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,14,1092.0,89.0,7.0,128.0,84.0,6.846153846153846,0.5384615384615384,9.846153846153847,86.33333333333333,6.0,0.3333333333333333,7.333333333333333,9.666666666666666,0.056451612903225805,0,0
3,7,41,13.7,0,24,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,L,401547235,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,15,1156.0,93.0,7.0,132.0,82.57142857142857,6.642857142857143,0.5,9.428571428571429,80.66666666666667,6.0,0.3333333333333333,6.666666666666667,16.0,0.0546875,0,0
4,6,19,4.8,0,11,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,31,14,W,401547641,2023 Regular Season,Ja'Marr Chase,2023,Regular Season,16,1197.0,96.0,7.0,139.0,79.8,6.4,0.4666666666666667,9.266666666666667,44.666666666666664,3.3333333333333335,0.0,5.0,13.666666666666666,0.05303030303030303,0,0
6,6,62,10.3,0,28,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,L,401671628,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,35,8.8,0,13,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,L,401671670,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,2,62.0,6.0,0.0,6.0,62.0,6.0,0.0,6.0,62.0,6.0,0.0,6.0,10.333333333333334,0.0,0,0
6,7,118,19.7,2,41,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,L,401671490,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,3,97.0,10.0,0.0,11.0,48.5,5.0,0.0,5.5,48.5,5.0,0.0,5.5,8.75,0.0,0,1
3,6,85,28.3,1,63,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,W,401671745,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,4,215.0,16.0,2.0,18.0,71.66666666666667,5.333333333333333,0.6666666666666666,6.0,71.66666666666667,5.333333333333333,0.6666666666666666,6.0,19.666666666666668,0.0,0,1
10,12,193,19.3,2,70,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,38,41,L,401671626,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,5,300.0,19.0,3.0,24.0,75.0,4.75,0.75,6.0,79.33333333333333,4.333333333333333,1.0,6.0,28.333333333333332,0.1111111111111111,0,1
5,6,72,14.4,0,33,0,0,0.0,0,0,0,0,0,0,6,2024-10-14T00:20:00.000+00:00,7,17,W,401671791,2024 Regular Season,Ja'Marr Chase,2024,Regular Season,6,493.0,29.0,5.0,36.0,98.6,5.8,1.0,7.2,132.0,6.333333333333333,1.6666666666666667,8.333333333333334,19.3,0.125,0,0
