receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,47,10,L,401671734,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,8,4.0,0,6,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,3,26,L,401671652,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,2,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,22,36,W,401671658,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,3,12.0,3.0,0.0,3.0,6.0,1.5,0.0,1.5,6.0,1.5,0.0,1.5,4.0,0.0,0,0
2,2,16,8.0,0,11,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,L,401671745,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,4,12.0,3.0,0.0,4.0,4.0,1.0,0.0,1.3333333333333333,4.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
3,5,13,4.3,0,10,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,36,10,L,401671872,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,5,28.0,5.0,0.0,6.0,7.0,1.25,0.0,1.5,8.0,1.3333333333333333,0.0,1.6666666666666667,8.0,0.0,0,0
5,7,49,9.8,0,21,0,0,0.0,0,0,1,0,0,0,6,2024-10-13T20:25:00.000+00:00,20,38,L,401671769,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,6,41.0,8.0,0.0,11.0,8.2,1.6,0.0,2.2,9.666666666666666,1.6666666666666667,0.0,2.6666666666666665,4.333333333333333,0.0,0,0
6,6,61,10.2,0,29,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,L,401671640,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,7,90.0,13.0,0.0,18.0,15.0,2.1666666666666665,0.0,3.0,26.0,3.3333333333333335,0.0,4.666666666666667,9.8,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,28,14,L,401671600,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,8,151.0,19.0,0.0,24.0,21.571428571428573,2.7142857142857144,0.0,3.4285714285714284,41.0,4.666666666666667,0.0,6.0,10.166666666666666,0.0,0,0
4,5,87,21.8,0,46,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,23,22,W,401671650,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,9,158.0,20.0,0.0,25.0,19.75,2.5,0.0,3.125,39.0,4.0,0.0,4.666666666666667,7.0,0.0,0,0
2,2,8,4.0,1,5,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T14:30:00.000+00:00,20,17,W,401671803,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,10,245.0,24.0,0.0,30.0,27.22222222222222,2.6666666666666665,0.0,3.3333333333333335,51.666666666666664,3.6666666666666665,0.0,4.0,21.75,0.0,0,1
3,3,49,16.3,0,28,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,L,401671651,2024 Regular Season,Ja'Tavion Sanders,2024,Regular Season,11,253.0,26.0,1.0,32.0,25.3,2.6,0.1,3.2,34.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,4.0,0.0,0,0
