receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,Jack Stoll,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,Jack Stoll,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,Jack Stoll,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,Jack Stoll,2022,Regular Season,4,4.0,1.0,0.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,Jack Stoll,2022,Regular Season,5,4.0,1.0,0.0,2.0,1.0,0.25,0.0,0.5,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,Jack Stoll,2022,Regular Season,6,4.0,1.0,0.0,2.0,0.8,0.2,0.0,0.4,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,Jack Stoll,2022,Regular Season,7,25.0,2.0,0.0,3.0,4.166666666666667,0.3333333333333333,0.0,0.5,7.0,0.3333333333333333,0.0,0.3333333333333333,21.0,0.0,0,0
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,Jack Stoll,2022,Regular Season,8,25.0,2.0,0.0,4.0,3.5714285714285716,0.2857142857142857,0.0,0.5714285714285714,7.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,Jack Stoll,2022,Regular Season,9,38.0,3.0,0.0,6.0,4.75,0.375,0.0,0.75,11.333333333333334,0.6666666666666666,0.0,1.3333333333333333,13.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,Jack Stoll,2022,Regular Season,10,49.0,4.0,0.0,7.0,5.444444444444445,0.4444444444444444,0.0,0.7777777777777778,8.0,0.6666666666666666,0.0,1.3333333333333333,11.0,0.0,0,0
