receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-10T00:15:00.000+00:00,32,19,W,401671696,2024 Regular Season,Jacob Cowing,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,17,L,401671645,2024 Regular Season,Jacob Cowing,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,27,24,L,401671772,2024 Regular Season,Jacob Cowing,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,30,13,W,401671758,2024 Regular Season,Jacob Cowing,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-11T00:15:00.000+00:00,24,36,W,401671819,2024 Regular Season,Jacob Cowing,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,50,25.0,0,41,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:25:00.000+00:00,18,28,L,401671777,2024 Regular Season,Jacob Cowing,2024,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-28T00:20:00.000+00:00,30,24,W,401671795,2024 Regular Season,Jacob Cowing,2024,Regular Season,7,50.0,2.0,0.0,3.0,8.333333333333334,0.3333333333333333,0.0,0.5,16.666666666666668,0.6666666666666666,0.0,1.0,25.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,10,2024-11-10T18:00:00.000+00:00,20,23,W,401671742,2024 Regular Season,Jacob Cowing,2024,Regular Season,8,50.0,2.0,0.0,3.0,7.142857142857143,0.2857142857142857,0.0,0.42857142857142855,16.666666666666668,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T21:05:00.000+00:00,17,20,L,401671757,2024 Regular Season,Jacob Cowing,2024,Regular Season,9,50.0,2.0,0.0,3.0,6.25,0.25,0.0,0.375,16.666666666666668,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-02T01:20:00.000+00:00,35,10,L,401671781,2024 Regular Season,Jacob Cowing,2024,Regular Season,10,50.0,2.0,0.0,3.0,5.555555555555555,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
