receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,1,2,2.0,2,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,W,401437644,2022 Regular Season,Jaelon Darden,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,W,401437652,2022 Regular Season,Jaelon Darden,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,L,401437607,2022 Regular Season,Jaelon Darden,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,L,401437470,2022 Regular Season,Jaelon Darden,2022,Regular Season,4,25.0,1.0,0.0,1.0,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,25.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,W,401437770,2022 Regular Season,Jaelon Darden,2022,Regular Season,5,25.0,1.0,0.0,1.0,6.25,0.25,0.0,0.25,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,L,401437785,2022 Regular Season,Jaelon Darden,2022,Regular Season,6,25.0,1.0,0.0,1.0,5.0,0.2,0.0,0.2,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,L,401437793,2022 Regular Season,Jaelon Darden,2022,Regular Season,7,25.0,1.0,0.0,1.0,4.166666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,L,401437805,2022 Regular Season,Jaelon Darden,2022,Regular Season,8,26.0,2.0,0.0,2.0,3.7142857142857144,0.2857142857142857,0.0,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,W,401437829,2022 Regular Season,Jaelon Darden,2022,Regular Season,9,26.0,2.0,0.0,2.0,3.25,0.25,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,W,401435638,2022 Regular Season,Jaelon Darden,2022,Regular Season,10,26.0,2.0,0.0,2.0,2.888888888888889,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,L,401437861,2022 Regular Season,Jaelon Darden,2022,Regular Season,11,26.0,2.0,0.0,2.0,2.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-06T01:15:00.000+00:00,17,16,W,401437887,2022 Regular Season,Jaelon Darden,2022,Regular Season,12,26.0,2.0,0.0,2.0,2.3636363636363638,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,24,W,401437942,2022 Regular Season,Jaelon Darden,2022,Regular Season,13,26.0,2.0,0.0,2.0,2.1666666666666665,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,28,14,L,401437958,2022 Regular Season,Jaelon Darden,2022,Regular Season,14,26.0,2.0,0.0,2.0,2.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,0
