receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,5,40,13.3,2,24,1,-10,-10.0,-10,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,Jahan Dotson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,5,59,14.8,1,40,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,L,401437732,2022 Regular Season,Jahan Dotson,2022,Regular Season,2,40.0,3.0,2.0,5.0,40.0,3.0,2.0,5.0,40.0,3.0,2.0,5.0,13.333333333333334,0.0,0,1
2,8,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,L,401437742,2022 Regular Season,Jahan Dotson,2022,Regular Season,3,99.0,7.0,3.0,10.0,49.5,3.5,1.5,5.0,49.5,3.5,1.5,5.0,14.75,0.4,0,0
3,4,43,14.3,1,31,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,L,401437751,2022 Regular Season,Jahan Dotson,2022,Regular Season,4,109.0,9.0,3.0,18.0,36.333333333333336,3.0,1.0,6.0,36.333333333333336,3.0,1.0,6.0,5.0,0.3,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,L,401437771,2022 Regular Season,Jahan Dotson,2022,Regular Season,5,152.0,12.0,4.0,22.0,38.0,3.0,1.0,5.5,37.333333333333336,3.0,0.6666666666666666,5.666666666666667,14.333333333333334,0.16666666666666666,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,W,401437843,2022 Regular Season,Jahan Dotson,2022,Regular Season,6,152.0,12.0,4.0,22.0,30.4,2.4,0.8,4.4,17.666666666666668,1.6666666666666667,0.3333333333333333,4.0,0.0,0.18181818181818182,0,0
1,2,13,13.0,0,13,1,3,3.0,3,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,W,401437848,2022 Regular Season,Jahan Dotson,2022,Regular Season,7,166.0,13.0,4.0,23.0,27.666666666666668,2.1666666666666665,0.6666666666666666,3.8333333333333335,19.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,14.0,0.18181818181818182,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,W,401437866,2022 Regular Season,Jahan Dotson,2022,Regular Season,8,179.0,14.0,4.0,25.0,25.571428571428573,2.0,0.5714285714285714,3.5714285714285716,9.0,0.6666666666666666,0.0,1.0,13.0,0.17391304347826086,0,0
5,9,54,10.8,1,28,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,Jahan Dotson,2022,Regular Season,9,179.0,14.0,4.0,26.0,22.375,1.75,0.5,3.25,9.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.16,0,1
4,6,105,26.3,1,61,0,0,0.0,0,0,0,0,0,0,15,2022-12-19T01:20:00.000+00:00,12,20,L,401437906,2022 Regular Season,Jahan Dotson,2022,Regular Season,10,233.0,19.0,5.0,35.0,25.88888888888889,2.111111111111111,0.5555555555555556,3.888888888888889,22.333333333333332,2.0,0.3333333333333333,4.0,10.8,0.15384615384615385,0,1
