receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,L,401547408,2023 Regular Season,Jake Bobo,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,W,401547418,2023 Regular Season,Jake Bobo,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,5,5.0,1,5,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:05:00.000+00:00,37,27,W,401547432,2023 Regular Season,Jake Bobo,2023,Regular Season,3,3.0,1.0,0.0,1.0,1.5,0.5,0.0,0.5,1.5,0.5,0.0,0.5,3.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,W,401547456,2023 Regular Season,Jake Bobo,2023,Regular Season,4,8.0,2.0,1.0,3.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,5.0,0.0,0,0
2,2,43,21.5,0,23,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,L,401547471,2023 Regular Season,Jake Bobo,2023,Regular Season,5,8.0,2.0,1.0,4.0,2.0,0.5,0.25,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0,0
4,5,61,15.3,1,31,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,W,401547493,2023 Regular Season,Jake Bobo,2023,Regular Season,6,51.0,4.0,1.0,6.0,10.2,0.8,0.2,1.2,16.0,1.0,0.3333333333333333,1.6666666666666667,21.5,0.25,0,1
2,2,23,11.5,0,15,1,3,3.0,3,1,0,0,0,0,8,2023-10-29T20:05:00.000+00:00,24,20,W,401547509,2023 Regular Season,Jake Bobo,2023,Regular Season,7,112.0,8.0,2.0,11.0,18.666666666666668,1.3333333333333333,0.3333333333333333,1.8333333333333333,34.666666666666664,2.0,0.3333333333333333,2.6666666666666665,15.25,0.16666666666666666,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,L,401547513,2023 Regular Season,Jake Bobo,2023,Regular Season,8,135.0,10.0,2.0,13.0,19.285714285714285,1.4285714285714286,0.2857142857142857,1.8571428571428572,42.333333333333336,2.6666666666666665,0.3333333333333333,3.0,11.5,0.18181818181818182,0,0
2,2,13,6.5,0,11,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,29,26,W,401547535,2023 Regular Season,Jake Bobo,2023,Regular Season,9,135.0,10.0,2.0,13.0,16.875,1.25,0.25,1.625,28.0,2.0,0.3333333333333333,2.3333333333333335,0.0,0.15384615384615385,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,L,401547544,2023 Regular Season,Jake Bobo,2023,Regular Season,10,148.0,12.0,2.0,15.0,16.444444444444443,1.3333333333333333,0.2222222222222222,1.6666666666666667,12.0,1.3333333333333333,0.0,1.3333333333333333,6.5,0.15384615384615385,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,L,401547553,2023 Regular Season,Jake Bobo,2023,Regular Season,11,156.0,13.0,2.0,17.0,15.6,1.3,0.2,1.7,7.0,1.0,0.0,1.3333333333333333,8.0,0.13333333333333333,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,13,2023-12-01T01:15:00.000+00:00,41,35,L,401547566,2023 Regular Season,Jake Bobo,2023,Regular Season,12,162.0,14.0,2.0,18.0,14.727272727272727,1.2727272727272727,0.18181818181818182,1.6363636363636365,9.0,1.3333333333333333,0.0,1.6666666666666667,6.0,0.11764705882352941,0,0
