receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,L,401437644,2022 Regular Season,Jake Ferguson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,W,401437734,2022 Regular Season,Jake Ferguson,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,W,401437747,2022 Regular Season,Jake Ferguson,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,W,401437751,2022 Regular Season,Jake Ferguson,2022,Regular Season,4,13.0,2.0,0.0,3.0,4.333333333333333,0.6666666666666666,0.0,1.0,4.333333333333333,0.6666666666666666,0.0,1.0,6.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,W,401437774,2022 Regular Season,Jake Ferguson,2022,Regular Season,5,20.0,3.0,0.0,4.0,5.0,0.75,0.0,1.0,6.666666666666667,1.0,0.0,1.3333333333333333,7.0,0.0,0,0
4,6,40,10.0,1,22,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,L,401437789,2022 Regular Season,Jake Ferguson,2022,Regular Season,6,20.0,3.0,0.0,4.0,4.0,0.6,0.0,0.8,6.666666666666667,1.0,0.0,1.3333333333333333,0.0,0.0,0,1
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,Jake Ferguson,2022,Regular Season,7,60.0,7.0,1.0,10.0,10.0,1.1666666666666667,0.16666666666666666,1.6666666666666667,15.666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,10.0,0.0,0,0
1,1,1,1.0,1,1,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,W,401437807,2022 Regular Season,Jake Ferguson,2022,Regular Season,8,67.0,8.0,1.0,11.0,9.571428571428571,1.1428571428571428,0.14285714285714285,1.5714285714285714,15.666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,7.0,0.1,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,Jake Ferguson,2022,Regular Season,9,68.0,9.0,2.0,12.0,8.5,1.125,0.25,1.5,16.0,2.0,0.6666666666666666,2.6666666666666665,1.0,0.09090909090909091,0,0
2,2,15,7.5,0,11,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,Jake Ferguson,2022,Regular Season,10,68.0,9.0,2.0,12.0,7.555555555555555,1.0,0.2222222222222222,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0,0
3,3,57,19.0,0,30,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,Jake Ferguson,2022,Regular Season,11,83.0,11.0,2.0,14.0,8.3,1.1,0.2,1.4,5.333333333333333,1.0,0.3333333333333333,1.0,7.5,0.16666666666666666,0,0
2,2,-1,-0.5,0,4,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,Jake Ferguson,2022,Regular Season,12,140.0,14.0,2.0,17.0,12.727272727272727,1.2727272727272727,0.18181818181818182,1.5454545454545454,24.0,1.6666666666666667,0.0,1.6666666666666667,19.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,W,401437891,2022 Regular Season,Jake Ferguson,2022,Regular Season,13,139.0,16.0,2.0,19.0,11.583333333333334,1.3333333333333333,0.16666666666666666,1.5833333333333333,23.666666666666668,2.3333333333333335,0.0,2.3333333333333335,-0.5,0.11764705882352941,0,0
1,1,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,W,401437927,2022 Regular Season,Jake Ferguson,2022,Regular Season,14,139.0,16.0,2.0,19.0,10.692307692307692,1.2307692307692308,0.15384615384615385,1.4615384615384615,18.666666666666668,1.6666666666666667,0.0,1.6666666666666667,0.0,0.10526315789473684,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,17,2022-12-30T01:15:00.000+00:00,13,27,W,401437932,2022 Regular Season,Jake Ferguson,2022,Regular Season,15,163.0,17.0,2.0,20.0,11.642857142857142,1.2142857142857142,0.14285714285714285,1.4285714285714286,7.666666666666667,1.0,0.0,1.0,24.0,0.10526315789473684,0,0
