receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,6,55,13.8,0,27,1,7,7.0,7,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Jakobi Meyers,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
9,13,95,10.6,0,24,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Jakobi Meyers,2022,Regular Season,2,55.0,4.0,0.0,6.0,55.0,4.0,0.0,6.0,55.0,4.0,0.0,6.0,13.75,0.0,0,0
7,8,111,15.9,1,24,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,W,401437767,2022 Regular Season,Jakobi Meyers,2022,Regular Season,3,150.0,13.0,0.0,19.0,75.0,6.5,0.0,9.5,75.0,6.5,0.0,9.5,10.555555555555555,0.0,0,1
4,4,60,15.0,0,27,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,W,401437779,2022 Regular Season,Jakobi Meyers,2022,Regular Season,4,261.0,20.0,1.0,27.0,87.0,6.666666666666667,0.3333333333333333,9.0,87.0,6.666666666666667,0.3333333333333333,9.0,15.857142857142858,0.0,0,0
2,2,34,17.0,1,30,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,L,401437804,2022 Regular Season,Jakobi Meyers,2022,Regular Season,5,321.0,24.0,1.0,31.0,80.25,6.0,0.25,7.75,88.66666666666667,6.666666666666667,0.3333333333333333,8.333333333333334,15.0,0.037037037037037035,0,1
9,13,60,6.7,1,16,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,W,401437811,2022 Regular Season,Jakobi Meyers,2022,Regular Season,6,355.0,26.0,2.0,33.0,71.0,5.2,0.4,6.6,68.33333333333333,4.333333333333333,0.6666666666666666,4.666666666666667,17.0,0.03225806451612903,0,1
5,6,42,8.4,0,17,1,2,2.0,2,0,1,1,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,W,401437825,2022 Regular Season,Jakobi Meyers,2022,Regular Season,7,415.0,35.0,3.0,46.0,69.16666666666667,5.833333333333333,0.5,7.666666666666667,51.333333333333336,5.0,0.6666666666666666,6.333333333333333,6.666666666666667,0.06060606060606061,0,0
4,6,52,13.0,0,20,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,W,401437850,2022 Regular Season,Jakobi Meyers,2022,Regular Season,8,457.0,40.0,3.0,52.0,65.28571428571429,5.714285714285714,0.42857142857142855,7.428571428571429,45.333333333333336,5.333333333333333,0.6666666666666666,7.0,8.4,0.06521739130434782,0,0
3,4,62,20.7,0,26,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,L,401437859,2022 Regular Season,Jakobi Meyers,2022,Regular Season,9,509.0,44.0,3.0,58.0,63.625,5.5,0.375,7.25,51.333333333333336,6.0,0.3333333333333333,8.333333333333334,13.0,0.057692307692307696,0,0
3,5,22,7.3,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,L,401437873,2022 Regular Season,Jakobi Meyers,2022,Regular Season,10,571.0,47.0,3.0,62.0,63.44444444444444,5.222222222222222,0.3333333333333333,6.888888888888889,52.0,4.0,0.0,5.333333333333333,20.666666666666668,0.05172413793103448,0,0
