receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,W,401547415,2023 Regular Season,Jalen Brooks,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-17T00:15:00.000+00:00,17,20,W,401547482,2023 Regular Season,Jalen Brooks,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,4,39,9.8,0,14,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,49,17,W,401547534,2023 Regular Season,Jalen Brooks,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,10,33,W,401547545,2023 Regular Season,Jalen Brooks,2023,Regular Season,4,39.0,4.0,0.0,4.0,13.0,1.3333333333333333,0.0,1.3333333333333333,13.0,1.3333333333333333,0.0,1.3333333333333333,9.75,0.0,0,0
1,1,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T21:30:00.000+00:00,45,10,W,401547551,2023 Regular Season,Jalen Brooks,2023,Regular Season,5,39.0,4.0,0.0,4.0,9.75,1.0,0.0,1.0,13.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T01:15:00.000+00:00,20,19,W,401547624,2023 Regular Season,Jalen Brooks,2023,Regular Season,6,63.0,5.0,0.0,5.0,12.6,1.0,0.0,1.0,21.0,1.6666666666666667,0.0,1.6666666666666667,24.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,10,38,W,401547653,2023 Regular Season,Jalen Brooks,2023,Regular Season,7,63.0,5.0,0.0,5.0,10.5,0.8333333333333334,0.0,0.8333333333333334,8.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,17,33,W,401671761,2024 Regular Season,Jalen Brooks,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,19,44,L,401671709,2024 Regular Season,Jalen Brooks,2024,Regular Season,2,18.0,1.0,0.0,1.0,18.0,1.0,0.0,1.0,18.0,1.0,0.0,1.0,18.0,0.0,0,0
1,3,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,25,28,L,401671763,2024 Regular Season,Jalen Brooks,2024,Regular Season,3,28.0,2.0,0.0,4.0,14.0,1.0,0.0,2.0,14.0,1.0,0.0,2.0,10.0,0.0,0,0
