receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,W,401437649,2022 Regular Season,Jalen Reagor,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,7,7.0,0,7,1,17,17.0,17,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,L,401436832,2022 Regular Season,Jalen Reagor,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,1,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,W,401437739,2022 Regular Season,Jalen Reagor,2022,Regular Season,3,7.0,1.0,0.0,2.0,3.5,0.5,0.0,1.0,3.5,0.5,0.0,1.0,7.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,W,401435639,2022 Regular Season,Jalen Reagor,2022,Regular Season,4,9.0,2.0,0.0,3.0,3.0,0.6666666666666666,0.0,1.0,3.0,0.6666666666666666,0.0,1.0,2.0,0.0,0,0
1,1,1,1.0,1,1,0,0,0.0,0,0,1,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,W,401437766,2022 Regular Season,Jalen Reagor,2022,Regular Season,5,9.0,2.0,0.0,4.0,2.25,0.5,0.0,1.0,3.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,W,401437782,2022 Regular Season,Jalen Reagor,2022,Regular Season,6,10.0,3.0,1.0,5.0,2.0,0.6,0.2,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,W,401437809,2022 Regular Season,Jalen Reagor,2022,Regular Season,7,10.0,3.0,1.0,5.0,1.6666666666666667,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.2,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437827,2022 Regular Season,Jalen Reagor,2022,Regular Season,8,10.0,3.0,1.0,5.0,1.4285714285714286,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,W,401437833,2022 Regular Season,Jalen Reagor,2022,Regular Season,9,10.0,3.0,1.0,5.0,1.25,0.375,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.2,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,1,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,L,401437855,2022 Regular Season,Jalen Reagor,2022,Regular Season,10,10.0,3.0,1.0,5.0,1.1111111111111112,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.2,0,0
1,1,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,W,401437859,2022 Regular Season,Jalen Reagor,2022,Regular Season,11,24.0,4.0,1.0,6.0,2.4,0.4,0.1,0.6,4.666666666666667,0.3333333333333333,0.0,0.3333333333333333,14.0,0.2,0,0
1,1,38,38.0,0,38,1,8,8.0,8,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,27,22,W,401437879,2022 Regular Season,Jalen Reagor,2022,Regular Season,12,49.0,5.0,1.0,7.0,4.454545454545454,0.45454545454545453,0.09090909090909091,0.6363636363636364,13.0,0.6666666666666666,0.0,0.6666666666666666,25.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,L,401437892,2022 Regular Season,Jalen Reagor,2022,Regular Season,13,87.0,6.0,1.0,8.0,7.25,0.5,0.08333333333333333,0.6666666666666666,25.666666666666668,1.0,0.0,1.0,38.0,0.14285714285714285,0,0
0,2,0,0.0,0,0,1,-5,-5.0,-5,0,0,0,0,0,15,2022-12-17T18:00:00.000+00:00,39,36,W,401437904,2022 Regular Season,Jalen Reagor,2022,Regular Season,14,87.0,6.0,1.0,9.0,6.6923076923076925,0.46153846153846156,0.07692307692307693,0.6923076923076923,21.0,0.6666666666666666,0.0,1.0,0.0,0.125,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,27,24,W,401437923,2022 Regular Season,Jalen Reagor,2022,Regular Season,15,87.0,6.0,1.0,11.0,6.214285714285714,0.42857142857142855,0.07142857142857142,0.7857142857142857,12.666666666666666,0.3333333333333333,0.0,1.3333333333333333,0.0,0.1111111111111111,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,17,2023-01-01T21:25:00.000+00:00,41,17,L,401437945,2022 Regular Season,Jalen Reagor,2022,Regular Season,16,87.0,6.0,1.0,11.0,5.8,0.4,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,1.0,0.0,0.09090909090909091,0,0
2,2,17,8.5,0,10,1,5,5.0,5,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,13,29,W,401437950,2022 Regular Season,Jalen Reagor,2022,Regular Season,17,87.0,6.0,1.0,11.0,5.4375,0.375,0.0625,0.6875,0.0,0.0,0.0,0.6666666666666666,0.0,0.09090909090909091,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:05:00.000+00:00,21,17,L,401547474,2023 Regular Season,Jalen Reagor,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,W,401547485,2023 Regular Season,Jalen Reagor,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,L,401547497,2023 Regular Season,Jalen Reagor,2023,Regular Season,3,11.0,1.0,0.0,1.0,5.5,0.5,0.0,0.5,5.5,0.5,0.0,0.5,11.0,0.0,0,0
1,6,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,17,20,L,401547520,2023 Regular Season,Jalen Reagor,2023,Regular Season,4,11.0,1.0,0.0,3.0,3.6666666666666665,0.3333333333333333,0.0,1.0,3.6666666666666665,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,L,401547231,2023 Regular Season,Jalen Reagor,2023,Regular Season,5,22.0,2.0,0.0,9.0,5.5,0.5,0.0,2.25,7.333333333333333,0.6666666666666666,0.0,3.0,11.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,0,6,L,401547567,2023 Regular Season,Jalen Reagor,2023,Regular Season,6,22.0,2.0,0.0,9.0,4.4,0.4,0.0,1.8,3.6666666666666665,0.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0,0
