receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,W,401437747,2022 Regular Season,Jalen Tolbert,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,L,401437789,2022 Regular Season,Jalen Tolbert,2022,Regular Season,2,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,Jalen Tolbert,2022,Regular Season,3,4.0,1.0,0.0,2.0,2.0,0.5,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,W,401437807,2022 Regular Season,Jalen Tolbert,2022,Regular Season,4,4.0,1.0,0.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,Jalen Tolbert,2022,Regular Season,5,4.0,1.0,0.0,2.0,1.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,Jalen Tolbert,2022,Regular Season,6,4.0,1.0,0.0,2.0,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,Jalen Tolbert,2022,Regular Season,7,12.0,2.0,0.0,3.0,2.0,0.3333333333333333,0.0,0.5,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,Jalen Tolbert,2022,Regular Season,8,12.0,2.0,0.0,3.0,1.7142857142857142,0.2857142857142857,0.0,0.42857142857142855,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-11T00:20:00.000+00:00,0,40,W,401547409,2023 Regular Season,Jalen Tolbert,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,18,6.0,0,7,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,W,401547415,2023 Regular Season,Jalen Tolbert,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
