receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,66,66.0,1,66,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,L,401437839,2022 Regular Season,Jalen Virgil,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,L,401437853,2022 Regular Season,Jalen Virgil,2022,Regular Season,2,66.0,1.0,1.0,1.0,66.0,1.0,1.0,1.0,66.0,1.0,1.0,1.0,66.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,12,2022-11-27T18:00:00.000+00:00,23,10,L,401437860,2022 Regular Season,Jalen Virgil,2022,Regular Season,3,66.0,1.0,1.0,1.0,33.0,0.5,0.5,0.5,33.0,0.5,0.5,0.5,0.0,1.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,L,401437875,2022 Regular Season,Jalen Virgil,2022,Regular Season,4,66.0,1.0,1.0,3.0,22.0,0.3333333333333333,0.3333333333333333,1.0,22.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:05:00.000+00:00,28,34,L,401437899,2022 Regular Season,Jalen Virgil,2022,Regular Season,5,66.0,1.0,1.0,3.0,16.5,0.25,0.25,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,W,401437912,2022 Regular Season,Jalen Virgil,2022,Regular Season,6,75.0,2.0,1.0,4.0,15.0,0.4,0.2,0.8,3.0,0.3333333333333333,0.0,1.0,9.0,0.3333333333333333,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T21:30:00.000+00:00,51,14,L,401436983,2022 Regular Season,Jalen Virgil,2022,Regular Season,7,75.0,2.0,1.0,4.0,12.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,27,24,L,401437937,2022 Regular Season,Jalen Virgil,2022,Regular Season,8,75.0,2.0,1.0,5.0,10.714285714285714,0.2857142857142857,0.14285714285714285,0.7142857142857143,3.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,31,28,W,401437960,2022 Regular Season,Jalen Virgil,2022,Regular Season,9,75.0,2.0,1.0,5.0,9.375,0.25,0.125,0.625,0.0,0.0,0.0,0.3333333333333333,0.0,0.2,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:05:00.000+00:00,10,31,W,401671760,2024 Regular Season,Jalen Virgil,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,30,27,W,401671493,2024 Regular Season,Jalen Virgil,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,20,30,W,401671863,2024 Regular Season,Jalen Virgil,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T21:25:00.000+00:00,30,21,W,401671665,2024 Regular Season,Jalen Virgil,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2024-12-02T01:20:00.000+00:00,35,10,W,401671781,2024 Regular Season,Jalen Virgil,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
