receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-11T00:20:00.000+00:00,0,40,L,401547409,2023 Regular Season,Jalin Hyatt,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,89,44.5,0,58,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,W,401547421,2023 Regular Season,Jalin Hyatt,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-22T00:15:00.000+00:00,30,12,L,401547426,2023 Regular Season,Jalin Hyatt,2023,Regular Season,3,89.0,2.0,0.0,3.0,44.5,1.0,0.0,1.5,44.5,1.0,0.0,1.5,44.5,0.0,0,0
2,2,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,L,401547456,2023 Regular Season,Jalin Hyatt,2023,Regular Season,4,89.0,2.0,0.0,3.0,29.666666666666668,0.6666666666666666,0.0,1.0,29.666666666666668,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,L,401547465,2023 Regular Season,Jalin Hyatt,2023,Regular Season,5,99.0,4.0,0.0,5.0,24.75,1.0,0.0,1.25,33.0,1.3333333333333333,0.0,1.3333333333333333,5.0,0.0,0,0
3,4,21,7.0,0,12,0,0,0.0,0,0,0,0,0,0,6,2023-10-16T00:20:00.000+00:00,14,9,L,401547481,2023 Regular Season,Jalin Hyatt,2023,Regular Season,6,99.0,4.0,0.0,5.0,19.8,0.8,0.0,1.0,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
2,5,75,37.5,0,42,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,14,7,W,401547486,2023 Regular Season,Jalin Hyatt,2023,Regular Season,7,120.0,7.0,0.0,9.0,20.0,1.1666666666666667,0.0,1.5,10.333333333333334,1.6666666666666667,0.0,2.0,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,13,L,401547498,2023 Regular Season,Jalin Hyatt,2023,Regular Season,8,195.0,9.0,0.0,14.0,27.857142857142858,1.2857142857142858,0.0,2.0,32.0,1.6666666666666667,0.0,3.0,37.5,0.0,0,0
2,5,19,9.5,0,13,0,0,0.0,0,0,1,0,0,0,9,2023-11-05T21:25:00.000+00:00,30,6,L,401547521,2023 Regular Season,Jalin Hyatt,2023,Regular Season,9,195.0,9.0,0.0,14.0,24.375,1.125,0.0,1.75,32.0,1.6666666666666667,0.0,3.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,49,17,L,401547534,2023 Regular Season,Jalin Hyatt,2023,Regular Season,10,214.0,11.0,0.0,19.0,23.77777777777778,1.2222222222222223,0.0,2.111111111111111,31.333333333333332,1.3333333333333333,0.0,3.3333333333333335,9.5,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,19,31,W,401547548,2023 Regular Season,Jalin Hyatt,2023,Regular Season,11,214.0,11.0,0.0,20.0,21.4,1.1,0.0,2.0,6.333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,0,0
5,6,109,21.8,0,41,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,7,W,401547560,2023 Regular Season,Jalin Hyatt,2023,Regular Season,12,221.0,12.0,0.0,22.0,20.09090909090909,1.0909090909090908,0.0,2.0,8.666666666666666,1.0,0.0,2.6666666666666665,7.0,0.0,0,0
2,3,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,14,2023-12-12T01:15:00.000+00:00,24,22,W,401547591,2023 Regular Season,Jalin Hyatt,2023,Regular Season,13,330.0,17.0,0.0,28.0,27.5,1.4166666666666667,0.0,2.3333333333333335,38.666666666666664,2.0,0.0,3.0,21.8,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,24,6,L,401547599,2023 Regular Season,Jalin Hyatt,2023,Regular Season,14,343.0,19.0,0.0,31.0,26.384615384615383,1.4615384615384615,0.0,2.3846153846153846,43.0,2.6666666666666665,0.0,3.6666666666666665,6.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-25T21:30:00.000+00:00,33,25,L,401547241,2023 Regular Season,Jalin Hyatt,2023,Regular Season,15,343.0,19.0,0.0,34.0,24.5,1.3571428571428572,0.0,2.4285714285714284,40.666666666666664,2.3333333333333335,0.0,4.0,0.0,0.0,0,0
3,4,25,8.3,0,18,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,25,26,L,401547632,2023 Regular Season,Jalin Hyatt,2023,Regular Season,16,343.0,19.0,0.0,34.0,22.866666666666667,1.2666666666666666,0.0,2.2666666666666666,4.333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,27,10,W,401547650,2023 Regular Season,Jalin Hyatt,2023,Regular Season,17,368.0,22.0,0.0,38.0,23.0,1.375,0.0,2.375,8.333333333333334,1.0,0.0,2.3333333333333335,8.333333333333334,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,6,28,L,401671712,2024 Regular Season,Jalin Hyatt,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,21,18,L,401671716,2024 Regular Season,Jalin Hyatt,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,15,21,W,401671855,2024 Regular Season,Jalin Hyatt,2024,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-27T00:15:00.000+00:00,15,20,L,401671812,2024 Regular Season,Jalin Hyatt,2024,Regular Season,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,20,29,W,401671680,2024 Regular Season,Jalin Hyatt,2024,Regular Season,5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
1,4,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,6,2024-10-14T00:20:00.000+00:00,7,17,L,401671791,2024 Regular Season,Jalin Hyatt,2024,Regular Season,6,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,3,28,L,401671710,2024 Regular Season,Jalin Hyatt,2024,Regular Season,7,6.0,1.0,0.0,7.0,1.0,0.16666666666666666,0.0,1.1666666666666667,2.0,0.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,22,27,L,401671711,2024 Regular Season,Jalin Hyatt,2024,Regular Season,8,6.0,1.0,0.0,8.0,0.8571428571428571,0.14285714285714285,0.0,1.1428571428571428,2.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
4,4,39,9.8,0,19,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T14:30:00.000+00:00,20,17,L,401671803,2024 Regular Season,Jalin Hyatt,2024,Regular Season,9,6.0,1.0,0.0,8.0,0.75,0.125,0.0,1.0,2.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,7,30,L,401671638,2024 Regular Season,Jalin Hyatt,2024,Regular Season,10,45.0,5.0,0.0,12.0,5.0,0.5555555555555556,0.0,1.3333333333333333,13.0,1.3333333333333333,0.0,1.6666666666666667,9.75,0.0,0,0
2,2,8,4.0,0,7,0,0,0.0,0,0,0,0,-,-,13,2024-11-28T21:30:00.000+00:00,27,20,L,401671779,2024 Regular Season,Jalin Hyatt,2024,Regular Season,11,45.0,5.0,0.0,12.0,4.5,0.5,0.0,1.2,13.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
