receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,W,401437877,2022 Regular Season,Jameson Williams,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,41,41.0,1,41,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,W,401437892,2022 Regular Season,Jameson Williams,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,W,401437911,2022 Regular Season,Jameson Williams,2022,Regular Season,3,41.0,1.0,1.0,3.0,20.5,0.5,0.5,1.5,20.5,0.5,0.5,1.5,41.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,37,23,L,401437919,2022 Regular Season,Jameson Williams,2022,Regular Season,4,41.0,1.0,1.0,4.0,13.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,13.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0,0
0,3,0,0.0,0,0,1,40,40.0,40,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,41,10,W,401437935,2022 Regular Season,Jameson Williams,2022,Regular Season,5,41.0,1.0,1.0,5.0,10.25,0.25,0.25,1.25,13.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.25,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,W,401437952,2022 Regular Season,Jameson Williams,2022,Regular Season,6,41.0,1.0,1.0,8.0,8.2,0.2,0.2,1.6,0.0,0.0,0.0,1.6666666666666667,0.0,0.2,0,0
2,3,2,1.0,0,4,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,42,24,W,401547464,2023 Regular Season,Jameson Williams,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,53,26.5,1,45,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,W,401547478,2023 Regular Season,Jameson Williams,2023,Regular Season,2,2.0,2.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,0,1
0,6,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,L,401547489,2023 Regular Season,Jameson Williams,2023,Regular Season,3,55.0,4.0,1.0,6.0,27.5,2.0,0.5,3.0,27.5,2.0,0.5,3.0,26.5,0.0,0,0
2,3,16,8.0,0,22,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,W,401547511,2023 Regular Season,Jameson Williams,2023,Regular Season,4,55.0,4.0,1.0,12.0,18.333333333333332,1.3333333333333333,0.3333333333333333,4.0,18.333333333333332,1.3333333333333333,0.3333333333333333,4.0,0.0,0.16666666666666666,0,0
2,2,18,9.0,0,13,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,W,401547530,2023 Regular Season,Jameson Williams,2023,Regular Season,5,71.0,6.0,1.0,15.0,17.75,1.5,0.25,3.75,23.0,1.3333333333333333,0.3333333333333333,4.0,8.0,0.08333333333333333,0,0
2,3,44,22.0,1,32,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,31,26,W,401547546,2023 Regular Season,Jameson Williams,2023,Regular Season,6,89.0,8.0,1.0,17.0,17.8,1.6,0.2,3.4,11.333333333333334,1.3333333333333333,0.0,3.6666666666666665,9.0,0.06666666666666667,0,1
2,3,51,25.5,0,38,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,L,401547552,2023 Regular Season,Jameson Williams,2023,Regular Season,7,133.0,10.0,2.0,20.0,22.166666666666668,1.6666666666666667,0.3333333333333333,3.3333333333333335,26.0,2.0,0.3333333333333333,2.6666666666666665,22.0,0.058823529411764705,0,0
1,1,11,11.0,0,11,1,19,19.0,19,1,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,33,W,401547572,2023 Regular Season,Jameson Williams,2023,Regular Season,8,184.0,12.0,2.0,23.0,26.285714285714285,1.7142857142857142,0.2857142857142857,3.2857142857142856,37.666666666666664,2.0,0.3333333333333333,2.6666666666666665,25.5,0.1,0,0
0,2,0,0.0,0,0,1,4,4.0,4,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,28,13,L,401547586,2023 Regular Season,Jameson Williams,2023,Regular Season,9,195.0,13.0,2.0,24.0,24.375,1.625,0.25,3.0,35.333333333333336,1.6666666666666667,0.3333333333333333,2.3333333333333335,11.0,0.08695652173913043,0,0
4,7,47,11.8,0,18,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T01:15:00.000+00:00,42,17,W,401547606,2023 Regular Season,Jameson Williams,2023,Regular Season,10,195.0,13.0,2.0,26.0,21.666666666666668,1.4444444444444444,0.2222222222222222,2.888888888888889,20.666666666666668,1.0,0.0,2.0,0.0,0.08333333333333333,0,0
5,6,43,8.6,0,12,0,0,0.0,0,0,1,0,0,0,16,2023-12-24T18:00:00.000+00:00,24,30,W,401547618,2023 Regular Season,Jameson Williams,2023,Regular Season,11,242.0,17.0,2.0,33.0,24.2,1.7,0.2,3.3,19.333333333333332,1.6666666666666667,0.0,3.3333333333333335,11.75,0.07692307692307693,0,0
2,3,69,34.5,0,63,1,6,6.0,6,0,0,0,0,0,17,2023-12-31T01:15:00.000+00:00,20,19,L,401547624,2023 Regular Season,Jameson Williams,2023,Regular Season,12,285.0,22.0,2.0,39.0,25.90909090909091,2.0,0.18181818181818182,3.5454545454545454,30.0,3.0,0.0,5.0,8.6,0.06060606060606061,0,0
5,9,121,24.2,1,52,1,13,13.0,13,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,W,401671792,2024 Regular Season,Jameson Williams,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
