receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,6,62,15.5,0,44,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,L,401437647,2022 Regular Season,Jauan Jennings,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,W,401437605,2022 Regular Season,Jauan Jennings,2022,Regular Season,2,62.0,4.0,0.0,6.0,62.0,4.0,0.0,6.0,62.0,4.0,0.0,6.0,15.5,0.0,0,0
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,L,401437746,2022 Regular Season,Jauan Jennings,2022,Regular Season,3,66.0,5.0,0.0,8.0,33.0,2.5,0.0,4.0,33.0,2.5,0.0,4.0,4.0,0.0,0,0
2,4,22,11.0,0,12,0,0,0.0,0,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,W,401437761,2022 Regular Season,Jauan Jennings,2022,Regular Season,4,71.0,6.0,0.0,11.0,23.666666666666668,2.0,0.0,3.6666666666666665,23.666666666666668,2.0,0.0,3.6666666666666665,5.0,0.0,0,0
2,2,45,22.5,0,32,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,W,401437772,2022 Regular Season,Jauan Jennings,2022,Regular Season,5,93.0,8.0,0.0,15.0,23.25,2.0,0.0,3.75,10.333333333333334,1.3333333333333333,0.0,3.0,11.0,0.0,0,0
2,3,18,9.0,0,9,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,L,401437778,2022 Regular Season,Jauan Jennings,2022,Regular Season,6,138.0,10.0,0.0,17.0,27.6,2.0,0.0,3.4,24.0,1.6666666666666667,0.0,3.0,22.5,0.0,0,0
2,4,24,12.0,0,13,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,L,401437802,2022 Regular Season,Jauan Jennings,2022,Regular Season,7,156.0,12.0,0.0,20.0,26.0,2.0,0.0,3.3333333333333335,28.333333333333332,2.0,0.0,3.0,9.0,0.0,0,0
4,4,40,10.0,0,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,W,401437842,2022 Regular Season,Jauan Jennings,2022,Regular Season,8,180.0,14.0,0.0,24.0,25.714285714285715,2.0,0.0,3.4285714285714284,29.0,2.0,0.0,3.0,12.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,W,401435642,2022 Regular Season,Jauan Jennings,2022,Regular Season,9,220.0,18.0,0.0,28.0,27.5,2.25,0.0,3.5,27.333333333333332,2.6666666666666665,0.0,3.6666666666666665,10.0,0.0,0,0
6,7,49,8.2,1,13,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,W,401437870,2022 Regular Season,Jauan Jennings,2022,Regular Season,10,220.0,18.0,0.0,30.0,24.444444444444443,2.0,0.0,3.3333333333333335,21.333333333333332,2.0,0.0,3.3333333333333335,0.0,0.0,0,1
