receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,5,13,4.3,0,10,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,L,401547408,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,34,6.8,0,16,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,W,401547418,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,2,13.0,3.0,0.0,5.0,13.0,3.0,0.0,5.0,13.0,3.0,0.0,5.0,4.333333333333333,0.0,0,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:05:00.000+00:00,37,27,W,401547432,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,3,47.0,8.0,0.0,11.0,23.5,4.0,0.0,5.5,23.5,4.0,0.0,5.5,6.8,0.0,0,0
3,6,5,1.7,0,3,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,W,401547456,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,4,57.0,9.0,0.0,14.0,19.0,3.0,0.0,4.666666666666667,19.0,3.0,0.0,4.666666666666667,10.0,0.0,0,0
4,5,48,12.0,0,18,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,L,401547471,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,5,62.0,12.0,0.0,20.0,15.5,3.0,0.0,5.0,16.333333333333332,3.0,0.0,5.0,1.6666666666666667,0.0,0,0
4,7,63,15.8,1,28,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,W,401547493,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,6,110.0,16.0,0.0,25.0,22.0,3.2,0.0,5.0,21.0,2.6666666666666665,0.0,4.666666666666667,12.0,0.0,0,1
3,4,36,12.0,1,19,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:05:00.000+00:00,24,20,W,401547509,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,7,173.0,20.0,1.0,32.0,28.833333333333332,3.3333333333333335,0.16666666666666666,5.333333333333333,38.666666666666664,3.6666666666666665,0.3333333333333333,6.0,15.75,0.0,0,1
6,7,63,10.5,0,35,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,L,401547513,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,8,209.0,23.0,2.0,36.0,29.857142857142858,3.2857142857142856,0.2857142857142857,5.142857142857143,49.0,3.6666666666666665,0.6666666666666666,5.333333333333333,12.0,0.03125,0,0
4,5,53,13.3,0,20,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,29,26,W,401547535,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,9,272.0,29.0,2.0,43.0,34.0,3.625,0.25,5.375,54.0,4.333333333333333,0.6666666666666666,6.0,10.5,0.05555555555555555,0,0
3,6,40,13.3,0,32,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,L,401547544,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,10,325.0,33.0,2.0,48.0,36.111111111111114,3.6666666666666665,0.2222222222222222,5.333333333333333,50.666666666666664,4.333333333333333,0.3333333333333333,5.333333333333333,13.25,0.046511627906976744,0,0
2,3,41,20.5,0,34,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,L,401547553,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,11,365.0,36.0,2.0,54.0,36.5,3.6,0.2,5.4,52.0,4.333333333333333,0.0,6.0,13.333333333333334,0.041666666666666664,0,0
7,11,62,8.9,0,18,0,0,0.0,0,0,0,0,0,0,13,2023-12-01T01:15:00.000+00:00,41,35,L,401547566,2023 Regular Season,Jaxon Smith-Njigba,2023,Regular Season,12,406.0,38.0,2.0,57.0,36.90909090909091,3.4545454545454546,0.18181818181818182,5.181818181818182,44.666666666666664,3.0,0.0,4.666666666666667,20.5,0.037037037037037035,0,0
