receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,5,48,24.0,0,30,1,-2,-2.0,-2,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,38,W,401547407,2023 Regular Season,Jayden Reed,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,8,37,9.3,2,10,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,L,401547417,2023 Regular Season,Jayden Reed,2023,Regular Season,2,48.0,2.0,0.0,5.0,48.0,2.0,0.0,5.0,48.0,2.0,0.0,5.0,24.0,0.0,0,1
3,7,63,21.0,0,30,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,18,17,W,401547434,2023 Regular Season,Jayden Reed,2023,Regular Season,3,85.0,6.0,2.0,13.0,42.5,3.0,1.0,6.5,42.5,3.0,1.0,6.5,9.25,0.0,0,0
3,5,55,18.3,0,44,0,0,0.0,0,0,1,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,L,401547442,2023 Regular Season,Jayden Reed,2023,Regular Season,4,148.0,9.0,2.0,20.0,49.333333333333336,3.0,0.6666666666666666,6.666666666666667,49.333333333333336,3.0,0.6666666666666666,6.666666666666667,21.0,0.15384615384615385,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2023-10-10T00:15:00.000+00:00,17,13,L,401547468,2023 Regular Season,Jayden Reed,2023,Regular Season,5,203.0,12.0,2.0,25.0,50.75,3.0,0.5,6.25,51.666666666666664,3.3333333333333335,0.6666666666666666,6.666666666666667,18.333333333333332,0.1,0,0
3,4,21,7.0,1,12,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,19,17,L,401547487,2023 Regular Season,Jayden Reed,2023,Regular Season,6,210.0,13.0,2.0,27.0,42.0,2.6,0.4,5.4,41.666666666666664,2.3333333333333335,0.0,4.666666666666667,7.0,0.08,0,1
4,6,83,20.8,0,34,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,24,L,401547506,2023 Regular Season,Jayden Reed,2023,Regular Season,7,231.0,16.0,3.0,31.0,38.5,2.6666666666666665,0.5,5.166666666666667,27.666666666666668,2.3333333333333335,0.3333333333333333,3.6666666666666665,7.0,0.07407407407407407,0,0
3,3,19,6.3,0,11,1,21,21.0,21,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,W,401547519,2023 Regular Season,Jayden Reed,2023,Regular Season,8,314.0,20.0,3.0,37.0,44.857142857142854,2.857142857142857,0.42857142857142855,5.285714285714286,37.0,2.6666666666666665,0.3333333333333333,4.0,20.75,0.0967741935483871,0,0
5,5,84,16.8,1,46,0,0,0.0,0,0,1,0,0,0,10,2023-11-12T18:00:00.000+00:00,23,19,L,401547527,2023 Regular Season,Jayden Reed,2023,Regular Season,9,333.0,23.0,3.0,40.0,41.625,2.875,0.375,5.0,41.0,3.3333333333333335,0.3333333333333333,4.333333333333333,6.333333333333333,0.08108108108108109,0,1
4,6,46,11.5,0,19,3,46,15.3,32,1,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,23,20,W,401547547,2023 Regular Season,Jayden Reed,2023,Regular Season,10,417.0,28.0,4.0,45.0,46.333333333333336,3.111111111111111,0.4444444444444444,5.0,62.0,4.0,0.3333333333333333,4.666666666666667,16.8,0.075,0,0
4,8,34,8.5,1,14,2,16,8.0,15,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,W,401547552,2023 Regular Season,Jayden Reed,2023,Regular Season,11,463.0,32.0,4.0,51.0,46.3,3.2,0.4,5.1,49.666666666666664,4.0,0.3333333333333333,4.666666666666667,11.5,0.08888888888888889,0,1
4,5,16,4.0,0,9,0,0,0.0,0,0,0,0,0,0,13,2023-12-04T01:20:00.000+00:00,27,19,W,401547576,2023 Regular Season,Jayden Reed,2023,Regular Season,12,497.0,36.0,5.0,59.0,45.18181818181818,3.272727272727273,0.45454545454545453,5.363636363636363,54.666666666666664,4.333333333333333,0.6666666666666666,6.333333333333333,8.5,0.0784313725490196,0,0
8,10,27,3.4,0,8,4,38,9.5,20,1,0,0,0,0,14,2023-12-12T01:15:00.000+00:00,24,22,L,401547591,2023 Regular Season,Jayden Reed,2023,Regular Season,13,513.0,40.0,5.0,64.0,42.75,3.3333333333333335,0.4166666666666667,5.333333333333333,32.0,4.0,0.3333333333333333,6.333333333333333,4.0,0.0847457627118644,0,0
6,8,52,8.7,1,20,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,20,34,L,401547598,2023 Regular Season,Jayden Reed,2023,Regular Season,14,540.0,48.0,5.0,74.0,41.53846153846154,3.6923076923076925,0.38461538461538464,5.6923076923076925,25.666666666666668,5.333333333333333,0.3333333333333333,7.666666666666667,3.375,0.078125,0,1
6,8,89,14.8,2,33,0,0,0.0,0,0,0,0,0,0,17,2024-01-01T01:20:00.000+00:00,10,33,W,401547637,2023 Regular Season,Jayden Reed,2023,Regular Season,15,592.0,54.0,6.0,82.0,42.285714285714285,3.857142857142857,0.42857142857142855,5.857142857142857,31.666666666666668,6.0,0.3333333333333333,7.666666666666667,8.666666666666666,0.06756756756756757,0,1
4,4,112,28.0,0,59,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,17,9,W,401547643,2023 Regular Season,Jayden Reed,2023,Regular Season,16,681.0,60.0,8.0,90.0,45.4,4.0,0.5333333333333333,6.0,56.0,6.666666666666667,1.0,8.666666666666666,14.833333333333334,0.07317073170731707,0,0
4,6,138,34.5,1,70,1,33,33.0,33,1,0,0,0,0,1,2024-09-07T00:15:00.000+00:00,34,29,L,401671805,2024 Regular Season,Jayden Reed,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,9,4.5,0,9,2,37,18.5,22,0,1,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,10,W,401671723,2024 Regular Season,Jayden Reed,2024,Regular Season,2,138.0,4.0,1.0,6.0,138.0,4.0,1.0,6.0,138.0,4.0,1.0,6.0,34.5,0.0,0,0
