receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,5,69,17.3,1,42,1,8,8.0,8,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Jaylen Waddle,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
11,19,171,15.5,2,59,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Jaylen Waddle,2022,Regular Season,2,69.0,4.0,1.0,5.0,69.0,4.0,1.0,5.0,69.0,4.0,1.0,5.0,17.25,0.0,0,1
4,6,102,25.5,0,45,1,9,9.0,9,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Jaylen Waddle,2022,Regular Season,3,240.0,15.0,3.0,24.0,120.0,7.5,1.5,12.0,120.0,7.5,1.5,12.0,15.545454545454545,0.2,0,0
2,5,39,19.5,0,20,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,Jaylen Waddle,2022,Regular Season,4,342.0,19.0,3.0,30.0,114.0,6.333333333333333,1.0,10.0,114.0,6.333333333333333,1.0,10.0,25.5,0.125,0,0
3,4,23,7.7,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Jaylen Waddle,2022,Regular Season,5,381.0,21.0,3.0,35.0,95.25,5.25,0.75,8.75,104.0,5.666666666666667,0.6666666666666666,10.0,19.5,0.1,0,0
6,10,129,21.5,0,49,0,0,0.0,0,0,1,1,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,Jaylen Waddle,2022,Regular Season,6,404.0,24.0,3.0,39.0,80.8,4.8,0.6,7.8,54.666666666666664,3.0,0.0,5.0,7.666666666666667,0.08571428571428572,0,0
4,5,88,22.0,0,25,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Jaylen Waddle,2022,Regular Season,7,533.0,30.0,3.0,49.0,88.83333333333333,5.0,0.5,8.166666666666666,63.666666666666664,3.6666666666666665,0.0,6.333333333333333,21.5,0.07692307692307693,0,0
8,9,106,13.3,2,29,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Jaylen Waddle,2022,Regular Season,8,621.0,34.0,3.0,54.0,88.71428571428571,4.857142857142857,0.42857142857142855,7.714285714285714,80.0,4.333333333333333,0.0,6.333333333333333,22.0,0.061224489795918366,0,1
5,7,85,17.0,1,26,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Jaylen Waddle,2022,Regular Season,9,727.0,42.0,5.0,63.0,90.875,5.25,0.625,7.875,107.66666666666667,6.0,0.6666666666666666,8.0,13.25,0.05555555555555555,0,1
4,5,66,16.5,0,29,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Jaylen Waddle,2022,Regular Season,10,812.0,47.0,6.0,70.0,90.22222222222223,5.222222222222222,0.6666666666666666,7.777777777777778,93.0,5.666666666666667,1.0,7.0,17.0,0.07936507936507936,0,0
5,10,85,17.0,0,34,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Jaylen Waddle,2022,Regular Season,11,878.0,51.0,6.0,75.0,87.8,5.1,0.6,7.5,85.66666666666667,5.666666666666667,1.0,7.0,16.5,0.08571428571428572,0,0
1,5,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Jaylen Waddle,2022,Regular Season,12,963.0,56.0,6.0,85.0,87.54545454545455,5.090909090909091,0.5454545454545454,7.7272727272727275,78.66666666666667,4.666666666666667,0.3333333333333333,7.333333333333333,17.0,0.08,0,0
