receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,W,401437635,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,L,401437740,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,W,401437757,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,W,401437769,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,L,401437811,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,L,401437850,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,31,10,W,401437864,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,L,401437889,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,L,401437955,2022 Regular Season,Jeremy Ruckert,2022,Regular Season,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,W,401547352,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,L,401547415,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,L,401547430,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,26,13.0,0,23,0,0,0.0,0,0,0,0,0,0,4,2023-10-02T00:20:00.000+00:00,20,23,L,401547455,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,21,31,W,401547461,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,5,26.0,2.0,0.0,2.0,6.5,0.5,0.0,0.5,8.666666666666666,0.6666666666666666,0.0,0.6666666666666666,13.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,W,401547480,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,6,28.0,3.0,0.0,3.0,5.6,0.6,0.0,0.6,9.333333333333334,1.0,0.0,1.0,2.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,13,W,401547498,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,7,36.0,4.0,0.0,4.0,6.0,0.6666666666666666,0.0,0.6666666666666666,12.0,1.3333333333333333,0.0,1.3333333333333333,8.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,9,2023-11-07T01:15:00.000+00:00,6,27,L,401547524,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,8,36.0,4.0,0.0,5.0,5.142857142857143,0.5714285714285714,0.0,0.7142857142857143,3.3333333333333335,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-13T01:20:00.000+00:00,16,12,L,401547536,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,9,43.0,5.0,0.0,6.0,5.375,0.625,0.0,0.75,5.0,0.6666666666666666,0.0,1.0,7.0,0.0,0,0
3,4,25,8.3,0,18,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,32,6,L,401547543,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,10,43.0,5.0,0.0,6.0,4.777777777777778,0.5555555555555556,0.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
2,4,18,9.0,0,9,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T20:00:00.000+00:00,13,34,L,401547242,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,11,68.0,8.0,0.0,10.0,6.8,0.8,0.0,1.0,10.666666666666666,1.3333333333333333,0.0,1.6666666666666667,8.333333333333334,0.0,0,0
1,3,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,8,13,L,401547573,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,12,86.0,10.0,0.0,14.0,7.818181818181818,0.9090909090909091,0.0,1.2727272727272727,14.333333333333334,1.6666666666666667,0.0,2.6666666666666665,9.0,0.0,0,0
3,3,37,12.3,0,19,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,30,6,W,401547582,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,13,98.0,11.0,0.0,17.0,8.166666666666666,0.9166666666666666,0.0,1.4166666666666667,18.333333333333332,2.0,0.0,3.6666666666666665,12.0,0.0,0,0
2,2,16,8.0,0,9,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,30,0,L,401547594,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,14,135.0,14.0,0.0,20.0,10.384615384615385,1.0769230769230769,0.0,1.5384615384615385,22.333333333333332,2.0,0.0,3.3333333333333335,12.333333333333334,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,30,28,W,401547613,2023 Regular Season,Jeremy Ruckert,2023,Regular Season,15,151.0,16.0,0.0,22.0,10.785714285714286,1.1428571428571428,0.0,1.5714285714285714,21.666666666666668,2.0,0.0,2.6666666666666665,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-10T00:15:00.000+00:00,32,19,L,401671696,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,W,401671636,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,15,7.5,0,11,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,W,401671808,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0,0
2,2,10,5.0,0,9,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,9,10,L,401671622,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,4,15.0,2.0,0.0,5.0,5.0,0.6666666666666666,0.0,1.6666666666666667,5.0,0.6666666666666666,0.0,1.6666666666666667,7.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T13:30:00.000+00:00,23,17,L,401671804,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,5,25.0,4.0,0.0,7.0,6.25,1.0,0.0,1.75,8.333333333333334,1.3333333333333333,0.0,2.3333333333333335,5.0,0.0,0,0
2,3,7,3.5,0,8,0,0,0.0,0,0,0,0,0,0,6,2024-10-15T00:15:00.000+00:00,20,23,L,401671684,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,6,25.0,4.0,0.0,7.0,5.0,0.8,0.0,1.4,8.333333333333334,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-21T00:20:00.000+00:00,37,15,L,401671785,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,7,32.0,6.0,0.0,10.0,5.333333333333333,1.0,0.0,1.6666666666666667,5.666666666666667,1.3333333333333333,0.0,1.6666666666666667,3.5,0.0,0,0
3,3,14,4.7,0,10,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,25,22,L,401671618,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,8,32.0,6.0,0.0,10.0,4.571428571428571,0.8571428571428571,0.0,1.4285714285714286,2.3333333333333335,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,9,2024-11-01T00:15:00.000+00:00,21,13,W,401671809,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,9,46.0,9.0,0.0,13.0,5.75,1.125,0.0,1.625,7.0,1.6666666666666667,0.0,2.0,4.666666666666667,0.0,0,0
2,2,17,8.5,0,12,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,31,6,L,401671678,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,10,50.0,10.0,0.0,14.0,5.555555555555555,1.1111111111111112,0.0,1.5555555555555556,6.0,1.3333333333333333,0.0,1.3333333333333333,4.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,27,28,L,401671782,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,11,67.0,12.0,0.0,16.0,6.7,1.2,0.0,1.6,11.666666666666666,2.0,0.0,2.0,8.5,0.0,0,0
1,2,3,3.0,0,3,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,21,26,L,401671703,2024 Regular Season,Jeremy Ruckert,2024,Regular Season,12,73.0,13.0,0.0,18.0,6.636363636363637,1.1818181818181819,0.0,1.6363636363636365,9.0,1.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,0
