receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,102,25.5,1,67,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,L,401437655,2022 Regular Season,Jerry Jeudy,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,3,11,11.0,0,11,1,1,1.0,1,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,W,401437641,2022 Regular Season,Jerry Jeudy,2022,Regular Season,2,102.0,4.0,1.0,7.0,102.0,4.0,1.0,7.0,102.0,4.0,1.0,7.0,25.5,0.0,0,0
2,6,17,8.5,0,16,0,0,0.0,0,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,W,401437746,2022 Regular Season,Jerry Jeudy,2022,Regular Season,3,113.0,5.0,1.0,10.0,56.5,2.5,0.5,5.0,56.5,2.5,0.5,5.0,11.0,0.14285714285714285,0,0
4,5,53,13.3,1,32,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,32,23,L,401437760,2022 Regular Season,Jerry Jeudy,2022,Regular Season,4,130.0,7.0,1.0,16.0,43.333333333333336,2.3333333333333335,0.3333333333333333,5.333333333333333,43.333333333333336,2.3333333333333335,0.3333333333333333,5.333333333333333,8.5,0.1,0,1
3,8,53,17.7,0,37,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,L,401437762,2022 Regular Season,Jerry Jeudy,2022,Regular Season,5,183.0,11.0,2.0,21.0,45.75,2.75,0.5,5.25,27.0,2.3333333333333335,0.3333333333333333,4.666666666666667,13.25,0.0625,0,0
3,7,54,18.0,0,37,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,L,401437790,2022 Regular Season,Jerry Jeudy,2022,Regular Season,6,236.0,14.0,2.0,29.0,47.2,2.8,0.4,5.8,41.0,3.0,0.3333333333333333,6.333333333333333,17.666666666666668,0.09523809523809523,0,0
7,11,96,13.7,0,45,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,L,401437799,2022 Regular Season,Jerry Jeudy,2022,Regular Season,7,290.0,17.0,2.0,36.0,48.333333333333336,2.8333333333333335,0.3333333333333333,6.0,53.333333333333336,3.3333333333333335,0.3333333333333333,6.666666666666667,18.0,0.06896551724137931,0,0
6,7,63,10.5,1,25,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,W,401435641,2022 Regular Season,Jerry Jeudy,2022,Regular Season,8,386.0,24.0,2.0,47.0,55.142857142857146,3.4285714285714284,0.2857142857142857,6.714285714285714,67.66666666666667,4.333333333333333,0.0,8.666666666666666,13.714285714285714,0.05555555555555555,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,L,401437839,2022 Regular Season,Jerry Jeudy,2022,Regular Season,9,449.0,30.0,3.0,54.0,56.125,3.75,0.375,6.75,71.0,5.333333333333333,0.3333333333333333,8.333333333333334,10.5,0.0425531914893617,0,0
4,4,65,16.3,0,40,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,L,401437875,2022 Regular Season,Jerry Jeudy,2022,Regular Season,10,449.0,30.0,3.0,55.0,49.888888888888886,3.3333333333333335,0.3333333333333333,6.111111111111111,53.0,4.333333333333333,0.3333333333333333,6.333333333333333,0.0,0.05555555555555555,0,0
