receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,24,17,L,401671719,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,L,401671636,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,14,30,L,401671823,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,W,401671683,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,L,401671820,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,34,10,L,401671616,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,8,2024-10-27T17:00:00.000+00:00,52,14,L,401671720,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,8,8.0,0,8,1,-5,-5.0,-5,0,2,0,0,0,9,2024-11-03T18:00:00.000+00:00,20,17,W,401671822,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:05:00.000+00:00,27,17,L,401671751,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,9,8.0,1.0,0.0,3.0,1.0,0.125,0.0,0.375,2.6666666666666665,0.3333333333333333,0.0,1.0,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,13,23,L,401671824,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,10,8.0,1.0,0.0,3.0,0.8888888888888888,0.1111111111111111,0.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,-,-,12,2024-11-24T18:00:00.000+00:00,27,32,W,401671858,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,11,8.0,1.0,0.0,3.0,0.8,0.1,0.0,0.3,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,-,-,13,2024-12-01T18:00:00.000+00:00,42,19,L,401671743,2024 Regular Season,Jha'Quan Jackson,2024,Regular Season,12,8.0,1.0,0.0,3.0,0.7272727272727273,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,0
