receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,John Bates,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,L,401437732,2022 Regular Season,John Bates,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,L,401437742,2022 Regular Season,John Bates,2022,Regular Season,3,15.0,2.0,0.0,4.0,7.5,1.0,0.0,2.0,7.5,1.0,0.0,2.0,7.5,0.0,0,0
4,6,19,4.8,0,7,0,0,0.0,0,0,1,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,L,401437751,2022 Regular Season,John Bates,2022,Regular Season,4,15.0,2.0,0.0,5.0,5.0,0.6666666666666666,0.0,1.6666666666666667,5.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0,0
3,3,39,13.0,0,20,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,L,401437771,2022 Regular Season,John Bates,2022,Regular Season,5,34.0,6.0,0.0,11.0,8.5,1.5,0.0,2.75,11.333333333333334,2.0,0.0,3.3333333333333335,4.75,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,W,401437798,2022 Regular Season,John Bates,2022,Regular Season,6,73.0,9.0,0.0,14.0,14.6,1.8,0.0,2.8,19.333333333333332,2.3333333333333335,0.0,3.3333333333333335,13.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,W,401437814,2022 Regular Season,John Bates,2022,Regular Season,7,73.0,9.0,0.0,14.0,12.166666666666666,1.5,0.0,2.3333333333333335,19.333333333333332,2.3333333333333335,0.0,3.0,0.0,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437827,2022 Regular Season,John Bates,2022,Regular Season,8,79.0,10.0,0.0,15.0,11.285714285714286,1.4285714285714286,0.0,2.142857142857143,15.0,1.3333333333333333,0.0,1.3333333333333333,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,W,401437843,2022 Regular Season,John Bates,2022,Regular Season,9,84.0,11.0,0.0,17.0,10.5,1.375,0.0,2.125,3.6666666666666665,0.6666666666666666,0.0,1.0,5.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,W,401437848,2022 Regular Season,John Bates,2022,Regular Season,10,84.0,11.0,0.0,17.0,9.333333333333334,1.2222222222222223,0.0,1.8888888888888888,3.6666666666666665,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
3,4,24,8.0,1,16,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,W,401437866,2022 Regular Season,John Bates,2022,Regular Season,11,84.0,11.0,0.0,18.0,8.4,1.1,0.0,1.8,1.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,John Bates,2022,Regular Season,12,108.0,14.0,1.0,22.0,9.818181818181818,1.2727272727272727,0.09090909090909091,2.0,8.0,1.0,0.3333333333333333,1.6666666666666667,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,15,2022-12-19T01:20:00.000+00:00,12,20,L,401437906,2022 Regular Season,John Bates,2022,Regular Season,13,108.0,14.0,1.0,22.0,9.0,1.1666666666666667,0.08333333333333333,1.8333333333333333,8.0,1.0,0.3333333333333333,1.6666666666666667,0.0,0.045454545454545456,0,0
