receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,W,401547417,2023 Regular Season,John FitzPatrick,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,L,401547433,2023 Regular Season,John FitzPatrick,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,L,401547227,2023 Regular Season,John FitzPatrick,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,W,401547463,2023 Regular Season,John FitzPatrick,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,28,23,L,401547500,2023 Regular Season,John FitzPatrick,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,L,401547518,2023 Regular Season,John FitzPatrick,2023,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,25,23,L,401547529,2023 Regular Season,John FitzPatrick,2023,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,25,29,L,401547579,2023 Regular Season,John FitzPatrick,2023,Regular Season,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,9,7,L,401547603,2023 Regular Season,John FitzPatrick,2023,Regular Season,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,48,17,L,401547649,2023 Regular Season,John FitzPatrick,2023,Regular Season,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,30,W,401671707,2024 Regular Season,John FitzPatrick,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,14,24,L,401671767,2024 Regular Season,John FitzPatrick,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,19,20,W,401671869,2024 Regular Season,John FitzPatrick,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:25:00.000+00:00,38,10,W,401671768,2024 Regular Season,John FitzPatrick,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2024-12-06T01:15:00.000+00:00,34,31,L,401671814,2024 Regular Season,John FitzPatrick,2024,Regular Season,5,2.0,1.0,0.0,1.0,0.5,0.25,0.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,0,0
