receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,20,31,L,401547419,2023 Regular Season,John Metchie III,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,13,6.5,0,11,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,17,37,W,401547435,2023 Regular Season,John Metchie III,2023,Regular Season,2,17.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,17.0,0.0,0,0
1,2,22,22.0,0,22,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,W,401547446,2023 Regular Season,John Metchie III,2023,Regular Season,3,30.0,3.0,0.0,3.0,15.0,1.5,0.0,1.5,15.0,1.5,0.0,1.5,6.5,0.0,0,0
2,2,20,10.0,0,14,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,L,401547463,2023 Regular Season,John Metchie III,2023,Regular Season,4,52.0,4.0,0.0,5.0,17.333333333333332,1.3333333333333333,0.0,1.6666666666666667,17.333333333333332,1.3333333333333333,0.0,1.6666666666666667,22.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,20,13,W,401547477,2023 Regular Season,John Metchie III,2023,Regular Season,5,72.0,6.0,0.0,7.0,18.0,1.5,0.0,1.75,18.333333333333332,1.6666666666666667,0.0,2.0,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,15,13,L,401547504,2023 Regular Season,John Metchie III,2023,Regular Season,6,72.0,6.0,0.0,7.0,14.4,1.2,0.0,1.4,14.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,W,401547515,2023 Regular Season,John Metchie III,2023,Regular Season,7,72.0,6.0,0.0,7.0,12.0,1.0,0.0,1.1666666666666667,6.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,25,12.5,0,19,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,W,401547526,2023 Regular Season,John Metchie III,2023,Regular Season,8,86.0,7.0,0.0,8.0,12.285714285714286,1.0,0.0,1.1428571428571428,4.666666666666667,0.3333333333333333,0.0,0.3333333333333333,14.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,21,16,W,401547540,2023 Regular Season,John Metchie III,2023,Regular Season,9,111.0,9.0,0.0,10.0,13.875,1.125,0.0,1.25,13.0,1.0,0.0,1.0,12.5,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,L,401547555,2023 Regular Season,John Metchie III,2023,Regular Season,10,123.0,10.0,0.0,11.0,13.666666666666666,1.1111111111111112,0.0,1.2222222222222223,17.0,1.3333333333333333,0.0,1.3333333333333333,12.0,0.0,0,0
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,22,17,W,401547571,2023 Regular Season,John Metchie III,2023,Regular Season,11,129.0,11.0,0.0,13.0,12.9,1.1,0.0,1.3,14.333333333333334,1.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,0
1,5,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,30,6,L,401547582,2023 Regular Season,John Metchie III,2023,Regular Season,12,138.0,12.0,0.0,16.0,12.545454545454545,1.0909090909090908,0.0,1.4545454545454546,9.0,1.0,0.0,2.0,9.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,16,19,W,401547595,2023 Regular Season,John Metchie III,2023,Regular Season,13,144.0,13.0,0.0,21.0,12.0,1.0833333333333333,0.0,1.75,7.0,1.0,0.0,3.3333333333333335,6.0,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,22,36,L,401547612,2023 Regular Season,John Metchie III,2023,Regular Season,14,145.0,14.0,0.0,22.0,11.153846153846153,1.0769230769230769,0.0,1.6923076923076923,5.333333333333333,1.0,0.0,3.0,1.0,0.0,0,0
1,3,8,8.0,0,8,1,4,4.0,4,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,3,W,401547631,2023 Regular Season,John Metchie III,2023,Regular Season,15,145.0,14.0,0.0,25.0,10.357142857142858,1.0,0.0,1.7857142857142858,2.3333333333333335,0.6666666666666666,0.0,3.0,0.0,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T01:15:00.000+00:00,19,23,W,401547644,2023 Regular Season,John Metchie III,2023,Regular Season,16,153.0,15.0,0.0,28.0,10.2,1.0,0.0,1.8666666666666667,3.0,0.6666666666666666,0.0,2.3333333333333335,8.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,20,W,401671857,2024 Regular Season,John Metchie III,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,23,20,W,401671859,2024 Regular Season,John Metchie III,2024,Regular Season,2,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,21,41,W,401671619,2024 Regular Season,John Metchie III,2024,Regular Season,3,7.0,1.0,0.0,1.0,3.5,0.5,0.0,0.5,3.5,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,24,22,L,401671644,2024 Regular Season,John Metchie III,2024,Regular Season,4,7.0,1.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
3,4,29,9.7,0,28,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,23,20,W,401671856,2024 Regular Season,John Metchie III,2024,Regular Season,5,7.0,1.0,0.0,1.0,1.75,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-01T00:15:00.000+00:00,21,13,L,401671809,2024 Regular Season,John Metchie III,2024,Regular Season,6,36.0,4.0,0.0,5.0,7.2,0.8,0.0,1.0,9.666666666666666,1.0,0.0,1.3333333333333333,9.666666666666666,0.0,0,0
5,6,74,14.8,1,25,0,0,0.0,0,0,0,0,0,0,10,2024-11-11T01:20:00.000+00:00,23,26,L,401671787,2024 Regular Season,John Metchie III,2024,Regular Season,7,36.0,4.0,0.0,7.0,6.0,0.6666666666666666,0.0,1.1666666666666667,9.666666666666666,1.0,0.0,2.0,0.0,0.0,0,1
3,3,33,11.0,0,16,0,0,0.0,0,0,0,0,0,0,11,2024-11-19T01:15:00.000+00:00,10,34,W,401671694,2024 Regular Season,John Metchie III,2024,Regular Season,8,110.0,9.0,1.0,13.0,15.714285714285714,1.2857142857142858,0.14285714285714285,1.8571428571428572,34.333333333333336,2.6666666666666665,0.3333333333333333,4.0,14.8,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,27,32,L,401671858,2024 Regular Season,John Metchie III,2024,Regular Season,9,143.0,12.0,1.0,16.0,17.875,1.5,0.125,2.0,35.666666666666664,2.6666666666666665,0.3333333333333333,3.6666666666666665,11.0,0.07692307692307693,0,0
2,2,16,8.0,0,13,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,20,23,W,401671705,2024 Regular Season,John Metchie III,2024,Regular Season,10,149.0,13.0,1.0,19.0,16.555555555555557,1.4444444444444444,0.1111111111111111,2.111111111111111,37.666666666666664,3.0,0.3333333333333333,4.0,6.0,0.0625,0,0
