receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-07T00:15:00.000+00:00,34,29,W,401671805,2024 Regular Season,Johnny Wilson,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-17T00:15:00.000+00:00,21,22,L,401671691,2024 Regular Season,Johnny Wilson,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,12,15,W,401671736,2024 Regular Season,Johnny Wilson,2024,Regular Season,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,33,16,L,401671740,2024 Regular Season,Johnny Wilson,2024,Regular Season,4,9.0,1.0,0.0,4.0,3.0,0.3333333333333333,0.0,1.3333333333333333,3.0,0.3333333333333333,0.0,1.3333333333333333,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,20,16,W,401671714,2024 Regular Season,Johnny Wilson,2024,Regular Season,5,9.0,1.0,0.0,6.0,2.25,0.25,0.0,1.5,3.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,3,28,W,401671710,2024 Regular Season,Johnny Wilson,2024,Regular Season,6,9.0,1.0,0.0,6.0,1.8,0.2,0.0,1.2,3.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,17,37,W,401671667,2024 Regular Season,Johnny Wilson,2024,Regular Season,7,9.0,1.0,0.0,6.0,1.5,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,28,23,W,401671797,2024 Regular Season,Johnny Wilson,2024,Regular Season,8,9.0,1.0,0.0,6.0,1.2857142857142858,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,5,5.0,1,5,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,6,34,W,401671676,2024 Regular Season,Johnny Wilson,2024,Regular Season,9,9.0,1.0,0.0,6.0,1.125,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-15T01:15:00.000+00:00,26,18,W,401671813,2024 Regular Season,Johnny Wilson,2024,Regular Season,10,14.0,2.0,1.0,7.0,1.5555555555555556,0.2222222222222222,0.1111111111111111,0.7777777777777778,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,12,2024-11-25T01:20:00.000+00:00,20,37,W,401671794,2024 Regular Season,Johnny Wilson,2024,Regular Season,11,14.0,2.0,1.0,7.0,1.4,0.2,0.1,0.7,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,0,0
