receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,5,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,10,L,401547403,2023 Regular Season,Jonathan Mingo,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,8,26,8.7,0,22,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T23:15:00.000+00:00,17,20,L,401547425,2023 Regular Season,Jonathan Mingo,2023,Regular Season,2,17.0,2.0,0.0,5.0,17.0,2.0,0.0,5.0,17.0,2.0,0.0,5.0,8.5,0.0,0,0
3,6,21,7.0,0,9,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:05:00.000+00:00,37,27,L,401547432,2023 Regular Season,Jonathan Mingo,2023,Regular Season,3,43.0,5.0,0.0,13.0,21.5,2.5,0.0,6.5,21.5,2.5,0.0,6.5,8.666666666666666,0.0,0,0
5,7,48,9.6,0,13,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,42,24,L,401547464,2023 Regular Season,Jonathan Mingo,2023,Regular Season,4,64.0,8.0,0.0,19.0,21.333333333333332,2.6666666666666665,0.0,6.333333333333333,21.333333333333332,2.6666666666666665,0.0,6.333333333333333,7.0,0.0,0,0
2,3,21,10.5,0,11,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,42,21,L,401547473,2023 Regular Season,Jonathan Mingo,2023,Regular Season,5,112.0,13.0,0.0,26.0,28.0,3.25,0.0,6.5,31.666666666666668,3.6666666666666665,0.0,7.0,9.6,0.0,0,0
4,5,62,15.5,0,40,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,15,13,W,401547504,2023 Regular Season,Jonathan Mingo,2023,Regular Season,6,133.0,15.0,0.0,29.0,26.6,3.0,0.0,5.8,30.0,3.3333333333333335,0.0,5.333333333333333,10.5,0.0,0,0
1,4,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:05:00.000+00:00,13,27,L,401547517,2023 Regular Season,Jonathan Mingo,2023,Regular Season,7,195.0,19.0,0.0,34.0,32.5,3.1666666666666665,0.0,5.666666666666667,43.666666666666664,3.6666666666666665,0.0,5.0,15.5,0.0,0,0
3,7,20,6.7,0,10,0,0,0.0,0,0,0,0,0,0,10,2023-11-10T01:15:00.000+00:00,16,13,L,401547525,2023 Regular Season,Jonathan Mingo,2023,Regular Season,8,200.0,20.0,0.0,38.0,28.571428571428573,2.857142857142857,0.0,5.428571428571429,29.333333333333332,2.3333333333333335,0.0,4.0,5.0,0.0,0,0
1,6,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,10,33,L,401547545,2023 Regular Season,Jonathan Mingo,2023,Regular Season,9,220.0,23.0,0.0,45.0,27.5,2.875,0.0,5.625,29.0,2.6666666666666665,0.0,5.333333333333333,6.666666666666667,0.0,0,0
4,6,60,15.0,0,24,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,17,10,L,401547561,2023 Regular Season,Jonathan Mingo,2023,Regular Season,10,226.0,24.0,0.0,51.0,25.11111111111111,2.6666666666666665,0.0,5.666666666666667,10.333333333333334,1.6666666666666667,0.0,5.666666666666667,6.0,0.0,0,0
6,10,69,11.5,0,31,0,0,0.0,0,0,1,0,0,0,13,2023-12-03T21:05:00.000+00:00,21,18,L,401547569,2023 Regular Season,Jonathan Mingo,2023,Regular Season,11,286.0,28.0,0.0,57.0,28.6,2.8,0.0,5.7,28.666666666666668,2.6666666666666665,0.0,6.333333333333333,15.0,0.0,0,0
2,9,22,11.0,0,13,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,28,6,L,401547587,2023 Regular Season,Jonathan Mingo,2023,Regular Season,12,355.0,34.0,0.0,67.0,32.27272727272727,3.090909090909091,0.0,6.090909090909091,45.0,3.6666666666666665,0.0,7.333333333333333,11.5,0.0,0,0
4,5,32,8.0,0,20,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,9,7,W,401547603,2023 Regular Season,Jonathan Mingo,2023,Regular Season,13,377.0,36.0,0.0,76.0,31.416666666666668,3.0,0.0,6.333333333333333,50.333333333333336,4.0,0.0,8.333333333333334,11.0,0.0,0,0
