receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,33,11.0,0,15,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Jonnu Smith,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Jonnu Smith,2022,Regular Season,2,33.0,3.0,0.0,4.0,33.0,3.0,0.0,4.0,33.0,3.0,0.0,4.0,11.0,0.0,0,0
4,4,25,6.3,0,8,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,L,401437631,2022 Regular Season,Jonnu Smith,2022,Regular Season,3,33.0,3.0,0.0,7.0,16.5,1.5,0.0,3.5,16.5,1.5,0.0,3.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,L,401437759,2022 Regular Season,Jonnu Smith,2022,Regular Season,4,58.0,7.0,0.0,11.0,19.333333333333332,2.3333333333333335,0.0,3.6666666666666665,19.333333333333332,2.3333333333333335,0.0,3.6666666666666665,6.25,0.0,0,0
2,2,61,30.5,0,53,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,W,401437779,2022 Regular Season,Jonnu Smith,2022,Regular Season,5,58.0,7.0,0.0,11.0,14.5,1.75,0.0,2.75,8.333333333333334,1.3333333333333333,0.0,2.3333333333333335,0.0,0.0,0,0
1,3,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,L,401437804,2022 Regular Season,Jonnu Smith,2022,Regular Season,6,119.0,9.0,0.0,13.0,23.8,1.8,0.0,2.6,28.666666666666668,2.0,0.0,2.0,30.5,0.0,0,0
3,4,10,3.3,0,7,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,W,401437811,2022 Regular Season,Jonnu Smith,2022,Regular Season,7,123.0,10.0,0.0,16.0,20.5,1.6666666666666667,0.0,2.6666666666666665,21.666666666666668,1.0,0.0,1.6666666666666667,4.0,0.0,0,0
3,3,21,7.0,0,24,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,W,401437825,2022 Regular Season,Jonnu Smith,2022,Regular Season,8,133.0,13.0,0.0,20.0,19.0,1.8571428571428572,0.0,2.857142857142857,25.0,2.0,0.0,3.0,3.3333333333333335,0.0,0,0
4,4,40,10.0,0,26,1,5,5.0,5,0,1,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,W,401437850,2022 Regular Season,Jonnu Smith,2022,Regular Season,9,154.0,16.0,0.0,23.0,19.25,2.0,0.0,2.875,11.666666666666666,2.3333333333333335,0.0,3.3333333333333335,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,L,401437859,2022 Regular Season,Jonnu Smith,2022,Regular Season,10,194.0,20.0,0.0,27.0,21.555555555555557,2.2222222222222223,0.0,3.0,23.666666666666668,3.3333333333333335,0.0,3.6666666666666665,10.0,0.0,0,0
2,2,6,3.0,0,6,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,L,401437873,2022 Regular Season,Jonnu Smith,2022,Regular Season,11,194.0,20.0,0.0,27.0,19.4,2.0,0.0,2.7,20.333333333333332,2.3333333333333335,0.0,2.3333333333333335,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,W,401437900,2022 Regular Season,Jonnu Smith,2022,Regular Season,12,200.0,22.0,0.0,29.0,18.181818181818183,2.0,0.0,2.6363636363636362,15.333333333333334,2.0,0.0,2.0,3.0,0.0,0,0
2,3,24,12.0,0,13,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,30,24,L,401437915,2022 Regular Season,Jonnu Smith,2022,Regular Season,13,200.0,22.0,0.0,31.0,16.666666666666668,1.8333333333333333,0.0,2.5833333333333335,2.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
3,4,21,7.0,0,9,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,18,22,L,401437924,2022 Regular Season,Jonnu Smith,2022,Regular Season,14,224.0,24.0,0.0,34.0,17.23076923076923,1.8461538461538463,0.0,2.6153846153846154,10.0,1.3333333333333333,0.0,2.3333333333333335,12.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,10,W,401547403,2023 Regular Season,Jonnu Smith,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,6,47,11.8,0,17,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,W,401547417,2023 Regular Season,Jonnu Smith,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,8,37,7.4,0,12,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,L,401547433,2023 Regular Season,Jonnu Smith,2023,Regular Season,3,47.0,4.0,0.0,6.0,23.5,2.0,0.0,3.0,23.5,2.0,0.0,3.0,11.75,0.0,0,0
6,6,95,15.8,0,33,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,L,401547227,2023 Regular Season,Jonnu Smith,2023,Regular Season,4,84.0,9.0,0.0,14.0,28.0,3.0,0.0,4.666666666666667,28.0,3.0,0.0,4.666666666666667,7.4,0.0,0,0
6,7,67,11.2,0,22,0,0,0.0,0,0,1,1,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,W,401547463,2023 Regular Season,Jonnu Smith,2023,Regular Season,5,179.0,15.0,0.0,20.0,44.75,3.75,0.0,5.0,59.666666666666664,5.0,0.0,6.666666666666667,15.833333333333334,0.0,0,0
