receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,6,61,15.3,1,39,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,17,20,L,401547398,2023 Regular Season,Jordan Addison,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,5,72,24.0,1,62,0,0,0.0,0,0,0,0,0,0,2,2023-09-15T00:15:00.000+00:00,34,28,L,401547410,2023 Regular Season,Jordan Addison,2023,Regular Season,2,61.0,4.0,1.0,6.0,61.0,4.0,1.0,6.0,61.0,4.0,1.0,6.0,15.25,0.0,0,1
6,8,52,8.7,0,16,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,L,401547436,2023 Regular Season,Jordan Addison,2023,Regular Season,3,133.0,7.0,2.0,11.0,66.5,3.5,1.0,5.5,66.5,3.5,1.0,5.5,24.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,13,21,W,401547448,2023 Regular Season,Jordan Addison,2023,Regular Season,4,185.0,13.0,2.0,19.0,61.666666666666664,4.333333333333333,0.6666666666666666,6.333333333333333,61.666666666666664,4.333333333333333,0.6666666666666666,6.333333333333333,8.666666666666666,0.18181818181818182,0,0
6,9,64,10.7,1,16,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,20,27,L,401547462,2023 Regular Season,Jordan Addison,2023,Regular Season,5,185.0,13.0,2.0,20.0,46.25,3.25,0.5,5.0,41.333333333333336,3.0,0.3333333333333333,4.666666666666667,0.0,0.10526315789473684,0,1
3,5,28,9.3,1,15,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,13,19,W,401547475,2023 Regular Season,Jordan Addison,2023,Regular Season,6,249.0,19.0,3.0,29.0,49.8,3.8,0.6,5.8,38.666666666666664,4.0,0.3333333333333333,6.0,10.666666666666666,0.1,0,1
7,10,123,17.6,2,60,0,0,0.0,0,0,0,0,0,0,7,2023-10-24T00:15:00.000+00:00,22,17,W,401547495,2023 Regular Season,Jordan Addison,2023,Regular Season,7,277.0,22.0,4.0,34.0,46.166666666666664,3.6666666666666665,0.6666666666666666,5.666666666666667,30.666666666666668,3.0,0.6666666666666666,5.0,9.333333333333334,0.10344827586206896,0,1
7,8,82,11.7,1,20,1,2,2.0,2,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,24,W,401547506,2023 Regular Season,Jordan Addison,2023,Regular Season,8,400.0,29.0,6.0,44.0,57.142857142857146,4.142857142857143,0.8571428571428571,6.285714285714286,71.66666666666667,5.333333333333333,1.3333333333333333,8.0,17.571428571428573,0.11764705882352941,0,1
5,7,52,10.4,0,24,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,W,401547518,2023 Regular Season,Jordan Addison,2023,Regular Season,9,482.0,36.0,7.0,52.0,60.25,4.5,0.875,6.5,77.66666666666667,5.666666666666667,1.3333333333333333,7.666666666666667,11.714285714285714,0.13636363636363635,0,0
4,7,69,17.3,0,29,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,19,W,401547533,2023 Regular Season,Jordan Addison,2023,Regular Season,10,534.0,41.0,7.0,59.0,59.333333333333336,4.555555555555555,0.7777777777777778,6.555555555555555,85.66666666666667,6.333333333333333,1.0,8.333333333333334,10.4,0.1346153846153846,0,0
3,6,44,14.7,0,18,0,0,0.0,0,0,0,0,0,0,11,2023-11-20T01:20:00.000+00:00,21,20,L,401547550,2023 Regular Season,Jordan Addison,2023,Regular Season,11,603.0,45.0,7.0,66.0,60.3,4.5,0.7,6.6,67.66666666666667,5.333333333333333,0.3333333333333333,7.333333333333333,17.25,0.11864406779661017,0,0
6,10,39,6.5,0,14,0,0,0.0,0,0,0,0,0,0,12,2023-11-28T01:15:00.000+00:00,10,12,L,401547565,2023 Regular Season,Jordan Addison,2023,Regular Season,12,647.0,48.0,7.0,72.0,58.81818181818182,4.363636363636363,0.6363636363636364,6.545454545454546,55.0,4.0,0.0,6.666666666666667,14.666666666666666,0.10606060606060606,0,0
2,3,27,13.5,0,20,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:05:00.000+00:00,0,3,W,401547588,2023 Regular Season,Jordan Addison,2023,Regular Season,13,686.0,54.0,7.0,82.0,57.166666666666664,4.5,0.5833333333333334,6.833333333333333,50.666666666666664,4.333333333333333,0.0,7.666666666666667,6.5,0.09722222222222222,0,0
6,6,111,18.5,2,37,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,L,401547604,2023 Regular Season,Jordan Addison,2023,Regular Season,14,713.0,56.0,7.0,85.0,54.84615384615385,4.3076923076923075,0.5384615384615384,6.538461538461538,36.666666666666664,3.6666666666666665,0.0,6.333333333333333,13.5,0.08536585365853659,0,1
1,4,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,24,30,L,401547618,2023 Regular Season,Jordan Addison,2023,Regular Season,15,824.0,62.0,9.0,91.0,58.857142857142854,4.428571428571429,0.6428571428571429,6.5,59.0,4.666666666666667,0.6666666666666666,6.333333333333333,18.5,0.08235294117647059,0,0
3,5,28,9.3,0,20,0,0,0.0,0,0,0,0,0,0,17,2024-01-01T01:20:00.000+00:00,10,33,L,401547637,2023 Regular Season,Jordan Addison,2023,Regular Season,16,826.0,63.0,9.0,95.0,55.06666666666667,4.2,0.6,6.333333333333333,46.666666666666664,3.0,0.6666666666666666,4.333333333333333,2.0,0.0989010989010989,0,0
4,8,57,14.3,1,42,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,30,20,L,401547642,2023 Regular Season,Jordan Addison,2023,Regular Season,17,854.0,66.0,9.0,100.0,53.375,4.125,0.5625,6.25,47.0,3.3333333333333335,0.6666666666666666,5.0,9.333333333333334,0.09473684210526316,0,1
3,4,35,11.7,0,16,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,6,28,W,401671712,2024 Regular Season,Jordan Addison,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,72,24.0,1,29,1,7,7.0,7,1,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,29,31,W,401671643,2024 Regular Season,Jordan Addison,2024,Regular Season,2,35.0,3.0,0.0,4.0,35.0,3.0,0.0,4.0,35.0,3.0,0.0,4.0,11.666666666666666,0.0,0,1
3,8,36,12.0,0,26,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T13:30:00.000+00:00,23,17,W,401671804,2024 Regular Season,Jordan Addison,2024,Regular Season,3,107.0,6.0,1.0,8.0,53.5,3.0,0.5,4.0,53.5,3.0,0.5,4.0,24.0,0.0,0,0
3,4,66,22.0,0,51,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,29,31,L,401671724,2024 Regular Season,Jordan Addison,2024,Regular Season,4,143.0,9.0,1.0,16.0,47.666666666666664,3.0,0.3333333333333333,5.333333333333333,47.666666666666664,3.0,0.3333333333333333,5.333333333333333,12.0,0.125,0,0
2,3,22,11.0,0,14,0,0,0.0,0,0,0,0,0,0,8,2024-10-25T00:15:00.000+00:00,30,20,L,401671817,2024 Regular Season,Jordan Addison,2024,Regular Season,5,209.0,12.0,1.0,20.0,52.25,3.0,0.25,5.0,58.0,3.0,0.3333333333333333,5.333333333333333,22.0,0.0625,0,0
5,5,42,8.4,1,21,1,9,9.0,9,0,0,0,0,0,9,2024-11-04T01:20:00.000+00:00,21,13,W,401671647,2024 Regular Season,Jordan Addison,2024,Regular Season,6,231.0,14.0,1.0,23.0,46.2,2.8,0.2,4.6,41.333333333333336,2.6666666666666665,0.0,5.0,11.0,0.05,0,1
2,5,25,12.5,0,21,1,4,4.0,4,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,7,12,W,401671708,2024 Regular Season,Jordan Addison,2024,Regular Season,7,273.0,19.0,2.0,28.0,45.5,3.1666666666666665,0.3333333333333333,4.666666666666667,43.333333333333336,3.3333333333333335,0.3333333333333333,4.0,8.4,0.043478260869565216,0,0
3,8,61,20.3,1,47,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,13,23,W,401671824,2024 Regular Season,Jordan Addison,2024,Regular Season,8,298.0,21.0,2.0,33.0,42.57142857142857,3.0,0.2857142857142857,4.714285714285714,29.666666666666668,3.0,0.3333333333333333,4.333333333333333,12.5,0.07142857142857142,0,1
8,9,162,20.3,1,69,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,W,401671870,2024 Regular Season,Jordan Addison,2024,Regular Season,9,359.0,24.0,3.0,41.0,44.875,3.0,0.375,5.125,42.666666666666664,3.3333333333333335,0.6666666666666666,6.0,20.333333333333332,0.06060606060606061,0,1
4,6,54,13.5,0,26,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,23,22,W,401671726,2024 Regular Season,Jordan Addison,2024,Regular Season,10,521.0,32.0,4.0,50.0,57.888888888888886,3.5555555555555554,0.4444444444444444,5.555555555555555,82.66666666666667,4.333333333333333,0.6666666666666666,7.333333333333333,20.25,0.07317073170731707,0,0
