receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,31,10.3,1,25,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,L,401437737,2022 Regular Season,Jordan Akins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,33,16.5,0,30,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,L,401437753,2022 Regular Season,Jordan Akins,2022,Regular Season,2,31.0,3.0,1.0,4.0,31.0,3.0,1.0,4.0,31.0,3.0,1.0,4.0,10.333333333333334,0.0,0,0
2,2,22,11.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,W,401437765,2022 Regular Season,Jordan Akins,2022,Regular Season,3,64.0,5.0,1.0,6.0,32.0,2.5,0.5,3.0,32.0,2.5,0.5,3.0,16.5,0.25,0,0
3,4,68,22.7,0,39,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,L,401437800,2022 Regular Season,Jordan Akins,2022,Regular Season,4,86.0,7.0,1.0,8.0,28.666666666666668,2.3333333333333335,0.3333333333333333,2.6666666666666665,28.666666666666668,2.3333333333333335,0.3333333333333333,2.6666666666666665,11.0,0.16666666666666666,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,L,401437813,2022 Regular Season,Jordan Akins,2022,Regular Season,5,154.0,10.0,1.0,12.0,38.5,2.5,0.25,3.0,41.0,2.3333333333333335,0.0,2.6666666666666665,22.666666666666668,0.125,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,L,401437819,2022 Regular Season,Jordan Akins,2022,Regular Season,6,159.0,11.0,1.0,14.0,31.8,2.2,0.2,2.8,31.666666666666668,2.0,0.0,2.6666666666666665,5.0,0.08333333333333333,0,0
3,3,72,24.0,0,46,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,L,401437837,2022 Regular Season,Jordan Akins,2022,Regular Season,7,159.0,11.0,1.0,15.0,26.5,1.8333333333333333,0.16666666666666666,2.5,24.333333333333332,1.3333333333333333,0.0,2.3333333333333335,0.0,0.07142857142857142,0,0
2,3,8,4.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,L,401437848,2022 Regular Season,Jordan Akins,2022,Regular Season,8,231.0,14.0,1.0,18.0,33.0,2.0,0.14285714285714285,2.5714285714285716,25.666666666666668,1.3333333333333333,0.0,2.0,24.0,0.06666666666666667,0,0
5,5,61,12.2,1,25,0,0,0.0,0,0,1,1,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,L,401437863,2022 Regular Season,Jordan Akins,2022,Regular Season,9,239.0,16.0,1.0,21.0,29.875,2.0,0.125,2.625,26.666666666666668,1.6666666666666667,0.0,2.3333333333333335,4.0,0.05555555555555555,0,1
3,6,21,7.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,14,27,L,401437878,2022 Regular Season,Jordan Akins,2022,Regular Season,10,300.0,21.0,2.0,26.0,33.333333333333336,2.3333333333333335,0.2222222222222222,2.888888888888889,47.0,3.3333333333333335,0.3333333333333333,3.6666666666666665,12.2,0.047619047619047616,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,L,401437891,2022 Regular Season,Jordan Akins,2022,Regular Season,11,321.0,24.0,2.0,32.0,32.1,2.4,0.2,3.2,30.0,3.3333333333333335,0.3333333333333333,4.666666666666667,7.0,0.07692307692307693,0,0
3,6,22,7.3,1,12,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,24,30,L,401437909,2022 Regular Season,Jordan Akins,2022,Regular Season,12,326.0,25.0,2.0,34.0,29.636363636363637,2.272727272727273,0.18181818181818182,3.090909090909091,29.0,3.0,0.3333333333333333,4.333333333333333,5.0,0.0625,0,1
3,3,39,13.0,0,30,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T19:00:00.000+00:00,14,19,W,401437925,2022 Regular Season,Jordan Akins,2022,Regular Season,13,348.0,28.0,3.0,40.0,29.0,2.3333333333333335,0.25,3.3333333333333335,16.0,2.3333333333333335,0.3333333333333333,4.666666666666667,7.333333333333333,0.058823529411764705,0,0
2,3,38,19.0,0,29,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,3,31,L,401437936,2022 Regular Season,Jordan Akins,2022,Regular Season,14,387.0,31.0,3.0,43.0,29.76923076923077,2.3846153846153846,0.23076923076923078,3.3076923076923075,22.0,2.3333333333333335,0.3333333333333333,3.6666666666666665,13.0,0.075,0,0
4,8,70,17.5,2,28,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,31,32,W,401437953,2022 Regular Season,Jordan Akins,2022,Regular Season,15,425.0,33.0,3.0,46.0,30.357142857142858,2.357142857142857,0.21428571428571427,3.2857142857142856,33.0,2.6666666666666665,0.3333333333333333,4.0,19.0,0.06976744186046512,0,1
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,W,401547397,2023 Regular Season,Jordan Akins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,2,2023-09-19T00:15:00.000+00:00,26,22,L,401547424,2023 Regular Season,Jordan Akins,2023,Regular Season,2,12.0,1.0,0.0,1.0,12.0,1.0,0.0,1.0,12.0,1.0,0.0,1.0,12.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,27,3,W,401547428,2023 Regular Season,Jordan Akins,2023,Regular Season,3,14.0,2.0,0.0,2.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,2.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,L,401547445,2023 Regular Season,Jordan Akins,2023,Regular Season,4,14.0,2.0,0.0,2.0,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,19,17,W,401547476,2023 Regular Season,Jordan Akins,2023,Regular Season,5,20.0,3.0,0.0,4.0,5.0,0.75,0.0,1.0,2.6666666666666665,0.6666666666666666,0.0,1.0,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,39,W,401547484,2023 Regular Season,Jordan Akins,2023,Regular Season,6,20.0,3.0,0.0,6.0,4.0,0.6,0.0,1.2,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
