receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,L,401671792,2024 Regular Season,Jordan Whittington,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,22,11.0,0,22,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,L,401671754,2024 Regular Season,Jordan Whittington,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,3,28,9.3,0,15,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,27,24,W,401671772,2024 Regular Season,Jordan Whittington,2024,Regular Season,3,22.0,2.0,0.0,2.0,11.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,0.0,0,0
6,8,62,10.3,0,16,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,L,401671871,2024 Regular Season,Jordan Whittington,2024,Regular Season,4,50.0,5.0,0.0,5.0,16.666666666666668,1.6666666666666667,0.0,1.6666666666666667,16.666666666666668,1.6666666666666667,0.0,1.6666666666666667,9.333333333333334,0.0,0,0
7,10,89,12.7,0,31,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,19,24,L,401671679,2024 Regular Season,Jordan Whittington,2024,Regular Season,5,112.0,11.0,0.0,13.0,28.0,2.75,0.0,3.25,37.333333333333336,3.6666666666666665,0.0,4.333333333333333,10.333333333333334,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,20,15,W,401671663,2024 Regular Season,Jordan Whittington,2024,Regular Season,6,201.0,18.0,0.0,23.0,40.2,3.6,0.0,4.6,59.666666666666664,5.333333333333333,0.0,7.0,12.714285714285714,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-12T01:15:00.000+00:00,15,23,L,401671693,2024 Regular Season,Jordan Whittington,2024,Regular Season,7,201.0,18.0,0.0,23.0,33.5,3.0,0.0,3.8333333333333335,50.333333333333336,4.333333333333333,0.0,6.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,22,28,W,401671701,2024 Regular Season,Jordan Whittington,2024,Regular Season,8,201.0,18.0,0.0,23.0,28.714285714285715,2.5714285714285716,0.0,3.2857142857142856,29.666666666666668,2.3333333333333335,0.0,3.3333333333333335,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-25T01:20:00.000+00:00,20,37,L,401671794,2024 Regular Season,Jordan Whittington,2024,Regular Season,9,201.0,18.0,0.0,23.0,25.125,2.25,0.0,2.875,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,14,21,W,401671753,2024 Regular Season,Jordan Whittington,2024,Regular Season,10,201.0,18.0,0.0,23.0,22.333333333333332,2.0,0.0,2.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0,0
