receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Josh Oliver,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Josh Oliver,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,8,4.0,1,7,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Josh Oliver,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Josh Oliver,2022,Regular Season,4,8.0,2.0,1.0,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,4.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Josh Oliver,2022,Regular Season,5,8.0,2.0,1.0,2.0,2.0,0.5,0.25,0.5,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,0,0
2,3,21,10.5,0,12,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Josh Oliver,2022,Regular Season,6,8.0,2.0,1.0,3.0,1.6,0.4,0.2,0.6,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Josh Oliver,2022,Regular Season,7,29.0,4.0,1.0,6.0,4.833333333333333,0.6666666666666666,0.16666666666666666,1.0,7.0,0.6666666666666666,0.0,1.3333333333333333,10.5,0.3333333333333333,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Josh Oliver,2022,Regular Season,8,29.0,4.0,1.0,7.0,4.142857142857143,0.5714285714285714,0.14285714285714285,1.0,7.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.16666666666666666,0,0
1,3,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,W,401437831,2022 Regular Season,Josh Oliver,2022,Regular Season,9,33.0,5.0,1.0,8.0,4.125,0.625,0.125,1.0,8.333333333333334,1.0,0.0,1.6666666666666667,4.0,0.14285714285714285,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Josh Oliver,2022,Regular Season,10,52.0,6.0,1.0,11.0,5.777777777777778,0.6666666666666666,0.1111111111111111,1.2222222222222223,7.666666666666667,0.6666666666666666,0.0,1.6666666666666667,19.0,0.125,0,0
4,6,76,19.0,1,40,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,28,27,L,401437862,2022 Regular Season,Josh Oliver,2022,Regular Season,11,54.0,7.0,1.0,12.0,5.4,0.7,0.1,1.2,8.333333333333334,1.0,0.0,1.6666666666666667,2.0,0.09090909090909091,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,W,401437875,2022 Regular Season,Josh Oliver,2022,Regular Season,12,130.0,11.0,2.0,18.0,11.818181818181818,1.0,0.18181818181818182,1.6363636363636365,32.333333333333336,2.0,0.3333333333333333,3.3333333333333335,19.0,0.08333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,W,401437894,2022 Regular Season,Josh Oliver,2022,Regular Season,13,130.0,11.0,2.0,18.0,10.833333333333334,0.9166666666666666,0.16666666666666666,1.5,26.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.0,0.1111111111111111,0,0
2,2,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,L,401437903,2022 Regular Season,Josh Oliver,2022,Regular Season,14,130.0,11.0,2.0,18.0,10.0,0.8461538461538461,0.15384615384615385,1.3846153846153846,25.333333333333332,1.3333333333333333,0.3333333333333333,2.0,0.0,0.1111111111111111,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,17,9,W,401437918,2022 Regular Season,Josh Oliver,2022,Regular Season,15,143.0,13.0,2.0,20.0,10.214285714285714,0.9285714285714286,0.14285714285714285,1.4285714285714286,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,6.5,0.1111111111111111,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-02T01:20:00.000+00:00,13,16,L,401437934,2022 Regular Season,Josh Oliver,2022,Regular Season,16,149.0,14.0,2.0,23.0,9.933333333333334,0.9333333333333333,0.13333333333333333,1.5333333333333334,6.333333333333333,1.0,0.0,1.6666666666666667,6.0,0.1,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,27,16,L,401437951,2022 Regular Season,Josh Oliver,2022,Regular Season,17,149.0,14.0,2.0,24.0,9.3125,0.875,0.125,1.5,6.333333333333333,1.0,0.0,2.0,0.0,0.08695652173913043,0,0
3,3,32,10.7,0,18,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,17,20,L,401547398,2023 Regular Season,Josh Oliver,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,13,6.5,0,13,0,0,0.0,0,0,0,0,0,0,2,2023-09-15T00:15:00.000+00:00,34,28,L,401547410,2023 Regular Season,Josh Oliver,2023,Regular Season,2,32.0,3.0,0.0,3.0,32.0,3.0,0.0,3.0,32.0,3.0,0.0,3.0,10.666666666666666,0.0,0,0
2,2,4,2.0,1,4,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,L,401547436,2023 Regular Season,Josh Oliver,2023,Regular Season,3,45.0,5.0,0.0,6.0,22.5,2.5,0.0,3.0,22.5,2.5,0.0,3.0,6.5,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,13,21,W,401547448,2023 Regular Season,Josh Oliver,2023,Regular Season,4,49.0,7.0,1.0,8.0,16.333333333333332,2.3333333333333335,0.3333333333333333,2.6666666666666665,16.333333333333332,2.3333333333333335,0.3333333333333333,2.6666666666666665,2.0,0.0,0,0
1,2,15,15.0,0,15,0,0,0.0,0,0,1,1,0,0,5,2023-10-08T20:25:00.000+00:00,20,27,L,401547462,2023 Regular Season,Josh Oliver,2023,Regular Season,5,49.0,7.0,1.0,8.0,12.25,1.75,0.25,2.0,5.666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,0.125,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,13,19,W,401547475,2023 Regular Season,Josh Oliver,2023,Regular Season,6,64.0,8.0,1.0,10.0,12.8,1.6,0.2,2.0,6.333333333333333,1.0,0.3333333333333333,1.3333333333333333,15.0,0.125,0,0
2,2,6,3.0,0,6,0,0,0.0,0,0,0,0,0,0,7,2023-10-24T00:15:00.000+00:00,22,17,W,401547495,2023 Regular Season,Josh Oliver,2023,Regular Season,7,64.0,8.0,1.0,10.0,10.666666666666666,1.3333333333333333,0.16666666666666666,1.6666666666666667,5.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,24,W,401547506,2023 Regular Season,Josh Oliver,2023,Regular Season,8,70.0,10.0,1.0,12.0,10.0,1.4285714285714286,0.14285714285714285,1.7142857142857142,7.0,1.0,0.0,1.3333333333333333,3.0,0.1,0,0
2,2,1,0.5,0,2,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,W,401547518,2023 Regular Season,Josh Oliver,2023,Regular Season,9,70.0,10.0,1.0,12.0,8.75,1.25,0.125,1.5,2.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,0,0
