receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,3,28,28.0,0,28,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,L,401437648,2022 Regular Season,Josh Reynolds,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,38,12.7,1,23,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,W,401437732,2022 Regular Season,Josh Reynolds,2022,Regular Season,2,28.0,1.0,0.0,3.0,28.0,1.0,0.0,3.0,28.0,1.0,0.0,3.0,28.0,0.0,0,1
6,10,96,16.0,0,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,L,401437739,2022 Regular Season,Josh Reynolds,2022,Regular Season,3,66.0,4.0,1.0,6.0,33.0,2.0,0.5,3.0,33.0,2.0,0.5,3.0,12.666666666666666,0.0,0,0
7,8,81,11.6,1,26,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,L,401437752,2022 Regular Season,Josh Reynolds,2022,Regular Season,4,162.0,10.0,1.0,16.0,54.0,3.3333333333333335,0.3333333333333333,5.333333333333333,54.0,3.3333333333333335,0.3333333333333333,5.333333333333333,16.0,0.16666666666666666,0,1
6,10,92,15.3,0,31,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,L,401437767,2022 Regular Season,Josh Reynolds,2022,Regular Season,5,243.0,17.0,2.0,24.0,60.75,4.25,0.5,6.0,71.66666666666667,5.333333333333333,0.6666666666666666,7.0,11.571428571428571,0.0625,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,L,401437795,2022 Regular Season,Josh Reynolds,2022,Regular Season,6,335.0,23.0,2.0,34.0,67.0,4.6,0.4,6.8,89.66666666666667,6.333333333333333,0.3333333333333333,9.333333333333334,15.333333333333334,0.08333333333333333,0,0
2,6,14,7.0,0,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,L,401437808,2022 Regular Season,Josh Reynolds,2022,Regular Season,7,343.0,24.0,2.0,36.0,57.166666666666664,4.0,0.3333333333333333,6.0,60.333333333333336,4.666666666666667,0.3333333333333333,6.666666666666667,8.0,0.058823529411764705,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,L,401437857,2022 Regular Season,Josh Reynolds,2022,Regular Season,8,357.0,26.0,2.0,42.0,51.0,3.7142857142857144,0.2857142857142857,6.0,38.0,3.0,0.0,6.0,7.0,0.05555555555555555,0,0
3,4,19,6.3,0,8,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,W,401437877,2022 Regular Season,Josh Reynolds,2022,Regular Season,9,357.0,26.0,2.0,42.0,44.625,3.25,0.25,5.25,7.333333333333333,1.0,0.0,2.6666666666666665,0.0,0.047619047619047616,0,0
5,6,51,10.2,1,18,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,W,401437892,2022 Regular Season,Josh Reynolds,2022,Regular Season,10,376.0,29.0,2.0,46.0,41.77777777777778,3.2222222222222223,0.2222222222222222,5.111111111111111,11.0,1.6666666666666667,0.0,3.3333333333333335,6.333333333333333,0.047619047619047616,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,W,401437911,2022 Regular Season,Josh Reynolds,2022,Regular Season,11,427.0,34.0,3.0,52.0,42.7,3.4,0.3,5.2,23.333333333333332,2.6666666666666665,0.3333333333333333,3.3333333333333335,10.2,0.043478260869565216,0,0
2,4,31,15.5,0,26,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,37,23,L,401437919,2022 Regular Season,Josh Reynolds,2022,Regular Season,12,427.0,34.0,3.0,52.0,38.81818181818182,3.090909090909091,0.2727272727272727,4.7272727272727275,23.333333333333332,2.6666666666666665,0.3333333333333333,3.3333333333333335,0.0,0.057692307692307696,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,41,10,W,401437935,2022 Regular Season,Josh Reynolds,2022,Regular Season,13,458.0,36.0,3.0,56.0,38.166666666666664,3.0,0.25,4.666666666666667,27.333333333333332,2.3333333333333335,0.3333333333333333,3.3333333333333335,15.5,0.057692307692307696,0,0
1,2,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,W,401437952,2022 Regular Season,Josh Reynolds,2022,Regular Season,14,463.0,37.0,3.0,57.0,35.61538461538461,2.8461538461538463,0.23076923076923078,4.384615384615385,12.0,1.0,0.0,1.6666666666666667,5.0,0.05357142857142857,0,0
4,7,80,20.0,0,33,0,0,0.0,0,0,0,0,0,0,1,2023-09-08T00:20:00.000+00:00,20,21,W,401547353,2023 Regular Season,Josh Reynolds,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,66,13.2,2,22,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,L,401547418,2023 Regular Season,Josh Reynolds,2023,Regular Season,2,80.0,4.0,0.0,7.0,80.0,4.0,0.0,7.0,80.0,4.0,0.0,7.0,20.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,W,401547433,2023 Regular Season,Josh Reynolds,2023,Regular Season,3,146.0,9.0,2.0,13.0,73.0,4.5,1.0,6.5,73.0,4.5,1.0,6.5,13.2,0.0,0,0
3,6,69,23.0,0,26,0,0,0.0,0,0,0,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,W,401547442,2023 Regular Season,Josh Reynolds,2023,Regular Season,4,146.0,9.0,2.0,13.0,48.666666666666664,3.0,0.6666666666666666,4.333333333333333,48.666666666666664,3.0,0.6666666666666666,4.333333333333333,0.0,0.15384615384615385,0,0
4,5,76,19.0,1,27,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,42,24,W,401547464,2023 Regular Season,Josh Reynolds,2023,Regular Season,5,215.0,12.0,2.0,19.0,53.75,3.0,0.5,4.75,45.0,2.6666666666666665,0.6666666666666666,4.0,23.0,0.15384615384615385,0,1
3,3,50,16.7,0,21,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,W,401547478,2023 Regular Season,Josh Reynolds,2023,Regular Season,6,291.0,16.0,3.0,24.0,58.2,3.2,0.6,4.8,48.333333333333336,2.3333333333333335,0.3333333333333333,3.6666666666666665,19.0,0.10526315789473684,0,0
